#lambda    flux1    flux2    flux3    flux4
3900.00   0.0086   0.0310   0.0547   0.0120
3900.91   0.0086   0.0308   0.0575   0.0183
3901.82   0.0092   0.0318   0.0487   0.0079
3902.73   0.0092   0.0298   0.0496   0.0041
3903.64   0.0087   0.0287   0.0557   0.0124
3904.56   0.0084   0.0291   0.0585   0.0196
3905.47   0.0081   0.0280   0.0556   0.0200
3906.38   0.0075   0.0261   0.0550   0.0176
3907.29   0.0078   0.0271   0.0539   0.0136
3908.20   0.0092   0.0308   0.0468  -0.0039
3909.12   0.0104   0.0325   0.0402  -0.0226
3910.03   0.0107   0.0331   0.0363  -0.0239
3910.94   0.0106   0.0333   0.0379  -0.0278
3911.85   0.0109   0.0326   0.0396  -0.0270
3912.77   0.0114   0.0335   0.0384  -0.0239
3913.68   0.0114   0.0328   0.0338  -0.0256
3914.60   0.0110   0.0330   0.0268  -0.0265
3915.51   0.0109   0.0331   0.0285  -0.0255
3916.42   0.0107   0.0333   0.0321  -0.0248
3917.34   0.0104   0.0324   0.0347  -0.0161
3918.25   0.0101   0.0329   0.0392  -0.0126
3919.17   0.0098   0.0323   0.0424  -0.0040
3920.08   0.0088   0.0288   0.0456   0.0019
3921.00   0.0078   0.0281   0.0529   0.0106
3921.91   0.0074   0.0283   0.0580   0.0122
3922.83   0.0074   0.0280   0.0579   0.0139
3923.75   0.0078   0.0296   0.0581   0.0199
3924.66   0.0082   0.0309   0.0555   0.0155
3925.58   0.0084   0.0303   0.0497   0.0093
3926.49   0.0080   0.0280   0.0449  -0.0008
3927.41   0.0071   0.0259   0.0432   0.0026
3928.33   0.0060   0.0218   0.0397   0.0043
3929.25   0.0051   0.0198   0.0336   0.0025
3930.16   0.0043   0.0184   0.0306   0.0016
3931.08   0.0038   0.0166   0.0241  -0.0007
3932.00   0.0033   0.0138   0.0152  -0.0133
3932.92   0.0028   0.0109   0.0116  -0.0210
3933.84   0.0024   0.0089   0.0088  -0.0228
3934.75   0.0022   0.0078   0.0083  -0.0212
3935.67   0.0025   0.0090   0.0108  -0.0151
3936.59   0.0031   0.0121   0.0147  -0.0150
3937.51   0.0039   0.0148   0.0197  -0.0123
3938.43   0.0047   0.0179   0.0283  -0.0087
3939.35   0.0057   0.0203   0.0333  -0.0068
3940.27   0.0065   0.0232   0.0349  -0.0013
3941.19   0.0070   0.0251   0.0411   0.0016
3942.11   0.0072   0.0261   0.0466   0.0014
3943.03   0.0072   0.0271   0.0501   0.0062
3943.95   0.0068   0.0266   0.0559   0.0179
3944.87   0.0065   0.0248   0.0604   0.0314
3945.79   0.0073   0.0261   0.0610   0.0300
3946.71   0.0087   0.0305   0.0536   0.0124
3947.64   0.0095   0.0323   0.0467   0.0025
3948.56   0.0093   0.0297   0.0447   0.0024
3949.48   0.0093   0.0293   0.0445  -0.0068
3950.40   0.0100   0.0304   0.0393  -0.0109
3951.32   0.0107   0.0323   0.0328  -0.0100
3952.25   0.0107   0.0320   0.0316  -0.0227
3953.17   0.0102   0.0301   0.0331  -0.0244
3954.09   0.0102   0.0298   0.0347  -0.0161
3955.02   0.0108   0.0311   0.0361  -0.0128
3955.94   0.0110   0.0313   0.0341  -0.0117
3956.86   0.0101   0.0313   0.0362  -0.0073
3957.79   0.0095   0.0297   0.0448   0.0005
