#lambda    flux1    flux2    flux3    flux4
3900.00   0.0228  -0.0276   0.0667  -0.0189
3900.91   0.0232  -0.0290   0.0641  -0.0148
3901.82   0.0240  -0.0277   0.0642   0.0005
3902.73   0.0249  -0.0299   0.0637  -0.0030
3903.64   0.0255  -0.0315   0.0675  -0.0173
3904.56   0.0260  -0.0315   0.0730  -0.0186
3905.47   0.0263  -0.0340   0.0756  -0.0275
3906.38   0.0266  -0.0364   0.0719  -0.0340
3907.29   0.0272  -0.0388   0.0708  -0.0170
3908.20   0.0280  -0.0383   0.0692  -0.0089
3909.12   0.0290  -0.0385   0.0635   0.0117
3910.03   0.0294  -0.0419   0.0591   0.0245
3910.94   0.0297  -0.0422   0.0608   0.0440
3911.85   0.0300  -0.0397   0.0599   0.0428
3912.77   0.0299  -0.0403   0.0570   0.0198
3913.68   0.0296  -0.0439   0.0529   0.0067
3914.60   0.0294  -0.0446   0.0494   0.0010
3915.51   0.0298  -0.0439   0.0525  -0.0030
3916.42   0.0304  -0.0449   0.0616   0.0019
3917.34   0.0306  -0.0450   0.0594  -0.0042
3918.25   0.0306  -0.0445   0.0566  -0.0156
3919.17   0.0306  -0.0471   0.0533  -0.0175
3920.08   0.0306  -0.0462   0.0523  -0.0090
3921.00   0.0307  -0.0446   0.0539  -0.0073
3921.91   0.0309  -0.0466   0.0485   0.0015
3922.83   0.0310  -0.0483   0.0444   0.0135
3923.75   0.0310  -0.0482   0.0395   0.0203
3924.66   0.0313  -0.0467   0.0411   0.0232
3925.58   0.0315  -0.0467   0.0417   0.0225
3926.49   0.0314  -0.0490   0.0405   0.0126
3927.41   0.0312  -0.0481   0.0371  -0.0102
3928.33   0.0307  -0.0500   0.0391  -0.0294
3929.25   0.0305  -0.0509   0.0433  -0.0512
3930.16   0.0301  -0.0499   0.0432  -0.0818
3931.08   0.0293  -0.0539   0.0488  -0.1191
3932.00   0.0279  -0.0579   0.0472  -0.2048
3932.92   0.0249  -0.0613   0.0371  -0.3080
3933.84   0.0209  -0.0604   0.0241  -0.3767
3934.75   0.0191  -0.0560   0.0157  -0.3742
3935.67   0.0217  -0.0523   0.0246  -0.2849
3936.59   0.0260  -0.0537   0.0402  -0.1805
3937.51   0.0288  -0.0522   0.0451  -0.0959
3938.43   0.0298  -0.0492   0.0435  -0.0438
3939.35   0.0304  -0.0470   0.0421  -0.0250
3940.27   0.0307  -0.0445   0.0428  -0.0099
3941.19   0.0307  -0.0441   0.0406   0.0078
3942.11   0.0306  -0.0458   0.0456   0.0144
3943.03   0.0304  -0.0443   0.0488   0.0031
3943.95   0.0299  -0.0426   0.0524  -0.0037
3944.87   0.0294  -0.0425   0.0509  -0.0204
3945.79   0.0295  -0.0425   0.0477  -0.0075
3946.71   0.0296  -0.0401   0.0492   0.0093
3947.64   0.0295  -0.0397   0.0519  -0.0020
3948.56   0.0291  -0.0419   0.0550  -0.0061
3949.48   0.0287  -0.0407   0.0576  -0.0177
3950.40   0.0284  -0.0383   0.0588  -0.0327
3951.32   0.0280  -0.0388   0.0590  -0.0245
3952.25   0.0277  -0.0383   0.0632  -0.0108
3953.17   0.0275  -0.0367   0.0625  -0.0021
3954.09   0.0272  -0.0332   0.0645   0.0110
3955.02   0.0269  -0.0303   0.0624   0.0194
3955.94   0.0264  -0.0306   0.0621   0.0050
3956.86   0.0257  -0.0310   0.0650  -0.0172
3957.79   0.0250  -0.0313   0.0616  -0.0165
3958.71   0.0245  -0.0284   0.0642  -0.0104
3959.64   0.0241  -0.0230   0.0626   0.0102
3960.56   0.0235  -0.0226   0.0582   0.0216
3961.48   0.0225  -0.0212   0.0614   0.0018
3962.41   0.0215  -0.0191   0.0646  -0.0031
3963.33   0.0205  -0.0173   0.0636  -0.0101
3964.26   0.0197  -0.0159   0.0615  -0.0105
3965.19   0.0187  -0.0141   0.0629  -0.0060
3966.11   0.0173  -0.0134   0.0598  -0.0180
