#lambda    flux1    flux2    flux3    flux4
3900.00   0.0220   0.0275  -0.0602  -0.0077
3900.91   0.0224   0.0279  -0.0563  -0.0191
3901.82   0.0233   0.0260  -0.0585  -0.0280
3902.73   0.0242   0.0285  -0.0615  -0.0267
3903.64   0.0246   0.0318  -0.0599  -0.0151
3904.56   0.0248   0.0310  -0.0634  -0.0056
3905.47   0.0250   0.0340  -0.0637   0.0061
3906.38   0.0251   0.0357  -0.0622   0.0156
3907.29   0.0256   0.0355  -0.0673   0.0054
3908.20   0.0266   0.0365  -0.0664  -0.0160
3909.12   0.0275   0.0361  -0.0612  -0.0301
3910.03   0.0280   0.0352  -0.0547  -0.0351
3910.94   0.0283   0.0371  -0.0539  -0.0431
3911.85   0.0285   0.0368  -0.0527  -0.0396
3912.77   0.0282   0.0370  -0.0505  -0.0180
3913.68   0.0277   0.0391  -0.0524   0.0028
3914.60   0.0275   0.0393  -0.0488   0.0065
3915.51   0.0280   0.0394  -0.0520  -0.0041
3916.42   0.0284   0.0391  -0.0573  -0.0083
3917.34   0.0285   0.0407  -0.0619   0.0048
3918.25   0.0284   0.0412  -0.0604   0.0191
3919.17   0.0284   0.0420  -0.0551   0.0288
3920.08   0.0283   0.0442  -0.0533   0.0287
3921.00   0.0284   0.0445  -0.0542   0.0177
3921.91   0.0287   0.0447  -0.0513   0.0048
3922.83   0.0288   0.0436  -0.0455   0.0007
3923.75   0.0288   0.0428  -0.0438   0.0009
3924.66   0.0290   0.0441  -0.0456  -0.0102
3925.58   0.0293   0.0446  -0.0447  -0.0057
3926.49   0.0292   0.0446  -0.0468   0.0163
3927.41   0.0287   0.0447  -0.0550   0.0302
3928.33   0.0282   0.0467  -0.0516   0.0501
3929.25   0.0276   0.0479  -0.0515   0.0754
3930.16   0.0269   0.0484  -0.0549   0.1075
3931.08   0.0257   0.0507  -0.0550   0.1595
3932.00   0.0236   0.0543  -0.0569   0.2425
3932.92   0.0198   0.0520  -0.0556   0.3200
3933.84   0.0157   0.0432  -0.0385   0.3405
3934.75   0.0147   0.0378  -0.0270   0.2885
3935.67   0.0180   0.0393  -0.0314   0.2197
3936.59   0.0227   0.0453  -0.0447   0.1646
3937.51   0.0258   0.0476  -0.0483   0.1123
3938.43   0.0272   0.0460  -0.0510   0.0738
3939.35   0.0279   0.0441  -0.0484   0.0417
3940.27   0.0285   0.0425  -0.0469   0.0147
3941.19   0.0287   0.0431  -0.0457   0.0042
3942.11   0.0285   0.0427  -0.0453   0.0097
3943.03   0.0282   0.0397  -0.0502   0.0209
3943.95   0.0278   0.0403  -0.0532   0.0218
3944.87   0.0275   0.0410  -0.0550   0.0218
3945.79   0.0277   0.0387  -0.0509   0.0094
3946.71   0.0279   0.0372  -0.0496  -0.0071
3947.64   0.0277   0.0372  -0.0535  -0.0001
3948.56   0.0272   0.0375  -0.0560   0.0106
3949.48   0.0269   0.0368  -0.0599   0.0166
3950.40   0.0267   0.0351  -0.0592   0.0148
3951.32   0.0265   0.0335  -0.0603   0.0087
3952.25   0.0263   0.0335  -0.0613   0.0044
3953.17   0.0261   0.0317  -0.0582   0.0014
3954.09   0.0261   0.0308  -0.0593  -0.0235
3955.02   0.0259   0.0306  -0.0586  -0.0328
3955.94   0.0253   0.0312  -0.0586  -0.0147
3956.86   0.0244   0.0295  -0.0604  -0.0020
3957.79   0.0239   0.0278  -0.0568  -0.0032
3958.71   0.0237   0.0264  -0.0574  -0.0172
3959.64   0.0236   0.0228  -0.0618  -0.0353
3960.56   0.0231   0.0212  -0.0599  -0.0356
3961.48   0.0221   0.0214  -0.0633  -0.0237
3962.41   0.0212   0.0207  -0.0645  -0.0154
3963.33   0.0205   0.0187  -0.0620  -0.0185
3964.26   0.0198   0.0172  -0.0606  -0.0159
3965.19   0.0188   0.0156  -0.0591  -0.0091
3966.11   0.0173   0.0158  -0.0562   0.0070
3967.04   0.0154   0.0171  -0.0526   0.0459
3967.96   0.0127   0.0175  -0.0415   0.0860
3968.89   0.0098   0.0160  -0.0272   0.0964
3969.82   0.0081   0.0125  -0.0167   0.0636
3970.74   0.0082   0.0068  -0.0141   0.0101
3971.67   0.0096   0.0038  -0.0240  -0.0332
3972.60   0.0119   0.0031  -0.0345  -0.0491
3973.53   0.0142   0.0039  -0.0419  -0.0512
3974.45   0.0160   0.0066  -0.0489  -0.0507
3975.38   0.0175   0.0081  -0.0548  -0.0520
3976.31   0.0186   0.0091  -0.0564  -0.0536
3977.24   0.0196   0.0123  -0.0558  -0.0572
3978.17   0.0205   0.0144  -0.0552  -0.0598
3979.10   0.0214   0.0159  -0.0525  -0.0584
3980.03   0.0222   0.0157  -0.0534  -0.0574
3980.95   0.0229   0.0166  -0.0561  -0.0561
3981.88   0.0233   0.0201  -0.0528  -0.0502
3982.81   0.0235   0.0214  -0.0524  -0.0376
3983.74   0.0239   0.0230  -0.0549  -0.0305
3984.67   0.0244   0.0250  -0.0566  -0.0379
3985.60   0.0250   0.0242  -0.0521  -0.0393
3986.54   0.0253   0.0254  -0.0463  -0.0343
3987.47   0.0255   0.0278  -0.0451  -0.0296
3988.40   0.0260   0.0275  -0.0474  -0.0300
3989.33   0.0264   0.0287  -0.0499  -0.0367
3990.26   0.0267   0.0304  -0.0448  -0.0322
3991.19   0.0269   0.0301  -0.0429  -0.0349
3992.12   0.0271   0.0295  -0.0408  -0.0411
3993.06   0.0275   0.0302  -0.0403  -0.0424
3993.99   0.0278   0.0304  -0.0363  -0.0413
3994.92   0.0278   0.0324  -0.0370  -0.0354
3995.85   0.0278   0.0338  -0.0361  -0.0162
3996.79   0.0277   0.0349  -0.0423  -0.0064
3997.72   0.0274   0.0365  -0.0455   0.0133
3998.65   0.0274   0.0365  -0.0409   0.0147
3999.59   0.0278   0.0357  -0.0348  -0.0072
4000.52   0.0284   0.0350  -0.0310  -0.0246
4001.45   0.0285   0.0346  -0.0310  -0.0323
4002.39   0.0287   0.0352  -0.0310  -0.0295
4003.32   0.0288   0.0349  -0.0322  -0.0240
4004.26   0.0285   0.0341  -0.0359  -0.0102
4005.19   0.0280   0.0361  -0.0352   0.0144
4006.13   0.0277   0.0382  -0.0360   0.0277
4007.06   0.0281   0.0385  -0.0358   0.0159
4008.00   0.0287   0.0374  -0.0307  -0.0121
4008.94   0.0291   0.0367  -0.0251  -0.0237
4009.87   0.0293   0.0369  -0.0261  -0.0232
4010.81   0.0293   0.0374  -0.0278  -0.0182
4011.74   0.0291   0.0383  -0.0265  -0.0137
4012.68   0.0290   0.0372  -0.0264  -0.0098
4013.62   0.0289   0.0378  -0.0255  -0.0047
4014.56   0.0290   0.0378  -0.0272  -0.0024
4015.49   0.0292   0.0369  -0.0277  -0.0086
4016.43   0.0293   0.0356  -0.0236  -0.0176
4017.37   0.0294   0.0356  -0.0238  -0.0258
4018.31   0.0295   0.0369  -0.0240  -0.0215
4019.24   0.0296   0.0357  -0.0234  -0.0212
4020.18   0.0298   0.0353  -0.0203  -0.0351
4021.12   0.0298   0.0367  -0.0171  -0.0306
4022.06   0.0296   0.0373  -0.0206  -0.0181
4023.00   0.0295   0.0368  -0.0224  -0.0112
4023.94   0.0294   0.0368  -0.0195  -0.0031
4024.88   0.0292   0.0385  -0.0191   0.0039
4025.82   0.0291   0.0380  -0.0209  -0.0033
4026.76   0.0294   0.0369  -0.0156  -0.0111
4027.70   0.0296   0.0365  -0.0131  -0.0218
