#lambda    flux1    flux2    flux3    flux4
3900.00   0.0038  -0.0156  -0.0399  -0.0138
3900.91   0.0038  -0.0154  -0.0415  -0.0154
3901.82   0.0045  -0.0159  -0.0399  -0.0029
3902.73   0.0046  -0.0164  -0.0369  -0.0103
3903.64   0.0043  -0.0156  -0.0372  -0.0049
3904.56   0.0041  -0.0145  -0.0413  -0.0076
3905.47   0.0041  -0.0133  -0.0387  -0.0125
3906.38   0.0038  -0.0125  -0.0384  -0.0124
3907.29   0.0039  -0.0129  -0.0381  -0.0052
3908.20   0.0047  -0.0161  -0.0364  -0.0068
3909.12   0.0055  -0.0214  -0.0352  -0.0068
3910.03   0.0059  -0.0195  -0.0380   0.0088
3910.94   0.0060  -0.0198  -0.0388   0.0073
3911.85   0.0061  -0.0196  -0.0366   0.0037
3912.77   0.0063  -0.0188  -0.0373   0.0056
3913.68   0.0063  -0.0200  -0.0359   0.0101
3914.60   0.0063  -0.0219  -0.0315   0.0086
3915.51   0.0062  -0.0213  -0.0302   0.0078
3916.42   0.0060  -0.0219  -0.0351   0.0161
3917.34   0.0056  -0.0208  -0.0375   0.0116
3918.25   0.0053  -0.0186  -0.0395   0.0035
3919.17   0.0050  -0.0165  -0.0416  -0.0070
3920.08   0.0042  -0.0165  -0.0387  -0.0147
3921.00   0.0036  -0.0156  -0.0417  -0.0155
3921.91   0.0035  -0.0132  -0.0424  -0.0164
3922.83   0.0034  -0.0122  -0.0421  -0.0149
3923.75   0.0035  -0.0145  -0.0422  -0.0167
3924.66   0.0038  -0.0164  -0.0407  -0.0173
3925.58   0.0040  -0.0166  -0.0386  -0.0050
3926.49   0.0040  -0.0161  -0.0355  -0.0027
3927.41   0.0036  -0.0133  -0.0291  -0.0085
3928.33   0.0031  -0.0119  -0.0297  -0.0054
3929.25   0.0026  -0.0101  -0.0317  -0.0081
3930.16   0.0023  -0.0073  -0.0289  -0.0146
3931.08   0.0022  -0.0076  -0.0258  -0.0065
3932.00   0.0020  -0.0086  -0.0246   0.0012
3932.92   0.0019  -0.0058  -0.0284  -0.0034
3933.84   0.0018  -0.0041  -0.0299  -0.0125
3934.75   0.0017  -0.0034  -0.0271  -0.0109
3935.67   0.0017  -0.0036  -0.0285  -0.0089
3936.59   0.0020  -0.0067  -0.0285  -0.0067
3937.51   0.0024  -0.0087  -0.0262  -0.0079
3938.43   0.0028  -0.0087  -0.0313  -0.0130
3939.35   0.0032  -0.0109  -0.0318  -0.0172
3940.27   0.0036  -0.0126  -0.0296  -0.0143
3941.19   0.0038  -0.0139  -0.0314  -0.0030
3942.11   0.0036  -0.0147  -0.0337  -0.0105
3943.03   0.0034  -0.0138  -0.0380  -0.0183
3943.95   0.0031  -0.0121  -0.0380  -0.0139
3944.87   0.0028  -0.0130  -0.0378  -0.0211
3945.79   0.0033  -0.0162  -0.0415  -0.0237
3946.71   0.0042  -0.0164  -0.0420  -0.0166
3947.64   0.0047  -0.0163  -0.0395  -0.0124
3948.56   0.0047  -0.0175  -0.0400  -0.0131
3949.48   0.0048  -0.0171  -0.0403  -0.0045
3950.40   0.0053  -0.0201  -0.0396  -0.0089
3951.32   0.0058  -0.0198  -0.0338  -0.0090
3952.25   0.0060  -0.0211  -0.0305   0.0061
3953.17   0.0057  -0.0206  -0.0311   0.0036
3954.09   0.0057  -0.0195  -0.0332   0.0025
3955.02   0.0060  -0.0205  -0.0337  -0.0036
3955.94   0.0060  -0.0211  -0.0324  -0.0087
3956.86   0.0053  -0.0191  -0.0324  -0.0106
3957.79   0.0048  -0.0159  -0.0360  -0.0128
3958.71   0.0046  -0.0166  -0.0357  -0.0128
3959.64   0.0045  -0.0179  -0.0364  -0.0250
3960.56   0.0041  -0.0181  -0.0359  -0.0273
3961.48   0.0033  -0.0151  -0.0355  -0.0226
3962.41   0.0025  -0.0124  -0.0448  -0.0295
3963.33   0.0026  -0.0120  -0.0426  -0.0292
3964.26   0.0029  -0.0105  -0.0355  -0.0135
3965.19   0.0030  -0.0116  -0.0301  -0.0045
3966.11   0.0029  -0.0115  -0.0264  -0.0034
3967.04   0.0025  -0.0089  -0.0283  -0.0103
3967.96   0.0021  -0.0073  -0.0278  -0.0115
3968.89   0.0019  -0.0038  -0.0285  -0.0099
3969.82   0.0020  -0.0028  -0.0310  -0.0078
3970.74   0.0021  -0.0048  -0.0311  -0.0084
3971.67   0.0026  -0.0065  -0.0345  -0.0180
3972.60   0.0031  -0.0106  -0.0335  -0.0186
3973.53   0.0035  -0.0145  -0.0308  -0.0144
3974.45   0.0039  -0.0134  -0.0299  -0.0124
3975.38   0.0045  -0.0137  -0.0300   0.0008
3976.31   0.0050  -0.0149  -0.0272  -0.0034
3977.24   0.0053  -0.0165  -0.0273  -0.0065
3978.17   0.0057  -0.0174  -0.0313   0.0025
3979.10   0.0061  -0.0200  -0.0292   0.0098
3980.03   0.0066  -0.0233  -0.0315   0.0050
3980.95   0.0070  -0.0218  -0.0305  -0.0015
3981.88   0.0070  -0.0235  -0.0282   0.0013
3982.81   0.0066  -0.0242  -0.0300  -0.0027
3983.74   0.0066  -0.0226  -0.0311   0.0015
3984.67   0.0069  -0.0219  -0.0322   0.0089
3985.60   0.0071  -0.0215  -0.0328   0.0030
3986.54   0.0071  -0.0225  -0.0325   0.0069
3987.47   0.0073  -0.0228  -0.0317   0.0124
3988.40   0.0078  -0.0233  -0.0297   0.0119
3989.33   0.0079  -0.0263  -0.0290   0.0075
3990.26   0.0074  -0.0261  -0.0316  -0.0006
3991.19   0.0073  -0.0245  -0.0336  -0.0025
3992.12   0.0076  -0.0238  -0.0324   0.0009
3993.06   0.0083  -0.0257  -0.0292   0.0082
3993.99   0.0085  -0.0285  -0.0271   0.0171
3994.92   0.0083  -0.0266  -0.0254   0.0190
3995.85   0.0079  -0.0245  -0.0256   0.0160
3996.79   0.0077  -0.0242  -0.0306   0.0162
3997.72   0.0073  -0.0223  -0.0327   0.0123
3998.65   0.0068  -0.0214  -0.0349   0.0019
3999.59   0.0070  -0.0232  -0.0375  -0.0028
4000.52   0.0079  -0.0260  -0.0320   0.0046
4001.45   0.0086  -0.0266  -0.0272   0.0141
4002.39   0.0088  -0.0266  -0.0227   0.0178
4003.32   0.0091  -0.0274  -0.0245   0.0249
4004.26   0.0090  -0.0285  -0.0276   0.0240
4005.19   0.0078  -0.0244  -0.0315   0.0061
4006.13   0.0066  -0.0210  -0.0383  -0.0070
4007.06   0.0065  -0.0199  -0.0391  -0.0016
4008.00   0.0075  -0.0228  -0.0315   0.0091
4008.94   0.0085  -0.0282  -0.0262   0.0164
4009.87   0.0088  -0.0276  -0.0283   0.0170
4010.81   0.0087  -0.0265  -0.0255   0.0172
4011.74   0.0090  -0.0264  -0.0261   0.0238
4012.68   0.0094  -0.0297  -0.0233   0.0270
4013.62   0.0094  -0.0292  -0.0246   0.0264
4014.56   0.0092  -0.0266  -0.0286   0.0250
4015.49   0.0091  -0.0266  -0.0269   0.0174
4016.43   0.0093  -0.0252  -0.0268   0.0149
4017.37   0.0092  -0.0234  -0.0276   0.0203
4018.31   0.0088  -0.0268  -0.0251   0.0214
4019.24   0.0090  -0.0273  -0.0260   0.0188
4020.18   0.0095  -0.0271  -0.0225   0.0214
4021.12   0.0095  -0.0288  -0.0218   0.0240
4022.06   0.0092  -0.0273  -0.0214   0.0108
4023.00   0.0092  -0.0288  -0.0257   0.0124
4023.94   0.0092  -0.0278  -0.0270   0.0205
4024.88   0.0090  -0.0260  -0.0277   0.0188
4025.82   0.0088  -0.0279  -0.0310   0.0177
4026.76   0.0090  -0.0273  -0.0277   0.0183
4027.70   0.0095  -0.0273  -0.0257   0.0214
4028.64   0.0099  -0.0289  -0.0238   0.0270
4029.58   0.0097  -0.0292  -0.0262   0.0236
4030.52   0.0083  -0.0256  -0.0332   0.0167
4031.46   0.0066  -0.0217  -0.0428   0.0040
4032.40   0.0058  -0.0184  -0.0441  -0.0030
4033.34   0.0056  -0.0183  -0.0435   0.0020
4034.29   0.0054  -0.0207  -0.0515  -0.0060
4035.23   0.0058  -0.0224  -0.0512  -0.0078
4036.17   0.0070  -0.0229  -0.0421   0.0029
4037.11   0.0085  -0.0266  -0.0342   0.0205
4038.06   0.0100  -0.0298  -0.0274   0.0279
4039.00   0.0106  -0.0300  -0.0212   0.0341
4039.94   0.0104  -0.0290  -0.0225   0.0361
4040.88   0.0097  -0.0263  -0.0244   0.0273
4041.83   0.0092  -0.0247  -0.0253   0.0270
4042.77   0.0091  -0.0273  -0.0286   0.0255
4043.72   0.0089  -0.0265  -0.0326   0.0213
4044.66   0.0077  -0.0226  -0.0407   0.0162
4045.60   0.0055  -0.0165  -0.0424   0.0008
4046.55   0.0042  -0.0137  -0.0397  -0.0109
4047.49   0.0046  -0.0136  -0.0406  -0.0100
4048.44   0.0062  -0.0178  -0.0411  -0.0020
4049.38   0.0079  -0.0230  -0.0386   0.0101
4050.33   0.0091  -0.0242  -0.0328   0.0143
4051.28   0.0100  -0.0266  -0.0269   0.0215
4052.22   0.0102  -0.0278  -0.0269   0.0247
4053.17   0.0099  -0.0257  -0.0313   0.0272
4054.11   0.0095  -0.0270  -0.0282   0.0273
4055.06   0.0092  -0.0255  -0.0280   0.0224
4056.01   0.0091  -0.0241  -0.0311   0.0256
4056.95   0.0089  -0.0252  -0.0315   0.0257
4057.90   0.0086  -0.0233  -0.0340   0.0205
4058.85   0.0080  -0.0224  -0.0388   0.0175
4059.80   0.0081  -0.0229  -0.0379   0.0133
4060.74   0.0089  -0.0260  -0.0337   0.0168
4061.69   0.0091  -0.0268  -0.0319   0.0254
4062.64   0.0082  -0.0249  -0.0363   0.0184
4063.59   0.0063  -0.0195  -0.0423  -0.0038
4064.54   0.0051  -0.0159  -0.0444  -0.0082
4065.49   0.0056  -0.0184  -0.0455  -0.0059
4066.44   0.0070  -0.0198  -0.0428  -0.0003
4067.39   0.0078  -0.0224  -0.0375   0.0108
4068.34   0.0083  -0.0250  -0.0376   0.0176
4069.29   0.0090  -0.0256  -0.0314   0.0131
4070.24   0.0092  -0.0257  -0.0278   0.0213
4071.19   0.0083  -0.0239  -0.0359   0.0178
4072.14   0.0066  -0.0197  -0.0385  -0.0007
4073.09   0.0061  -0.0180  -0.0361  -0.0039
4074.04   0.0073  -0.0216  -0.0339   0.0007
4074.99   0.0088  -0.0235  -0.0297   0.0116
4075.94   0.0091  -0.0229  -0.0252   0.0209
4076.89   0.0086  -0.0223  -0.0275   0.0248
4077.85   0.0077  -0.0207  -0.0319   0.0150
4078.80   0.0073  -0.0211  -0.0310   0.0065
4079.75   0.0079  -0.0225  -0.0269   0.0097
4080.70   0.0092  -0.0244  -0.0208   0.0201
4081.66   0.0103  -0.0272  -0.0131   0.0255
4082.61   0.0106  -0.0295  -0.0136   0.0267
4083.56   0.0103  -0.0255  -0.0197   0.0233
4084.52   0.0096  -0.0243  -0.0226   0.0169
4085.47   0.0093  -0.0245  -0.0246   0.0201
4086.42   0.0095  -0.0235  -0.0233   0.0216
4087.38   0.0105  -0.0262  -0.0189   0.0342
4088.33   0.0115  -0.0289  -0.0102   0.0369
4089.29   0.0121  -0.0312  -0.0083   0.0400
4090.24   0.0121  -0.0315  -0.0095   0.0436
4091.20   0.0116  -0.0278  -0.0100   0.0322
4092.15   0.0109  -0.0265  -0.0119   0.0267
