#lambda    flux1    flux2    flux3    flux4
3900.00   0.0226   0.0273  -0.0682  -0.0228
3900.91   0.0231   0.0284  -0.0631  -0.0087
3901.82   0.0238   0.0280  -0.0601   0.0078
3902.73   0.0247   0.0288  -0.0656   0.0181
3903.64   0.0254   0.0317  -0.0710   0.0042
3904.56   0.0257   0.0333  -0.0694  -0.0138
3905.47   0.0261   0.0362  -0.0681  -0.0206
3906.38   0.0263   0.0380  -0.0596  -0.0293
3907.29   0.0268   0.0401  -0.0626  -0.0251
3908.20   0.0277   0.0406  -0.0662  -0.0150
3909.12   0.0285   0.0384  -0.0614   0.0083
3910.03   0.0290   0.0390  -0.0603   0.0328
3910.94   0.0293   0.0393  -0.0577   0.0410
3911.85   0.0295   0.0401  -0.0538   0.0333
3912.77   0.0295   0.0420  -0.0585   0.0252
3913.68   0.0291   0.0440  -0.0535   0.0106
3914.60   0.0290   0.0441  -0.0428   0.0113
3915.51   0.0295   0.0436  -0.0437  -0.0023
3916.42   0.0299   0.0468  -0.0534  -0.0066
3917.34   0.0301   0.0458  -0.0592  -0.0029
3918.25   0.0301   0.0468  -0.0566  -0.0149
3919.17   0.0302   0.0485  -0.0542  -0.0273
3920.08   0.0302   0.0469  -0.0477  -0.0264
3921.00   0.0302   0.0473  -0.0492  -0.0151
3921.91   0.0303   0.0481  -0.0482  -0.0012
3922.83   0.0304   0.0488  -0.0412   0.0034
3923.75   0.0305   0.0483  -0.0373   0.0201
3924.66   0.0307   0.0457  -0.0401   0.0202
3925.58   0.0310   0.0465  -0.0402   0.0159
3926.49   0.0309   0.0492  -0.0386   0.0068
3927.41   0.0307   0.0500  -0.0403  -0.0158
3928.33   0.0302   0.0510  -0.0377  -0.0414
3929.25   0.0297   0.0514  -0.0394  -0.0693
3930.16   0.0294   0.0528  -0.0425  -0.0957
3931.08   0.0286   0.0570  -0.0398  -0.1494
3932.00   0.0270   0.0615  -0.0399  -0.2401
3932.92   0.0237   0.0634  -0.0339  -0.3327
3933.84   0.0196   0.0599  -0.0226  -0.3699
3934.75   0.0180   0.0546  -0.0144  -0.3251
3935.67   0.0207   0.0534  -0.0199  -0.2464
3936.59   0.0252   0.0545  -0.0405  -0.1723
3937.51   0.0282   0.0523  -0.0462  -0.1141
3938.43   0.0293   0.0511  -0.0463  -0.0614
3939.35   0.0299   0.0499  -0.0461  -0.0394
3940.27   0.0302   0.0467  -0.0426  -0.0200
3941.19   0.0303   0.0462  -0.0459   0.0059
3942.11   0.0302   0.0450  -0.0449  -0.0060
3943.03   0.0299   0.0441  -0.0457  -0.0117
3943.95   0.0294   0.0458  -0.0509  -0.0082
3944.87   0.0291   0.0451  -0.0527  -0.0224
3945.79   0.0290   0.0440  -0.0512  -0.0133
3946.71   0.0291   0.0405  -0.0515   0.0116
3947.64   0.0291   0.0397  -0.0537   0.0063
3948.56   0.0287   0.0406  -0.0549  -0.0151
3949.48   0.0284   0.0404  -0.0531  -0.0228
3950.40   0.0280   0.0392  -0.0592  -0.0216
3951.32   0.0277   0.0369  -0.0628  -0.0209
3952.25   0.0274   0.0357  -0.0646  -0.0111
3953.17   0.0273   0.0346  -0.0639  -0.0024
3954.09   0.0271   0.0319  -0.0586   0.0068
3955.02   0.0267   0.0310  -0.0633   0.0127
3955.94   0.0261   0.0318  -0.0626   0.0079
3956.86   0.0254   0.0324  -0.0636  -0.0070
3957.79   0.0249   0.0326  -0.0626  -0.0130
3958.71   0.0244   0.0292  -0.0608  -0.0066
3959.64   0.0240   0.0243  -0.0604   0.0099
3960.56   0.0234   0.0210  -0.0639   0.0090
3961.48   0.0225   0.0217  -0.0650  -0.0075
3962.41   0.0215   0.0196  -0.0636  -0.0102
3963.33   0.0206   0.0167  -0.0657  -0.0166
3964.26   0.0198   0.0149  -0.0613  -0.0070
3965.19   0.0187   0.0120  -0.0626  -0.0062
3966.11   0.0173   0.0125  -0.0594  -0.0294
3967.04   0.0156   0.0165  -0.0468  -0.0656
3967.96   0.0132   0.0173  -0.0337  -0.0893
3968.89   0.0105   0.0162  -0.0190  -0.0894
3969.82   0.0084   0.0118  -0.0053  -0.0562
3970.74   0.0079   0.0063  -0.0046  -0.0063
3971.67   0.0091   0.0008  -0.0179   0.0262
3972.60   0.0111  -0.0016  -0.0310   0.0312
3973.53   0.0133  -0.0002  -0.0409   0.0376
3974.45   0.0152   0.0029  -0.0506   0.0328
3975.38   0.0167   0.0043  -0.0577   0.0288
3976.31   0.0181   0.0066  -0.0561   0.0228
3977.24   0.0192   0.0077  -0.0575   0.0200
3978.17   0.0203   0.0124  -0.0607   0.0221
3979.10   0.0212   0.0144  -0.0618   0.0330
3980.03   0.0220   0.0137  -0.0565   0.0379
3980.95   0.0228   0.0171  -0.0576   0.0354
3981.88   0.0234   0.0195  -0.0579   0.0225
3982.81   0.0238   0.0240  -0.0586   0.0165
3983.74   0.0243   0.0249  -0.0595   0.0199
3984.67   0.0249   0.0257  -0.0586   0.0191
3985.60   0.0255   0.0281  -0.0557   0.0176
3986.54   0.0260   0.0274  -0.0508   0.0104
3987.47   0.0264   0.0280  -0.0524   0.0123
3988.40   0.0268   0.0304  -0.0517   0.0202
3989.33   0.0272   0.0310  -0.0448   0.0252
3990.26   0.0275   0.0317  -0.0451   0.0178
3991.19   0.0277   0.0324  -0.0442   0.0144
3992.12   0.0281   0.0339  -0.0410   0.0356
3993.06   0.0284   0.0332  -0.0414   0.0440
3993.99   0.0287   0.0329  -0.0410   0.0289
3994.92   0.0288   0.0341  -0.0390   0.0293
3995.85   0.0289   0.0360  -0.0428   0.0299
3996.79   0.0290   0.0384  -0.0444   0.0106
3997.72   0.0289   0.0394  -0.0389   0.0008
3998.65   0.0289   0.0407  -0.0384  -0.0002
3999.59   0.0292   0.0386  -0.0388   0.0091
4000.52   0.0296   0.0366  -0.0341   0.0267
4001.45   0.0299   0.0378  -0.0325   0.0375
4002.39   0.0300   0.0384  -0.0281   0.0257
4003.32   0.0301   0.0392  -0.0268   0.0330
4004.26   0.0300   0.0378  -0.0308   0.0196
4005.19   0.0297   0.0421  -0.0313  -0.0031
4006.13   0.0294   0.0426  -0.0320  -0.0046
4007.06   0.0295   0.0409  -0.0330  -0.0007
4008.00   0.0301   0.0407  -0.0281   0.0168
4008.94   0.0304   0.0391  -0.0242   0.0369
4009.87   0.0307   0.0399  -0.0193   0.0346
4010.81   0.0307   0.0399  -0.0214   0.0359
4011.74   0.0306   0.0422  -0.0156   0.0265
4012.68   0.0304   0.0427  -0.0143   0.0199
4013.62   0.0304   0.0415  -0.0177   0.0324
4014.56   0.0305   0.0404  -0.0158   0.0252
4015.49   0.0306   0.0393  -0.0171   0.0226
4016.43   0.0308   0.0399  -0.0188   0.0296
4017.37   0.0309   0.0408  -0.0173   0.0269
4018.31   0.0309   0.0378  -0.0180   0.0416
4019.24   0.0311   0.0379  -0.0128   0.0576
4020.18   0.0312   0.0387  -0.0113   0.0622
