#lambda    flux1    flux2    flux3    flux4
3900.00   0.0193  -0.0430   0.0344  -0.0287
3900.91   0.0196  -0.0425   0.0305  -0.0320
3901.82   0.0200  -0.0436   0.0273  -0.0386
3902.73   0.0201  -0.0453   0.0331  -0.0338
3903.64   0.0199  -0.0475   0.0416  -0.0206
3904.56   0.0197  -0.0482   0.0463  -0.0124
3905.47   0.0193  -0.0488   0.0508  -0.0035
3906.38   0.0189  -0.0494   0.0522   0.0026
3907.29   0.0193  -0.0488   0.0494  -0.0007
3908.20   0.0204  -0.0477   0.0410  -0.0187
3909.12   0.0212  -0.0475   0.0343  -0.0341
3910.03   0.0214  -0.0482   0.0339  -0.0344
3910.94   0.0214  -0.0486   0.0346  -0.0348
3911.85   0.0216  -0.0482   0.0296  -0.0412
3912.77   0.0217  -0.0463   0.0227  -0.0474
3913.68   0.0213  -0.0449   0.0249  -0.0424
3914.60   0.0210  -0.0453   0.0318  -0.0299
3915.51   0.0211  -0.0473   0.0368  -0.0266
3916.42   0.0212  -0.0483   0.0364  -0.0276
3917.34   0.0210  -0.0483   0.0382  -0.0225
3918.25   0.0207  -0.0480   0.0412  -0.0150
3919.17   0.0205  -0.0485   0.0417  -0.0108
3920.08   0.0202  -0.0494   0.0470  -0.0067
3921.00   0.0201  -0.0515   0.0521  -0.0017
3921.91   0.0202  -0.0533   0.0534   0.0024
3922.83   0.0203  -0.0526   0.0514  -0.0038
3923.75   0.0205  -0.0507   0.0442  -0.0106
3924.66   0.0207  -0.0507   0.0431  -0.0064
3925.58   0.0206  -0.0526   0.0520   0.0046
3926.49   0.0201  -0.0545   0.0629   0.0211
3927.41   0.0193  -0.0557   0.0728   0.0385
3928.33   0.0182  -0.0578   0.0856   0.0622
3929.25   0.0170  -0.0607   0.1033   0.0920
3930.16   0.0157  -0.0622   0.1171   0.1192
3931.08   0.0139  -0.0600   0.1245   0.1395
3932.00   0.0113  -0.0524   0.1187   0.1445
3932.92   0.0081  -0.0379   0.0911   0.1159
3933.84   0.0056  -0.0247   0.0592   0.0791
3934.75   0.0050  -0.0223   0.0542   0.0767
3935.67   0.0069  -0.0325   0.0811   0.1099
