#lambda    flux1    flux2    flux3    flux4
3900.00   0.0179  -0.0432   0.0345  -0.0276
3900.91   0.0182  -0.0434   0.0316  -0.0282
3901.82   0.0186  -0.0437   0.0283  -0.0328
3902.73   0.0185  -0.0460   0.0352  -0.0286
3903.64   0.0183  -0.0482   0.0439  -0.0152
3904.56   0.0180  -0.0483   0.0488  -0.0045
3905.47   0.0175  -0.0476   0.0520  -0.0006
3906.38   0.0170  -0.0483   0.0554   0.0095
3907.29   0.0174  -0.0484   0.0535   0.0075
3908.20   0.0187  -0.0484   0.0416  -0.0155
3909.12   0.0197  -0.0472   0.0363  -0.0321
3910.03   0.0198  -0.0467   0.0378  -0.0324
3910.94   0.0198  -0.0478   0.0362  -0.0253
3911.85   0.0200  -0.0473   0.0304  -0.0322
3912.77   0.0203  -0.0453   0.0254  -0.0462
3913.68   0.0200  -0.0436   0.0272  -0.0411
3914.60   0.0195  -0.0450   0.0316  -0.0297
3915.51   0.0195  -0.0461   0.0361  -0.0240
3916.42   0.0195  -0.0469   0.0367  -0.0220
3917.34   0.0194  -0.0465   0.0381  -0.0221
3918.25   0.0191  -0.0452   0.0404  -0.0200
3919.17   0.0189  -0.0454   0.0406  -0.0169
3920.08   0.0185  -0.0473   0.0462  -0.0089
3921.00   0.0181  -0.0497   0.0546   0.0051
3921.91   0.0181  -0.0514   0.0589   0.0127
3922.83   0.0182  -0.0515   0.0543   0.0072
3923.75   0.0185  -0.0502   0.0477  -0.0006
3924.66   0.0187  -0.0501   0.0488  -0.0011
3925.58   0.0186  -0.0506   0.0556   0.0101
3926.49   0.0180  -0.0517   0.0664   0.0252
3927.41   0.0169  -0.0530   0.0763   0.0394
3928.33   0.0156  -0.0539   0.0876   0.0630
3929.25   0.0142  -0.0547   0.1041   0.0856
3930.16   0.0128  -0.0539   0.1158   0.1063
3931.08   0.0110  -0.0496   0.1164   0.1163
3932.00   0.0087  -0.0404   0.1038   0.1050
3932.92   0.0064  -0.0283   0.0752   0.0781
3933.84   0.0045  -0.0174   0.0453   0.0458
3934.75   0.0041  -0.0150   0.0396   0.0384
3935.67   0.0054  -0.0229   0.0614   0.0626
3936.59   0.0078  -0.0364   0.0923   0.0960
3937.51   0.0104  -0.0474   0.1148   0.1152
3938.43   0.0127  -0.0538   0.1185   0.1112
3939.35   0.0147  -0.0552   0.1089   0.0940
3940.27   0.0161  -0.0543   0.0939   0.0689
3941.19   0.0170  -0.0544   0.0826   0.0521
3942.11   0.0174  -0.0535   0.0773   0.0448
3943.03   0.0175  -0.0535   0.0750   0.0356
3943.95   0.0173  -0.0539   0.0750   0.0376
3944.87   0.0172  -0.0540   0.0756   0.0415
3945.79   0.0179  -0.0521   0.0664   0.0269
3946.71   0.0189  -0.0484   0.0507   0.0049
3947.64   0.0191  -0.0471   0.0443  -0.0020
3948.56   0.0186  -0.0468   0.0491   0.0029
3949.48   0.0185  -0.0461   0.0485   0.0033
3950.40   0.0188  -0.0455   0.0400  -0.0102
3951.32   0.0193  -0.0437   0.0317  -0.0209
3952.25   0.0192  -0.0435   0.0353  -0.0158
3953.17   0.0188  -0.0452   0.0444  -0.0051
3954.09   0.0189  -0.0452   0.0447  -0.0050
3955.02   0.0194  -0.0450   0.0354  -0.0163
3955.94   0.0193  -0.0435   0.0320  -0.0230
3956.86   0.0185  -0.0428   0.0390  -0.0128
3957.79   0.0181  -0.0429   0.0408  -0.0012
3958.71   0.0186  -0.0428   0.0349  -0.0097
3959.64   0.0192  -0.0419   0.0272  -0.0229
3960.56   0.0189  -0.0423   0.0331  -0.0173
3961.48   0.0178  -0.0456   0.0516   0.0082
3962.41   0.0165  -0.0484   0.0698   0.0385
3963.33   0.0157  -0.0493   0.0791   0.0511
3964.26   0.0154  -0.0491   0.0798   0.0540
3965.19   0.0146  -0.0474   0.0843   0.0600
3966.11   0.0128  -0.0446   0.0901   0.0747
3967.04   0.0102  -0.0379   0.0853   0.0793
3967.96   0.0072  -0.0272   0.0678   0.0651
3968.89   0.0051  -0.0171   0.0430   0.0425
3969.82   0.0047  -0.0137   0.0309   0.0278
3970.74   0.0061  -0.0176   0.0373   0.0304
3971.67   0.0086  -0.0256   0.0524   0.0399
3972.60   0.0111  -0.0345   0.0653   0.0459
3973.53   0.0131  -0.0399   0.0700   0.0440
3974.45   0.0146  -0.0418   0.0682   0.0388
3975.38   0.0159  -0.0429   0.0606   0.0257
3976.31   0.0170  -0.0424   0.0531   0.0128
