#lambda    flux1    flux2    flux3    flux4
3900.00   0.0223   0.0287  -0.0556  -0.0068
3900.91   0.0226   0.0298  -0.0601  -0.0238
3901.82   0.0235   0.0285  -0.0623  -0.0405
3902.73   0.0244   0.0289  -0.0581  -0.0363
3903.64   0.0248   0.0317  -0.0570  -0.0276
3904.56   0.0251   0.0315  -0.0605  -0.0189
3905.47   0.0254   0.0324  -0.0642  -0.0044
3906.38   0.0255   0.0369  -0.0612   0.0038
3907.29   0.0259   0.0355  -0.0613  -0.0017
3908.20   0.0269   0.0362  -0.0639  -0.0213
3909.12   0.0278   0.0360  -0.0633  -0.0360
3910.03   0.0283   0.0362  -0.0622  -0.0399
3910.94   0.0286   0.0383  -0.0609  -0.0463
3911.85   0.0288   0.0378  -0.0541  -0.0458
3912.77   0.0286   0.0398  -0.0530  -0.0259
3913.68   0.0282   0.0419  -0.0506   0.0021
3914.60   0.0280   0.0418  -0.0483   0.0019
3915.51   0.0284   0.0400  -0.0526  -0.0086
3916.42   0.0290   0.0408  -0.0565  -0.0038
3917.34   0.0292   0.0438  -0.0595   0.0028
3918.25   0.0291   0.0434  -0.0549   0.0156
3919.17   0.0290   0.0445  -0.0578   0.0194
3920.08   0.0289   0.0449  -0.0551   0.0161
3921.00   0.0291   0.0456  -0.0505   0.0180
3921.91   0.0293   0.0447  -0.0475   0.0079
3922.83   0.0295   0.0433  -0.0456   0.0079
3923.75   0.0295   0.0439  -0.0428   0.0037
3924.66   0.0297   0.0452  -0.0471  -0.0067
3925.58   0.0299   0.0465  -0.0456  -0.0091
3926.49   0.0298   0.0462  -0.0433   0.0085
3927.41   0.0295   0.0460  -0.0487   0.0274
3928.33   0.0291   0.0480  -0.0486   0.0471
3929.25   0.0284   0.0487  -0.0511   0.0725
3930.16   0.0277   0.0481  -0.0515   0.1029
3931.08   0.0269   0.0504  -0.0549   0.1375
3932.00   0.0250   0.0552  -0.0512   0.2092
3932.92   0.0214   0.0579  -0.0428   0.2838
3933.84   0.0172   0.0557  -0.0362   0.3145
3934.75   0.0159   0.0492  -0.0270   0.2747
3935.67   0.0190   0.0481  -0.0299   0.2027
3936.59   0.0235   0.0498  -0.0394   0.1332
3937.51   0.0265   0.0497  -0.0460   0.0793
3938.43   0.0279   0.0482  -0.0482   0.0657
3939.35   0.0286   0.0465  -0.0492   0.0328
3940.27   0.0291   0.0435  -0.0484   0.0110
3941.19   0.0293   0.0413  -0.0453   0.0071
3942.11   0.0291   0.0434  -0.0488   0.0074
3943.03   0.0289   0.0413  -0.0510   0.0232
3943.95   0.0283   0.0393  -0.0477   0.0210
3944.87   0.0281   0.0395  -0.0499   0.0131
3945.79   0.0281   0.0403  -0.0525   0.0064
3946.71   0.0283   0.0391  -0.0492  -0.0136
3947.64   0.0282   0.0383  -0.0491  -0.0191
3948.56   0.0277   0.0383  -0.0558  -0.0014
3949.48   0.0273   0.0381  -0.0577   0.0083
3950.40   0.0271   0.0360  -0.0583   0.0117
3951.32   0.0269   0.0356  -0.0577   0.0089
3952.25   0.0267   0.0350  -0.0555   0.0004
3953.17   0.0265   0.0336  -0.0588  -0.0062
3954.09   0.0264   0.0311  -0.0574  -0.0243
3955.02   0.0260   0.0283  -0.0538  -0.0314
3955.94   0.0255   0.0295  -0.0561  -0.0275
3956.86   0.0247   0.0293  -0.0576  -0.0188
3957.79   0.0243   0.0291  -0.0579  -0.0126
3958.71   0.0240   0.0273  -0.0552  -0.0235
3959.64   0.0238   0.0240  -0.0545  -0.0469
3960.56   0.0232   0.0243  -0.0526  -0.0482
3961.48   0.0223   0.0231  -0.0541  -0.0328
3962.41   0.0213   0.0210  -0.0563  -0.0280
3963.33   0.0205   0.0196  -0.0567  -0.0264
3964.26   0.0198   0.0166  -0.0577  -0.0347
3965.19   0.0188   0.0148  -0.0549  -0.0356
3966.11   0.0174   0.0146  -0.0524  -0.0122
3967.04   0.0155   0.0154  -0.0435   0.0199
3967.96   0.0129   0.0193  -0.0317   0.0505
3968.89   0.0101   0.0189  -0.0232   0.0681
3969.82   0.0083   0.0144  -0.0181   0.0528
3970.74   0.0082   0.0088  -0.0170  -0.0003
3971.67   0.0095   0.0033  -0.0254  -0.0447
3972.60   0.0117   0.0017  -0.0335  -0.0620
3973.53   0.0139   0.0028  -0.0378  -0.0704
3974.45   0.0157   0.0052  -0.0434  -0.0670
3975.38   0.0172   0.0069  -0.0515  -0.0661
3976.31   0.0184   0.0095  -0.0524  -0.0684
3977.24   0.0195   0.0137  -0.0491  -0.0714
3978.17   0.0204   0.0148  -0.0519  -0.0732
3979.10   0.0213   0.0166  -0.0537  -0.0774
3980.03   0.0221   0.0187  -0.0492  -0.0775
3980.95   0.0228   0.0204  -0.0513  -0.0733
3981.88   0.0233   0.0206  -0.0506  -0.0567
3982.81   0.0236   0.0225  -0.0510  -0.0484
3983.74   0.0240   0.0235  -0.0514  -0.0491
3984.67   0.0247   0.0254  -0.0537  -0.0441
3985.60   0.0251   0.0259  -0.0573  -0.0468
3986.54   0.0255   0.0266  -0.0520  -0.0448
3987.47   0.0258   0.0277  -0.0442  -0.0345
3988.40   0.0262   0.0276  -0.0435  -0.0380
3989.33   0.0267   0.0294  -0.0444  -0.0369
3990.26   0.0270   0.0310  -0.0398  -0.0290
3991.19   0.0271   0.0314  -0.0407  -0.0281
3992.12   0.0275   0.0325  -0.0394  -0.0269
3993.06   0.0279   0.0325  -0.0356  -0.0375
3993.99   0.0281   0.0330  -0.0357  -0.0364
3994.92   0.0282   0.0336  -0.0334  -0.0334
3995.85   0.0282   0.0336  -0.0352  -0.0190
3996.79   0.0281   0.0350  -0.0410  -0.0004
3997.72   0.0279   0.0363  -0.0417   0.0174
3998.65   0.0280   0.0369  -0.0361   0.0143
3999.59   0.0283   0.0378  -0.0362  -0.0028
4000.52   0.0288   0.0359  -0.0355  -0.0104
4001.45   0.0292   0.0360  -0.0309  -0.0186
4002.39   0.0292   0.0367  -0.0289  -0.0227
4003.32   0.0292   0.0358  -0.0272  -0.0069
4004.26   0.0290   0.0368  -0.0318  -0.0068
4005.19   0.0286   0.0389  -0.0361   0.0127
4006.13   0.0283   0.0398  -0.0325   0.0269
4007.06   0.0286   0.0373  -0.0344   0.0175
4008.00   0.0293   0.0381  -0.0330   0.0005
4008.94   0.0297   0.0391  -0.0277  -0.0096
4009.87   0.0298   0.0385  -0.0275  -0.0141
4010.81   0.0298   0.0381  -0.0252  -0.0104
4011.74   0.0296   0.0398  -0.0238  -0.0046
4012.68   0.0295   0.0386  -0.0235   0.0016
4013.62   0.0294   0.0378  -0.0224   0.0031
4014.56   0.0295   0.0390  -0.0223   0.0001
