#lambda    flux1    flux2    flux3    flux4
3900.00   0.0051  -0.0244  -0.0513   0.0121
3900.91   0.0052  -0.0251  -0.0521   0.0106
3901.82   0.0058  -0.0259  -0.0450   0.0125
3902.73   0.0059  -0.0251  -0.0458   0.0087
3903.64   0.0055  -0.0231  -0.0464   0.0101
3904.56   0.0052  -0.0221  -0.0465   0.0125
3905.47   0.0051  -0.0224  -0.0458   0.0114
3906.38   0.0048  -0.0203  -0.0441   0.0073
3907.29   0.0049  -0.0205  -0.0409   0.0044
3908.20   0.0060  -0.0257  -0.0412  -0.0032
3909.12   0.0070  -0.0293  -0.0401  -0.0152
3910.03   0.0075  -0.0283  -0.0396  -0.0169
3910.94   0.0075  -0.0296  -0.0366  -0.0129
3911.85   0.0076  -0.0296  -0.0392  -0.0135
3912.77   0.0078  -0.0314  -0.0406  -0.0123
3913.68   0.0080  -0.0321  -0.0387  -0.0087
3914.60   0.0078  -0.0310  -0.0362  -0.0195
3915.51   0.0076  -0.0299  -0.0372  -0.0159
3916.42   0.0074  -0.0287  -0.0417  -0.0069
3917.34   0.0071  -0.0285  -0.0410  -0.0089
3918.25   0.0068  -0.0286  -0.0368   0.0002
3919.17   0.0063  -0.0282  -0.0390   0.0024
3920.08   0.0056  -0.0243  -0.0414   0.0033
3921.00   0.0048  -0.0211  -0.0429   0.0064
3921.91   0.0045  -0.0212  -0.0430   0.0095
3922.83   0.0045  -0.0198  -0.0467   0.0129
3923.75   0.0046  -0.0207  -0.0436   0.0180
3924.66   0.0049  -0.0244  -0.0418   0.0131
3925.58   0.0053  -0.0247  -0.0417   0.0067
3926.49   0.0050  -0.0222  -0.0399   0.0060
3927.41   0.0046  -0.0203  -0.0359   0.0051
3928.33   0.0039  -0.0170  -0.0316   0.0050
3929.25   0.0032  -0.0138  -0.0273   0.0048
3930.16   0.0029  -0.0132  -0.0253   0.0063
3931.08   0.0026  -0.0113  -0.0227   0.0001
3932.00   0.0023  -0.0089  -0.0196   0.0028
3932.92   0.0021  -0.0068  -0.0169   0.0026
3933.84   0.0019  -0.0046  -0.0164  -0.0012
3934.75   0.0019  -0.0022  -0.0167  -0.0004
3935.67   0.0020  -0.0031  -0.0162   0.0037
3936.59   0.0023  -0.0067  -0.0171   0.0058
3937.51   0.0028  -0.0090  -0.0202   0.0071
3938.43   0.0032  -0.0119  -0.0231   0.0076
3939.35   0.0039  -0.0152  -0.0248   0.0068
3940.27   0.0045  -0.0174  -0.0302   0.0069
3941.19   0.0047  -0.0184  -0.0362   0.0073
3942.11   0.0047  -0.0199  -0.0379   0.0037
3943.03   0.0044  -0.0190  -0.0383   0.0112
3943.95   0.0040  -0.0178  -0.0437   0.0178
3944.87   0.0037  -0.0177  -0.0426   0.0262
3945.79   0.0042  -0.0196  -0.0426   0.0292
3946.71   0.0054  -0.0241  -0.0432   0.0177
3947.64   0.0061  -0.0251  -0.0431   0.0077
3948.56   0.0061  -0.0237  -0.0407   0.0029
3949.48   0.0061  -0.0253  -0.0404   0.0063
3950.40   0.0066  -0.0278  -0.0398   0.0069
3951.32   0.0073  -0.0298  -0.0344  -0.0009
3952.25   0.0075  -0.0291  -0.0347  -0.0053
3953.17   0.0072  -0.0264  -0.0371  -0.0060
3954.09   0.0072  -0.0275  -0.0372  -0.0051
3955.02   0.0076  -0.0300  -0.0372  -0.0024
3955.94   0.0075  -0.0296  -0.0366  -0.0031
3956.86   0.0068  -0.0258  -0.0374   0.0035
3957.79   0.0061  -0.0243  -0.0401   0.0121
3958.71   0.0061  -0.0265  -0.0398   0.0153
3959.64   0.0062  -0.0277  -0.0412   0.0202
3960.56   0.0056  -0.0265  -0.0435   0.0260
3961.48   0.0045  -0.0220  -0.0468   0.0285
3962.41   0.0035  -0.0168  -0.0436   0.0306
3963.33   0.0034  -0.0145  -0.0380   0.0263
3964.26   0.0038  -0.0143  -0.0340   0.0138
3965.19   0.0040  -0.0152  -0.0310   0.0056
3966.11   0.0036  -0.0144  -0.0234   0.0008
3967.04   0.0030  -0.0106  -0.0153   0.0018
3967.96   0.0025  -0.0067  -0.0172   0.0002
3968.89   0.0021  -0.0044  -0.0170   0.0009
3969.82   0.0021  -0.0050  -0.0168   0.0034
3970.74   0.0025  -0.0061  -0.0220   0.0016
3971.67   0.0030  -0.0082  -0.0215   0.0027
3972.60   0.0037  -0.0109  -0.0235   0.0054
3973.53   0.0042  -0.0140  -0.0296   0.0044
3974.45   0.0047  -0.0175  -0.0294   0.0058
3975.38   0.0055  -0.0190  -0.0316   0.0061
3976.31   0.0061  -0.0214  -0.0316   0.0071
3977.24   0.0066  -0.0234  -0.0312   0.0038
3978.17   0.0070  -0.0229  -0.0350  -0.0006
3979.10   0.0075  -0.0258  -0.0330  -0.0025
3980.03   0.0082  -0.0301  -0.0305  -0.0041
3980.95   0.0086  -0.0310  -0.0309  -0.0025
3981.88   0.0086  -0.0314  -0.0309  -0.0026
3982.81   0.0084  -0.0306  -0.0324  -0.0102
3983.74   0.0081  -0.0297  -0.0303  -0.0097
3984.67   0.0083  -0.0289  -0.0308  -0.0072
3985.60   0.0087  -0.0295  -0.0351  -0.0092
3986.54   0.0088  -0.0289  -0.0349  -0.0070
3987.47   0.0089  -0.0298  -0.0319  -0.0058
3988.40   0.0093  -0.0325  -0.0294  -0.0144
3989.33   0.0095  -0.0333  -0.0279  -0.0135
3990.26   0.0093  -0.0327  -0.0303  -0.0082
3991.19   0.0090  -0.0329  -0.0324  -0.0104
3992.12   0.0093  -0.0316  -0.0329  -0.0103
3993.06   0.0101  -0.0324  -0.0332  -0.0192
3993.99   0.0103  -0.0335  -0.0296  -0.0269
3994.92   0.0100  -0.0331  -0.0284  -0.0210
3995.85   0.0097  -0.0323  -0.0309  -0.0160
3996.79   0.0093  -0.0315  -0.0286  -0.0134
3997.72   0.0088  -0.0297  -0.0319  -0.0119
3998.65   0.0084  -0.0294  -0.0352  -0.0048
3999.59   0.0088  -0.0305  -0.0325  -0.0014
4000.52   0.0098  -0.0335  -0.0252  -0.0116
4001.45   0.0103  -0.0346  -0.0238  -0.0218
4002.39   0.0106  -0.0343  -0.0249  -0.0251
4003.32   0.0109  -0.0358  -0.0250  -0.0194
4004.26   0.0108  -0.0363  -0.0231  -0.0219
4005.19   0.0095  -0.0323  -0.0282  -0.0143
4006.13   0.0080  -0.0265  -0.0381  -0.0038
4007.06   0.0079  -0.0265  -0.0393  -0.0032
4008.00   0.0091  -0.0305  -0.0326  -0.0128
4008.94   0.0101  -0.0329  -0.0274  -0.0176
4009.87   0.0104  -0.0350  -0.0257  -0.0199
4010.81   0.0105  -0.0350  -0.0295  -0.0200
4011.74   0.0107  -0.0353  -0.0297  -0.0214
4012.68   0.0110  -0.0338  -0.0243  -0.0255
4013.62   0.0111  -0.0337  -0.0245  -0.0277
4014.56   0.0108  -0.0333  -0.0208  -0.0224
4015.49   0.0107  -0.0340  -0.0223  -0.0190
4016.43   0.0109  -0.0343  -0.0272  -0.0204
4017.37   0.0106  -0.0335  -0.0241  -0.0213
4018.31   0.0103  -0.0323  -0.0260  -0.0163
4019.24   0.0105  -0.0328  -0.0255  -0.0231
4020.18   0.0111  -0.0348  -0.0200  -0.0291
4021.12   0.0111  -0.0355  -0.0206  -0.0246
4022.06   0.0109  -0.0339  -0.0230  -0.0240
4023.00   0.0109  -0.0343  -0.0222  -0.0310
4023.94   0.0110  -0.0353  -0.0217  -0.0259
4024.88   0.0107  -0.0348  -0.0250  -0.0220
4025.82   0.0104  -0.0332  -0.0268  -0.0202
4026.76   0.0107  -0.0342  -0.0295  -0.0156
4027.70   0.0112  -0.0345  -0.0253  -0.0207
4028.64   0.0117  -0.0360  -0.0238  -0.0276
4029.58   0.0115  -0.0366  -0.0244  -0.0272
4030.52   0.0101  -0.0339  -0.0279  -0.0196
4031.46   0.0085  -0.0304  -0.0392  -0.0050
4032.40   0.0075  -0.0287  -0.0437   0.0085
4033.34   0.0072  -0.0275  -0.0476   0.0138
4034.29   0.0072  -0.0272  -0.0499   0.0178
4035.23   0.0075  -0.0293  -0.0496   0.0136
4036.17   0.0087  -0.0308  -0.0442  -0.0019
4037.11   0.0103  -0.0320  -0.0337  -0.0171
4038.06   0.0118  -0.0343  -0.0247  -0.0302
4039.00   0.0124  -0.0373  -0.0185  -0.0334
4039.94   0.0121  -0.0372  -0.0202  -0.0323
4040.88   0.0114  -0.0333  -0.0224  -0.0236
4041.83   0.0108  -0.0309  -0.0283  -0.0200
4042.77   0.0109  -0.0327  -0.0295  -0.0237
4043.72   0.0107  -0.0345  -0.0305  -0.0162
4044.66   0.0092  -0.0302  -0.0384  -0.0075
4045.60   0.0068  -0.0227  -0.0429   0.0098
4046.55   0.0052  -0.0203  -0.0451   0.0271
4047.49   0.0058  -0.0232  -0.0483   0.0232
4048.44   0.0079  -0.0295  -0.0465   0.0124
4049.38   0.0097  -0.0326  -0.0404  -0.0074
