#lambda    flux1    flux2    flux3    flux4
3900.00   0.0070  -0.0245   0.0520  -0.0105
3900.91   0.0070  -0.0242   0.0536  -0.0140
3901.82   0.0076  -0.0250   0.0496  -0.0030
3902.73   0.0077  -0.0253   0.0467   0.0004
3903.64   0.0072  -0.0244   0.0518  -0.0050
3904.56   0.0070  -0.0226   0.0561  -0.0115
3905.47   0.0067  -0.0214   0.0535  -0.0108
3906.38   0.0062  -0.0207   0.0493  -0.0114
3907.29   0.0064  -0.0208   0.0485  -0.0091
3908.20   0.0077  -0.0224   0.0453   0.0056
3909.12   0.0090  -0.0266   0.0424   0.0229
3910.03   0.0093  -0.0273   0.0398   0.0252
3910.94   0.0092  -0.0264   0.0344   0.0220
3911.85   0.0094  -0.0276   0.0371   0.0253
3912.77   0.0099  -0.0286   0.0389   0.0294
3913.68   0.0100  -0.0279   0.0327   0.0249
3914.60   0.0097  -0.0265   0.0298   0.0251
3915.51   0.0095  -0.0262   0.0278   0.0209
3916.42   0.0093  -0.0266   0.0281   0.0172
3917.34   0.0089  -0.0260   0.0355   0.0193
3918.25   0.0086  -0.0256   0.0404   0.0162
3919.17   0.0083  -0.0262   0.0433   0.0067
3920.08   0.0073  -0.0247   0.0474  -0.0012
3921.00   0.0064  -0.0211   0.0472  -0.0073
3921.91   0.0060  -0.0184   0.0490  -0.0097
3922.83   0.0060  -0.0187   0.0499  -0.0093
3923.75   0.0063  -0.0205   0.0514  -0.0152
3924.66   0.0067  -0.0223   0.0498  -0.0145
3925.58   0.0069  -0.0216   0.0454  -0.0080
3926.49   0.0066  -0.0201   0.0400  -0.0067
3927.41   0.0059  -0.0185   0.0363  -0.0055
3928.33   0.0050  -0.0148   0.0330  -0.0058
3929.25   0.0042  -0.0135   0.0281  -0.0068
3930.16   0.0036  -0.0118   0.0234   0.0006
3931.08   0.0032  -0.0109   0.0166   0.0032
3932.00   0.0028  -0.0097   0.0133   0.0042
3932.92   0.0024  -0.0084   0.0118   0.0075
3933.84   0.0021  -0.0062   0.0117   0.0121
