#lambda    flux1    flux2    flux3    flux4
3900.00   0.0214  -0.0280   0.0529   0.0136
3900.91   0.0218  -0.0283   0.0434   0.0220
3901.82   0.0227  -0.0286   0.0424   0.0312
3902.73   0.0233  -0.0301   0.0482   0.0330
3903.64   0.0234  -0.0331   0.0529   0.0173
3904.56   0.0234  -0.0370   0.0569   0.0003
3905.47   0.0234  -0.0388   0.0584  -0.0033
3906.38   0.0233  -0.0394   0.0593  -0.0120
3907.29   0.0238  -0.0409   0.0570  -0.0040
3908.20   0.0249  -0.0394   0.0551   0.0141
3909.12   0.0258  -0.0392   0.0514   0.0244
3910.03   0.0263  -0.0398   0.0477   0.0352
3910.94   0.0266  -0.0397   0.0474   0.0379
3911.85   0.0267  -0.0394   0.0437   0.0422
3912.77   0.0264  -0.0400   0.0425   0.0383
3913.68   0.0255  -0.0396   0.0438   0.0251
3914.60   0.0253  -0.0396   0.0448   0.0084
3915.51   0.0257  -0.0416   0.0501   0.0075
3916.42   0.0261  -0.0427   0.0556   0.0084
3917.34   0.0260  -0.0439   0.0592  -0.0044
3918.25   0.0258  -0.0452   0.0611  -0.0138
3919.17   0.0256  -0.0454   0.0590  -0.0155
3920.08   0.0255  -0.0451   0.0556  -0.0140
3921.00   0.0257  -0.0453   0.0504  -0.0082
3921.91   0.0260  -0.0455   0.0488   0.0037
3922.83   0.0261  -0.0448   0.0430   0.0079
3923.75   0.0263  -0.0441   0.0393   0.0127
3924.66   0.0264  -0.0451   0.0401   0.0159
3925.58   0.0265  -0.0456   0.0456   0.0015
3926.49   0.0262  -0.0465   0.0526  -0.0201
3927.41   0.0255  -0.0486   0.0548  -0.0425
3928.33   0.0247  -0.0491   0.0611  -0.0607
3929.25   0.0239  -0.0514   0.0719  -0.0912
3930.16   0.0227  -0.0547   0.0808  -0.1319
3931.08   0.0210  -0.0571   0.0929  -0.1909
3932.00   0.0182  -0.0589   0.1008  -0.2449
3932.92   0.0143  -0.0544   0.0949  -0.2627
3933.84   0.0107  -0.0453   0.0742  -0.2401
3934.75   0.0101  -0.0409   0.0602  -0.2091
3935.67   0.0133  -0.0471   0.0689  -0.2071
3936.59   0.0178  -0.0554   0.0819  -0.2027
3937.51   0.0213  -0.0580   0.0846  -0.1756
3938.43   0.0232  -0.0554   0.0801  -0.1301
3939.35   0.0244  -0.0504   0.0674  -0.0889
3940.27   0.0253  -0.0488   0.0576  -0.0552
3941.19   0.0257  -0.0488   0.0555  -0.0284
3942.11   0.0257  -0.0469   0.0552  -0.0270
3943.03   0.0255  -0.0458   0.0595  -0.0293
3943.95   0.0251  -0.0457   0.0589  -0.0282
3944.87   0.0248  -0.0444   0.0552  -0.0343
3945.79   0.0252  -0.0426   0.0520  -0.0159
3946.71   0.0257  -0.0412   0.0501  -0.0022
