#lambda    flux1    flux2    flux3    flux4
3900.00   0.0101  -0.0332   0.0539  -0.0159
3900.91   0.0102  -0.0339   0.0564  -0.0198
3901.82   0.0107  -0.0342   0.0502  -0.0110
3902.73   0.0106  -0.0320   0.0474  -0.0069
3903.64   0.0100  -0.0314   0.0567  -0.0193
3904.56   0.0097  -0.0327   0.0653  -0.0325
3905.47   0.0093  -0.0306   0.0648  -0.0272
3906.38   0.0087  -0.0282   0.0621  -0.0300
3907.29   0.0090  -0.0288   0.0583  -0.0275
3908.20   0.0105  -0.0319   0.0507  -0.0003
3909.12   0.0119  -0.0342   0.0435   0.0203
3910.03   0.0122  -0.0343   0.0403   0.0194
3910.94   0.0121  -0.0332   0.0413   0.0187
3911.85   0.0123  -0.0344   0.0420   0.0159
3912.77   0.0129  -0.0359   0.0404   0.0211
3913.68   0.0129  -0.0353   0.0335   0.0270
3914.60   0.0125  -0.0340   0.0308   0.0252
3915.51   0.0122  -0.0329   0.0313   0.0255
3916.42   0.0121  -0.0333   0.0343   0.0250
3917.34   0.0118  -0.0335   0.0384   0.0190
3918.25   0.0116  -0.0331   0.0421   0.0138
3919.17   0.0112  -0.0330   0.0443   0.0032
3920.08   0.0103  -0.0322   0.0503  -0.0113
3921.00   0.0093  -0.0314   0.0588  -0.0221
3921.91   0.0087  -0.0306   0.0627  -0.0280
3922.83   0.0088  -0.0310   0.0626  -0.0303
3923.75   0.0092  -0.0322   0.0607  -0.0319
3924.66   0.0097  -0.0324   0.0579  -0.0282
3925.58   0.0098  -0.0316   0.0544  -0.0185
3926.49   0.0093  -0.0294   0.0509  -0.0195
3927.41   0.0083  -0.0273   0.0511  -0.0238
3928.33   0.0070  -0.0242   0.0477  -0.0276
3929.25   0.0059  -0.0206   0.0431  -0.0256
3930.16   0.0051  -0.0174   0.0380  -0.0194
3931.08   0.0044  -0.0151   0.0292  -0.0119
3932.00   0.0038  -0.0125   0.0169  -0.0032
3932.92   0.0031  -0.0087   0.0080   0.0046
3933.84   0.0025  -0.0068   0.0050   0.0106
3934.75   0.0023  -0.0057   0.0045   0.0101
3935.67   0.0027  -0.0071   0.0078   0.0079
3936.59   0.0035  -0.0106   0.0143   0.0012
3937.51   0.0045  -0.0142   0.0221  -0.0079
3938.43   0.0054  -0.0171   0.0330  -0.0147
3939.35   0.0065  -0.0202   0.0427  -0.0211
3940.27   0.0075  -0.0239   0.0479  -0.0234
3941.19   0.0081  -0.0256   0.0513  -0.0228
3942.11   0.0084  -0.0268   0.0548  -0.0260
3943.03   0.0084  -0.0283   0.0592  -0.0278
3943.95   0.0080  -0.0278   0.0654  -0.0365
3944.87   0.0077  -0.0269   0.0703  -0.0437
3945.79   0.0086  -0.0290   0.0690  -0.0399
3946.71   0.0102  -0.0325   0.0599  -0.0229
3947.64   0.0109  -0.0327   0.0499  -0.0098
3948.56   0.0107  -0.0317   0.0494  -0.0055
3949.48   0.0107  -0.0314   0.0488  -0.0029
3950.40   0.0114  -0.0329   0.0425   0.0009
3951.32   0.0122  -0.0334   0.0362   0.0122
3952.25   0.0121  -0.0326   0.0322   0.0194
3953.17   0.0115  -0.0317   0.0364   0.0147
3954.09   0.0115  -0.0314   0.0408   0.0078
3955.02   0.0121  -0.0333   0.0390   0.0112
3955.94   0.0123  -0.0336   0.0379   0.0090
3956.86   0.0115  -0.0325   0.0394  -0.0013
3957.79   0.0109  -0.0319   0.0443  -0.0100
3958.71   0.0113  -0.0326   0.0469  -0.0094
3959.64   0.0117  -0.0340   0.0452  -0.0116
3960.56   0.0111  -0.0345   0.0499  -0.0271
3961.48   0.0093  -0.0310   0.0618  -0.0488
3962.41   0.0075  -0.0266   0.0709  -0.0611
3963.33   0.0069  -0.0243   0.0685  -0.0557
3964.26   0.0071  -0.0238   0.0573  -0.0378
3965.19   0.0070  -0.0222   0.0456  -0.0260
3966.11   0.0062  -0.0186   0.0350  -0.0190
3967.04   0.0049  -0.0137   0.0240  -0.0103
3967.96   0.0037  -0.0091   0.0138  -0.0000
3968.89   0.0028  -0.0069   0.0068   0.0047
3969.82   0.0027  -0.0065   0.0068   0.0022
3970.74   0.0034  -0.0087   0.0135   0.0015
3971.67   0.0045  -0.0131   0.0222  -0.0038
3972.60   0.0058  -0.0177   0.0326  -0.0115
3973.53   0.0068  -0.0205   0.0414  -0.0167
3974.45   0.0078  -0.0226   0.0465  -0.0193
3975.38   0.0089  -0.0262   0.0500  -0.0152
3976.31   0.0099  -0.0280   0.0491  -0.0145
3977.24   0.0107  -0.0289   0.0466  -0.0126
3978.17   0.0113  -0.0299   0.0437  -0.0029
3979.10   0.0121  -0.0310   0.0400   0.0023
3980.03   0.0130  -0.0328   0.0355   0.0054
3980.95   0.0135  -0.0347   0.0302   0.0150
3981.88   0.0136  -0.0351   0.0249   0.0222
3982.81   0.0131  -0.0336   0.0248   0.0222
3983.74   0.0128  -0.0326   0.0314   0.0175
3984.67   0.0129  -0.0317   0.0337   0.0141
3985.60   0.0133  -0.0324   0.0333   0.0166
3986.54   0.0133  -0.0328   0.0345   0.0184
3987.47   0.0133  -0.0317   0.0327   0.0180
3988.40   0.0138  -0.0319   0.0253   0.0229
3989.33   0.0144  -0.0342   0.0200   0.0317
3990.26   0.0144  -0.0352   0.0219   0.0289
3991.19   0.0141  -0.0342   0.0260   0.0231
3992.12   0.0144  -0.0351   0.0249   0.0242
3993.06   0.0150  -0.0358   0.0234   0.0329
3993.99   0.0150  -0.0344   0.0213   0.0344
3994.92   0.0146  -0.0344   0.0181   0.0332
3995.85   0.0142  -0.0345   0.0191   0.0295
3996.79   0.0139  -0.0335   0.0216   0.0309
3997.72   0.0135  -0.0327   0.0250   0.0244
3998.65   0.0132  -0.0317   0.0285   0.0129
3999.59   0.0138  -0.0328   0.0218   0.0207
4000.52   0.0148  -0.0347   0.0133   0.0318
4001.45   0.0151  -0.0344   0.0129   0.0377
4002.39   0.0151  -0.0336   0.0140   0.0373
4003.32   0.0156  -0.0337   0.0108   0.0420
4004.26   0.0156  -0.0350   0.0088   0.0423
4005.19   0.0142  -0.0335   0.0190   0.0246
4006.13   0.0125  -0.0313   0.0354   0.0044
4007.06   0.0123  -0.0319   0.0412   0.0025
4008.00   0.0136  -0.0324   0.0314   0.0187
4008.94   0.0148  -0.0339   0.0180   0.0314
4009.87   0.0152  -0.0352   0.0160   0.0321
4010.81   0.0153  -0.0352   0.0176   0.0302
4011.74   0.0154  -0.0346   0.0168   0.0349
4012.68   0.0157  -0.0344   0.0121   0.0395
4013.62   0.0156  -0.0338   0.0090   0.0433
4014.56   0.0154  -0.0336   0.0116   0.0375
4015.49   0.0154  -0.0337   0.0118   0.0331
4016.43   0.0155  -0.0342   0.0106   0.0355
4017.37   0.0152  -0.0332   0.0170   0.0353
4018.31   0.0146  -0.0321   0.0215   0.0299
4019.24   0.0150  -0.0330   0.0174   0.0284
4020.18   0.0156  -0.0344   0.0101   0.0364
4021.12   0.0156  -0.0346   0.0077   0.0364
4022.06   0.0154  -0.0339   0.0107   0.0350
4023.00   0.0156  -0.0338   0.0117   0.0375
4023.94   0.0157  -0.0343   0.0084   0.0393
4024.88   0.0153  -0.0337   0.0098   0.0404
4025.82   0.0151  -0.0335   0.0144   0.0347
4026.76   0.0154  -0.0337   0.0147   0.0349
4027.70   0.0159  -0.0346   0.0122   0.0361
4028.64   0.0164  -0.0348   0.0069   0.0397
4029.58   0.0162  -0.0334   0.0036   0.0466
4030.52   0.0150  -0.0325   0.0134   0.0321
4031.46   0.0134  -0.0331   0.0289   0.0099
4032.40   0.0128  -0.0338   0.0405  -0.0007
4033.34   0.0127  -0.0337   0.0433  -0.0025
4034.29   0.0127  -0.0337   0.0439  -0.0005
4035.23   0.0129  -0.0340   0.0433   0.0025
4036.17   0.0139  -0.0332   0.0360   0.0162
4037.11   0.0152  -0.0334   0.0228   0.0287
4038.06   0.0163  -0.0341   0.0082   0.0428
