#lambda    flux1    flux2    flux3    flux4
3900.00   0.0112  -0.0350   0.0514  -0.0101
3900.91   0.0113  -0.0363   0.0544  -0.0158
3901.82   0.0118  -0.0365   0.0483  -0.0051
3902.73   0.0116  -0.0358   0.0488  -0.0037
3903.64   0.0110  -0.0353   0.0589  -0.0176
3904.56   0.0107  -0.0347   0.0656  -0.0251
3905.47   0.0102  -0.0332   0.0648  -0.0275
3906.38   0.0096  -0.0319   0.0631  -0.0329
3907.29   0.0099  -0.0325   0.0608  -0.0270
3908.20   0.0115  -0.0347   0.0534  -0.0027
3909.12   0.0129  -0.0369   0.0450   0.0205
3910.03   0.0131  -0.0374   0.0417   0.0209
3910.94   0.0129  -0.0361   0.0425   0.0178
3911.85   0.0133  -0.0368   0.0420   0.0170
3912.77   0.0138  -0.0373   0.0399   0.0221
3913.68   0.0138  -0.0360   0.0342   0.0260
3914.60   0.0134  -0.0356   0.0307   0.0247
3915.51   0.0131  -0.0352   0.0328   0.0218
3916.42   0.0130  -0.0354   0.0361   0.0175
3917.34   0.0128  -0.0354   0.0391   0.0139
3918.25   0.0126  -0.0352   0.0422   0.0083
3919.17   0.0122  -0.0349   0.0427   0.0031
3920.08   0.0113  -0.0351   0.0486  -0.0110
3921.00   0.0103  -0.0346   0.0584  -0.0266
3921.91   0.0097  -0.0340   0.0631  -0.0336
3922.83   0.0098  -0.0342   0.0648  -0.0326
3923.75   0.0103  -0.0353   0.0620  -0.0316
3924.66   0.0108  -0.0358   0.0569  -0.0302
3925.58   0.0108  -0.0352   0.0549  -0.0242
3926.49   0.0102  -0.0335   0.0550  -0.0231
3927.41   0.0091  -0.0305   0.0540  -0.0290
3928.33   0.0079  -0.0273   0.0521  -0.0343
3929.25   0.0066  -0.0236   0.0488  -0.0373
3930.16   0.0057  -0.0207   0.0421  -0.0328
3931.08   0.0049  -0.0178   0.0328  -0.0221
3932.00   0.0042  -0.0130   0.0206  -0.0097
3932.92   0.0034  -0.0095   0.0103   0.0033
3933.84   0.0027  -0.0083   0.0061   0.0084
3934.75   0.0025  -0.0077   0.0056   0.0076
3935.67   0.0029  -0.0087   0.0097   0.0046
3936.59   0.0038  -0.0118   0.0181  -0.0044
3937.51   0.0048  -0.0159   0.0293  -0.0167
3938.43   0.0060  -0.0198   0.0418  -0.0264
3939.35   0.0072  -0.0233   0.0488  -0.0305
3940.27   0.0083  -0.0271   0.0536  -0.0319
3941.19   0.0090  -0.0302   0.0559  -0.0302
3942.11   0.0093  -0.0314   0.0591  -0.0267
3943.03   0.0093  -0.0318   0.0641  -0.0310
3943.95   0.0089  -0.0323   0.0682  -0.0439
3944.87   0.0087  -0.0323   0.0740  -0.0558
3945.79   0.0096  -0.0341   0.0710  -0.0483
3946.71   0.0112  -0.0357   0.0585  -0.0270
3947.64   0.0119  -0.0355   0.0506  -0.0143
3948.56   0.0117  -0.0348   0.0503  -0.0108
3949.48   0.0117  -0.0348   0.0488  -0.0080
3950.40   0.0124  -0.0350   0.0422   0.0019
3951.32   0.0131  -0.0357   0.0355   0.0150
3952.25   0.0131  -0.0348   0.0323   0.0182
3953.17   0.0124  -0.0336   0.0365   0.0080
3954.09   0.0123  -0.0339   0.0421   0.0031
3955.02   0.0131  -0.0354   0.0405   0.0110
3955.94   0.0132  -0.0363   0.0379   0.0140
3956.86   0.0124  -0.0349   0.0410   0.0025
3957.79   0.0118  -0.0341   0.0451  -0.0074
3958.71   0.0122  -0.0354   0.0455  -0.0073
3959.64   0.0128  -0.0363   0.0434  -0.0040
3960.56   0.0122  -0.0363   0.0490  -0.0166
3961.48   0.0104  -0.0343   0.0624  -0.0465
3962.41   0.0084  -0.0316   0.0726  -0.0682
3963.33   0.0077  -0.0291   0.0729  -0.0637
3964.26   0.0079  -0.0273   0.0623  -0.0469
3965.19   0.0077  -0.0254   0.0509  -0.0361
3966.11   0.0067  -0.0215   0.0400  -0.0270
3967.04   0.0053  -0.0161   0.0282  -0.0171
3967.96   0.0039  -0.0115   0.0155  -0.0055
3968.89   0.0030  -0.0085   0.0074   0.0036
3969.82   0.0029  -0.0082   0.0088   0.0022
3970.74   0.0037  -0.0105   0.0150  -0.0035
