#lambda    flux1    flux2    flux3    flux4
3900.00   0.0150  -0.0395   0.0435  -0.0081
3900.91   0.0152  -0.0402   0.0442  -0.0079
3901.82   0.0156  -0.0411   0.0437  -0.0105
3902.73   0.0154  -0.0404   0.0464  -0.0058
3903.64   0.0149  -0.0412   0.0556   0.0099
3904.56   0.0146  -0.0408   0.0592   0.0155
3905.47   0.0140  -0.0402   0.0605   0.0192
3906.38   0.0134  -0.0396   0.0626   0.0276
3907.29   0.0139  -0.0392   0.0599   0.0204
3908.20   0.0154  -0.0410   0.0511   0.0010
3909.12   0.0166  -0.0417   0.0434  -0.0141
3910.03   0.0167  -0.0406   0.0421  -0.0153
3910.94   0.0166  -0.0417   0.0455  -0.0149
3911.85   0.0169  -0.0424   0.0415  -0.0192
3912.77   0.0174  -0.0420   0.0352  -0.0305
3913.68   0.0172  -0.0415   0.0340  -0.0309
3914.60   0.0167  -0.0398   0.0383  -0.0257
3915.51   0.0164  -0.0404   0.0407  -0.0197
3916.42   0.0164  -0.0415   0.0412  -0.0118
3917.34   0.0163  -0.0405   0.0428  -0.0111
3918.25   0.0161  -0.0403   0.0431  -0.0151
3919.17   0.0158  -0.0403   0.0456  -0.0099
3920.08   0.0151  -0.0405   0.0516   0.0069
3921.00   0.0144  -0.0415   0.0596   0.0198
3921.91   0.0140  -0.0419   0.0660   0.0314
3922.83   0.0141  -0.0420   0.0657   0.0307
3923.75   0.0146  -0.0431   0.0604   0.0254
3924.66   0.0149  -0.0424   0.0580   0.0190
3925.58   0.0148  -0.0411   0.0617   0.0224
3926.49   0.0141  -0.0406   0.0686   0.0374
3927.41   0.0129  -0.0393   0.0742   0.0462
3928.33   0.0115  -0.0372   0.0784   0.0595
3929.25   0.0100  -0.0344   0.0838   0.0734
3930.16   0.0086  -0.0312   0.0850   0.0825
3931.08   0.0074  -0.0264   0.0744   0.0774
3932.00   0.0060  -0.0204   0.0571   0.0597
3932.92   0.0045  -0.0143   0.0365   0.0359
3933.84   0.0035  -0.0093   0.0197   0.0160
3934.75   0.0032  -0.0081   0.0164   0.0148
3935.67   0.0039  -0.0113   0.0292   0.0263
3936.59   0.0053  -0.0175   0.0507   0.0508
3937.51   0.0070  -0.0241   0.0711   0.0717
3938.43   0.0087  -0.0296   0.0853   0.0811
3939.35   0.0104  -0.0349   0.0894   0.0832
3940.27   0.0118  -0.0373   0.0839   0.0695
3941.19   0.0128  -0.0387   0.0789   0.0586
3942.11   0.0133  -0.0405   0.0777   0.0542
3943.03   0.0134  -0.0410   0.0757   0.0523
3943.95   0.0131  -0.0403   0.0800   0.0539
3944.87   0.0130  -0.0408   0.0829   0.0583
3945.79   0.0138  -0.0409   0.0749   0.0508
3946.71   0.0152  -0.0415   0.0607   0.0236
3947.64   0.0158  -0.0413   0.0534   0.0116
3948.56   0.0155  -0.0401   0.0556   0.0158
3949.48   0.0153  -0.0389   0.0526   0.0134
3950.40   0.0159  -0.0397   0.0457   0.0002
3951.32   0.0165  -0.0395   0.0374  -0.0137
3952.25   0.0164  -0.0388   0.0392  -0.0135
3953.17   0.0158  -0.0388   0.0482  -0.0033
3954.09   0.0158  -0.0392   0.0496   0.0021
3955.02   0.0165  -0.0396   0.0440  -0.0049
3955.94   0.0166  -0.0393   0.0396  -0.0145
3956.86   0.0158  -0.0377   0.0441  -0.0001
3957.79   0.0153  -0.0377   0.0480   0.0098
3958.71   0.0158  -0.0394   0.0444   0.0032
3959.64   0.0164  -0.0405   0.0416  -0.0015
3960.56   0.0160  -0.0401   0.0478   0.0064
3961.48   0.0143  -0.0402   0.0653   0.0354
3962.41   0.0125  -0.0397   0.0819   0.0663
3963.33   0.0117  -0.0382   0.0865   0.0764
3964.26   0.0116  -0.0372   0.0817   0.0693
3965.19   0.0111  -0.0340   0.0790   0.0659
3966.11   0.0096  -0.0299   0.0735   0.0690
3967.04   0.0075  -0.0233   0.0585   0.0627
3967.96   0.0054  -0.0153   0.0398   0.0425
3968.89   0.0040  -0.0103   0.0223   0.0230
3969.82   0.0038  -0.0091   0.0165   0.0163
3970.74   0.0048  -0.0122   0.0260   0.0220
3971.67   0.0067  -0.0189   0.0442   0.0378
3972.60   0.0087  -0.0255   0.0612   0.0531
3973.53   0.0103  -0.0306   0.0697   0.0601
3974.45   0.0116  -0.0334   0.0693   0.0563
3975.38   0.0130  -0.0351   0.0663   0.0452
3976.31   0.0140  -0.0360   0.0601   0.0317
3977.24   0.0148  -0.0357   0.0530   0.0207
3978.17   0.0155  -0.0363   0.0483   0.0079
3979.10   0.0162  -0.0370   0.0410  -0.0039
3980.03   0.0170  -0.0377   0.0334  -0.0175
3980.95   0.0175  -0.0383   0.0259  -0.0244
3981.88   0.0175  -0.0371   0.0246  -0.0251
3982.81   0.0170  -0.0365   0.0294  -0.0214
3983.74   0.0167  -0.0364   0.0345  -0.0150
3984.67   0.0169  -0.0370   0.0343  -0.0126
3985.60   0.0172  -0.0377   0.0311  -0.0163
3986.54   0.0172  -0.0376   0.0329  -0.0183
3987.47   0.0171  -0.0365   0.0343  -0.0155
3988.40   0.0175  -0.0370   0.0286  -0.0217
3989.33   0.0181  -0.0376   0.0207  -0.0359
3990.26   0.0181  -0.0368   0.0211  -0.0350
3991.19   0.0180  -0.0369   0.0230  -0.0291
3992.12   0.0183  -0.0376   0.0193  -0.0349
3993.06   0.0188  -0.0379   0.0162  -0.0425
3993.99   0.0189  -0.0380   0.0166  -0.0482
3994.92   0.0184  -0.0371   0.0189  -0.0426
3995.85   0.0180  -0.0374   0.0212  -0.0321
3996.79   0.0177  -0.0371   0.0217  -0.0293
3997.72   0.0173  -0.0357   0.0275  -0.0224
3998.65   0.0170  -0.0356   0.0289  -0.0180
3999.59   0.0176  -0.0366   0.0220  -0.0268
4000.52   0.0184  -0.0369   0.0151  -0.0396
4001.45   0.0187  -0.0371   0.0131  -0.0440
4002.39   0.0187  -0.0366   0.0143  -0.0421
4003.32   0.0191  -0.0367   0.0098  -0.0505
4004.26   0.0191  -0.0363   0.0100  -0.0521
4005.19   0.0179  -0.0370   0.0222  -0.0311
4006.13   0.0165  -0.0378   0.0374  -0.0045
4007.06   0.0165  -0.0373   0.0409   0.0045
