#lambda    flux1    flux2    flux3    flux4
3900.00   0.0204   0.0324  -0.0434  -0.0313
3900.91   0.0208   0.0314  -0.0379  -0.0315
3901.82   0.0216   0.0345  -0.0282  -0.0399
3902.73   0.0220   0.0368  -0.0327  -0.0408
3903.64   0.0218   0.0390  -0.0454  -0.0262
3904.56   0.0214   0.0419  -0.0534  -0.0218
3905.47   0.0212   0.0424  -0.0530  -0.0150
3906.38   0.0211   0.0432  -0.0551  -0.0011
3907.29   0.0215   0.0443  -0.0510  -0.0103
3908.20   0.0226   0.0436  -0.0480  -0.0293
3909.12   0.0234   0.0435  -0.0419  -0.0361
3910.03   0.0237   0.0451  -0.0365  -0.0383
3910.94   0.0239   0.0457  -0.0345  -0.0324
3911.85   0.0242   0.0456  -0.0323  -0.0391
3912.77   0.0240   0.0437  -0.0312  -0.0494
3913.68   0.0234   0.0413  -0.0362  -0.0397
3914.60   0.0230   0.0416  -0.0388  -0.0200
3915.51   0.0233   0.0445  -0.0428  -0.0239
3916.42   0.0235   0.0457  -0.0449  -0.0281
3917.34   0.0232   0.0457  -0.0464  -0.0188
3918.25   0.0230   0.0467  -0.0530  -0.0062
3919.17   0.0228   0.0462  -0.0519  -0.0046
3920.08   0.0226   0.0465  -0.0514  -0.0023
3921.00   0.0226   0.0481  -0.0495  -0.0028
3921.91   0.0229   0.0497  -0.0457   0.0004
3922.83   0.0231   0.0489  -0.0401  -0.0041
3923.75   0.0233   0.0477  -0.0391  -0.0195
3924.66   0.0235   0.0487  -0.0388  -0.0125
3925.58   0.0234   0.0503  -0.0492   0.0002
3926.49   0.0228   0.0516  -0.0615   0.0174
3927.41   0.0220   0.0517  -0.0691   0.0374
3928.33   0.0212   0.0528  -0.0827   0.0523
3929.25   0.0200   0.0551  -0.1015   0.0823
3930.16   0.0186   0.0568  -0.1206   0.1190
3931.08   0.0168   0.0558  -0.1390   0.1505
3932.00   0.0140   0.0527  -0.1482   0.1752
3932.92   0.0106   0.0448  -0.1325   0.1674
3933.84   0.0076   0.0356  -0.0978   0.1453
3934.75   0.0072   0.0334  -0.0935   0.1410
3935.67   0.0095   0.0401  -0.1179   0.1594
3936.59   0.0133   0.0511  -0.1398   0.1761
3937.51   0.0165   0.0571  -0.1430   0.1563
3938.43   0.0188   0.0568  -0.1299   0.1240
3939.35   0.0203   0.0551  -0.1047   0.0888
3940.27   0.0216   0.0535  -0.0808   0.0526
3941.19   0.0222   0.0521  -0.0717   0.0326
3942.11   0.0223   0.0517  -0.0685   0.0283
3943.03   0.0223   0.0499  -0.0681   0.0270
3943.95   0.0220   0.0493  -0.0711   0.0259
3944.87   0.0218   0.0496  -0.0709   0.0285
3945.79   0.0223   0.0469  -0.0607   0.0135
3946.71   0.0230   0.0456  -0.0480  -0.0099
3947.64   0.0230   0.0440  -0.0484  -0.0084
3948.56   0.0225   0.0441  -0.0539   0.0060
3949.48   0.0221   0.0435  -0.0573   0.0101
3950.40   0.0223   0.0413  -0.0513  -0.0047
3951.32   0.0225   0.0392  -0.0410  -0.0141
3952.25   0.0224   0.0386  -0.0450  -0.0122
3953.17   0.0223   0.0389  -0.0507  -0.0069
3954.09   0.0225   0.0391  -0.0448  -0.0108
3955.02   0.0227   0.0385  -0.0380  -0.0238
3955.94   0.0223   0.0371  -0.0445  -0.0208
3956.86   0.0214   0.0355  -0.0520  -0.0080
3957.79   0.0210   0.0346  -0.0508  -0.0035
3958.71   0.0214   0.0339  -0.0417  -0.0189
3959.64   0.0219   0.0331  -0.0317  -0.0400
3960.56   0.0216   0.0319  -0.0305  -0.0368
3961.48   0.0206   0.0323  -0.0411  -0.0206
3962.41   0.0196   0.0332  -0.0563   0.0014
3963.33   0.0189   0.0336  -0.0653   0.0156
3964.26   0.0184   0.0321  -0.0668   0.0171
3965.19   0.0175   0.0308  -0.0725   0.0292
3966.11   0.0158   0.0299  -0.0824   0.0506
3967.04   0.0132   0.0290  -0.0918   0.0734
3967.96   0.0100   0.0254  -0.0868   0.0838
3968.89   0.0072   0.0197  -0.0640   0.0743
3969.82   0.0063   0.0138  -0.0437   0.0484
3970.74   0.0076   0.0114  -0.0375   0.0238
3971.67   0.0101   0.0127  -0.0396   0.0103
3972.60   0.0128   0.0158  -0.0474   0.0040
3973.53   0.0150   0.0181  -0.0567   0.0038
3974.45   0.0165   0.0203  -0.0566   0.0022
3975.38   0.0178   0.0229  -0.0539  -0.0104
3976.31   0.0188   0.0242  -0.0504  -0.0175
3977.24   0.0194   0.0251  -0.0464  -0.0223
3978.17   0.0200   0.0252  -0.0440  -0.0236
3979.10   0.0208   0.0269  -0.0338  -0.0328
3980.03   0.0216   0.0279  -0.0267  -0.0460
3980.95   0.0220   0.0288  -0.0221  -0.0492
3981.88   0.0219   0.0293  -0.0252  -0.0470
3982.81   0.0217   0.0300  -0.0340  -0.0320
3983.74   0.0218   0.0322  -0.0370  -0.0225
3984.67   0.0221   0.0344  -0.0323  -0.0268
3985.60   0.0224   0.0348  -0.0324  -0.0268
3986.54   0.0224   0.0352  -0.0370  -0.0218
3987.47   0.0224   0.0356  -0.0359  -0.0212
3988.40   0.0228   0.0351  -0.0297  -0.0314
3989.33   0.0232   0.0353  -0.0247  -0.0352
3990.26   0.0232   0.0355  -0.0252  -0.0344
3991.19   0.0233   0.0365  -0.0256  -0.0350
3992.12   0.0237   0.0375  -0.0199  -0.0414
3993.06   0.0241   0.0379  -0.0105  -0.0509
3993.99   0.0242   0.0374  -0.0107  -0.0523
3994.92   0.0240   0.0377  -0.0145  -0.0457
3995.85   0.0236   0.0391  -0.0186  -0.0354
3996.79   0.0233   0.0381  -0.0285  -0.0224
3997.72   0.0228   0.0382  -0.0379  -0.0146
3998.65   0.0227   0.0400  -0.0391  -0.0120
3999.59   0.0233   0.0385  -0.0240  -0.0239
4000.52   0.0240   0.0385  -0.0096  -0.0411
4001.45   0.0243   0.0389  -0.0104  -0.0462
4002.39   0.0244   0.0385  -0.0113  -0.0472
4003.32   0.0245   0.0376  -0.0108  -0.0541
4004.26   0.0242   0.0379  -0.0114  -0.0494
4005.19   0.0234   0.0387  -0.0232  -0.0270
4006.13   0.0226   0.0392  -0.0356  -0.0074
4007.06   0.0228   0.0404  -0.0370  -0.0024
4008.00   0.0237   0.0399  -0.0263  -0.0191
4008.94   0.0244   0.0390  -0.0138  -0.0357
4009.87   0.0245   0.0381  -0.0093  -0.0364
4010.81   0.0244   0.0373  -0.0073  -0.0438
4011.74   0.0244   0.0368  -0.0063  -0.0479
4012.68   0.0243   0.0364  -0.0068  -0.0425
4013.62   0.0242   0.0368  -0.0088  -0.0346
4014.56   0.0241   0.0368  -0.0081  -0.0321
4015.49   0.0243   0.0375  -0.0083  -0.0357
4016.43   0.0245   0.0384  -0.0112  -0.0360
4017.37   0.0244   0.0389  -0.0124  -0.0342
4018.31   0.0243   0.0395  -0.0137  -0.0284
4019.24   0.0246   0.0394  -0.0078  -0.0361
4020.18   0.0250   0.0391   0.0032  -0.0526
4021.12   0.0251   0.0380   0.0055  -0.0507
4022.06   0.0248   0.0382   0.0009  -0.0472
4023.00   0.0246   0.0378  -0.0059  -0.0398
4023.94   0.0244   0.0375  -0.0110  -0.0317
4024.88   0.0242   0.0372  -0.0157  -0.0289
4025.82   0.0241   0.0368  -0.0128  -0.0287
4026.76   0.0245   0.0372  -0.0004  -0.0411
4027.70   0.0250   0.0363   0.0076  -0.0497
4028.64   0.0249   0.0348   0.0053  -0.0520
4029.58   0.0245   0.0361  -0.0047  -0.0432
4030.52   0.0236   0.0367  -0.0156  -0.0221
4031.46   0.0231   0.0381  -0.0310  -0.0050
4032.40   0.0230   0.0394  -0.0382   0.0068
4033.34   0.0231   0.0394  -0.0331  -0.0021
4034.29   0.0233   0.0399  -0.0248  -0.0068
4035.23   0.0236   0.0401  -0.0185  -0.0132
4036.17   0.0241   0.0392  -0.0117  -0.0207
4037.11   0.0246   0.0379  -0.0010  -0.0359
4038.06   0.0251   0.0365   0.0102  -0.0495
4039.00   0.0253   0.0360   0.0126  -0.0530
4039.94   0.0251   0.0362   0.0075  -0.0505
