#lambda    flux1    flux2    flux3    flux4
3900.00   0.0157  -0.0425   0.0418  -0.0061
3900.91   0.0159  -0.0425   0.0423  -0.0127
3901.82   0.0163  -0.0426   0.0404  -0.0204
3902.73   0.0161  -0.0430   0.0423  -0.0136
3903.64   0.0156  -0.0448   0.0509  -0.0001
3904.56   0.0153  -0.0445   0.0571   0.0109
3905.47   0.0147  -0.0438   0.0593   0.0187
3906.38   0.0141  -0.0429   0.0607   0.0235
3907.29   0.0146  -0.0429   0.0581   0.0191
3908.20   0.0161  -0.0442   0.0498   0.0034
3909.12   0.0173  -0.0439   0.0431  -0.0149
3910.03   0.0174  -0.0439   0.0439  -0.0165
3910.94   0.0172  -0.0447   0.0449  -0.0151
3911.85   0.0176  -0.0441   0.0401  -0.0189
3912.77   0.0180  -0.0435   0.0332  -0.0282
3913.68   0.0178  -0.0434   0.0320  -0.0302
3914.60   0.0173  -0.0424   0.0381  -0.0235
3915.51   0.0171  -0.0429   0.0410  -0.0162
3916.42   0.0170  -0.0437   0.0394  -0.0131
3917.34   0.0169  -0.0432   0.0406  -0.0140
3918.25   0.0167  -0.0427   0.0417  -0.0147
3919.17   0.0164  -0.0428   0.0412  -0.0086
3920.08   0.0158  -0.0430   0.0488   0.0070
3921.00   0.0151  -0.0456   0.0590   0.0219
3921.91   0.0148  -0.0472   0.0638   0.0326
3922.83   0.0149  -0.0468   0.0640   0.0316
3923.75   0.0154  -0.0470   0.0570   0.0228
3924.66   0.0157  -0.0470   0.0540   0.0195
3925.58   0.0155  -0.0459   0.0577   0.0276
3926.49   0.0148  -0.0451   0.0657   0.0377
3927.41   0.0136  -0.0446   0.0720   0.0480
3928.33   0.0121  -0.0429   0.0780   0.0620
3929.25   0.0106  -0.0406   0.0872   0.0779
3930.16   0.0092  -0.0374   0.0888   0.0875
3931.08   0.0078  -0.0314   0.0803   0.0830
3932.00   0.0063  -0.0248   0.0623   0.0650
3932.92   0.0048  -0.0170   0.0402   0.0359
3933.84   0.0036  -0.0104   0.0226   0.0164
3934.75   0.0033  -0.0098   0.0183   0.0160
