#lambda    flux1    flux2    flux3    flux4
3900.00   0.0118  -0.0355   0.0506  -0.0106
3900.91   0.0119  -0.0364   0.0524  -0.0162
3901.82   0.0124  -0.0362   0.0473  -0.0029
3902.73   0.0123  -0.0361   0.0484  -0.0073
3903.64   0.0116  -0.0352   0.0585  -0.0207
3904.56   0.0113  -0.0348   0.0657  -0.0225
3905.47   0.0109  -0.0333   0.0659  -0.0280
3906.38   0.0102  -0.0325   0.0633  -0.0383
3907.29   0.0106  -0.0332   0.0611  -0.0289
3908.20   0.0122  -0.0353   0.0517  -0.0047
3909.12   0.0135  -0.0372   0.0429   0.0150
3910.03   0.0137  -0.0377   0.0442   0.0183
3910.94   0.0135  -0.0368   0.0433   0.0097
3911.85   0.0139  -0.0371   0.0421   0.0067
3912.77   0.0144  -0.0380   0.0409   0.0175
3913.68   0.0144  -0.0370   0.0371   0.0223
3914.60   0.0140  -0.0360   0.0353   0.0228
3915.51   0.0137  -0.0362   0.0352   0.0176
3916.42   0.0136  -0.0362   0.0377   0.0157
3917.34   0.0134  -0.0360   0.0433   0.0096
3918.25   0.0132  -0.0360   0.0440   0.0036
3919.17   0.0128  -0.0365   0.0443   0.0019
3920.08   0.0119  -0.0368   0.0507  -0.0148
3921.00   0.0109  -0.0343   0.0583  -0.0308
3921.91   0.0104  -0.0340   0.0649  -0.0382
3922.83   0.0105  -0.0352   0.0652  -0.0421
3923.75   0.0110  -0.0360   0.0614  -0.0331
3924.66   0.0114  -0.0359   0.0573  -0.0285
3925.58   0.0115  -0.0349   0.0560  -0.0262
3926.49   0.0108  -0.0331   0.0592  -0.0278
3927.41   0.0097  -0.0307   0.0575  -0.0331
3928.33   0.0084  -0.0288   0.0569  -0.0383
3929.25   0.0071  -0.0250   0.0544  -0.0442
3930.16   0.0060  -0.0220   0.0479  -0.0386
3931.08   0.0052  -0.0179   0.0368  -0.0257
3932.00   0.0044  -0.0137   0.0236  -0.0132
3932.92   0.0036  -0.0107   0.0132  -0.0027
3933.84   0.0028  -0.0075   0.0063   0.0053
3934.75   0.0026  -0.0069   0.0067   0.0060
3935.67   0.0031  -0.0092   0.0125   0.0004
3936.59   0.0040  -0.0122   0.0209  -0.0087
3937.51   0.0052  -0.0167   0.0315  -0.0258
3938.43   0.0063  -0.0202   0.0456  -0.0353
3939.35   0.0076  -0.0240   0.0558  -0.0402
3940.27   0.0088  -0.0287   0.0585  -0.0394
3941.19   0.0095  -0.0303   0.0604  -0.0350
3942.11   0.0099  -0.0311   0.0632  -0.0372
3943.03   0.0100  -0.0331   0.0658  -0.0426
3943.95   0.0095  -0.0324   0.0700  -0.0471
3944.87   0.0093  -0.0318   0.0756  -0.0557
3945.79   0.0102  -0.0337   0.0726  -0.0470
3946.71   0.0118  -0.0363   0.0604  -0.0260
3947.64   0.0125  -0.0356   0.0532  -0.0155
3948.56   0.0123  -0.0347   0.0544  -0.0149
3949.48   0.0123  -0.0353   0.0509  -0.0127
3950.40   0.0130  -0.0356   0.0441  -0.0024
3951.32   0.0138  -0.0360   0.0392   0.0105
3952.25   0.0137  -0.0344   0.0352   0.0141
3953.17   0.0130  -0.0330   0.0393   0.0028
3954.09   0.0129  -0.0337   0.0448  -0.0003
3955.02   0.0136  -0.0355   0.0433   0.0061
3955.94   0.0139  -0.0357   0.0400   0.0068
3956.86   0.0130  -0.0341   0.0415  -0.0003
3957.79   0.0124  -0.0337   0.0449  -0.0073
3958.71   0.0128  -0.0354   0.0461  -0.0057
3959.64   0.0134  -0.0365   0.0447  -0.0043
3960.56   0.0129  -0.0355   0.0498  -0.0174
3961.48   0.0110  -0.0332   0.0632  -0.0432
3962.41   0.0090  -0.0308   0.0743  -0.0685
3963.33   0.0083  -0.0288   0.0740  -0.0662
3964.26   0.0084  -0.0277   0.0645  -0.0477
3965.19   0.0082  -0.0260   0.0540  -0.0349
3966.11   0.0071  -0.0217   0.0451  -0.0284
3967.04   0.0056  -0.0167   0.0315  -0.0232
