#lambda    flux1    flux2    flux3    flux4
3900.00   0.0220   0.0285   0.0635  -0.0023
3900.91   0.0223   0.0298   0.0558  -0.0150
3901.82   0.0232   0.0291   0.0564  -0.0356
3902.73   0.0239   0.0301   0.0572  -0.0291
3903.64   0.0242   0.0333   0.0606  -0.0095
3904.56   0.0245   0.0352   0.0652  -0.0011
3905.47   0.0246   0.0383   0.0657   0.0124
3906.38   0.0246   0.0387   0.0650   0.0184
3907.29   0.0252   0.0389   0.0652   0.0121
3908.20   0.0262   0.0398   0.0630  -0.0163
3909.12   0.0270   0.0392   0.0591  -0.0315
3910.03   0.0275   0.0390   0.0547  -0.0357
3910.94   0.0278   0.0402   0.0526  -0.0427
3911.85   0.0280   0.0402   0.0504  -0.0469
3912.77   0.0277   0.0405   0.0493  -0.0328
3913.68   0.0271   0.0423   0.0514  -0.0078
3914.60   0.0269   0.0430   0.0477   0.0011
3915.51   0.0273   0.0429   0.0480  -0.0036
3916.42   0.0277   0.0435   0.0550  -0.0033
3917.34   0.0277   0.0452   0.0596   0.0099
3918.25   0.0276   0.0469   0.0601   0.0220
3919.17   0.0276   0.0470   0.0571   0.0326
3920.08   0.0275   0.0476   0.0569   0.0318
3921.00   0.0276   0.0466   0.0507   0.0171
3921.91   0.0278   0.0452   0.0452   0.0038
3922.83   0.0279   0.0463   0.0429  -0.0074
3923.75   0.0281   0.0463   0.0391  -0.0133
3924.66   0.0283   0.0461   0.0378  -0.0127
3925.58   0.0285   0.0471   0.0436  -0.0078
3926.49   0.0283   0.0483   0.0486   0.0119
3927.41   0.0278   0.0496   0.0486   0.0329
3928.33   0.0271   0.0508   0.0491   0.0538
3929.25   0.0265   0.0519   0.0546   0.0788
3930.16   0.0257   0.0537   0.0597   0.1137
3931.08   0.0244   0.0573   0.0649   0.1690
3932.00   0.0219   0.0612   0.0703   0.2454
3932.92   0.0180   0.0595   0.0622   0.3107
3933.84   0.0140   0.0522   0.0440   0.3170
3934.75   0.0132   0.0471   0.0311   0.2742
3935.67   0.0166   0.0493   0.0306   0.2184
3936.59   0.0213   0.0531   0.0438   0.1732
3937.51   0.0246   0.0537   0.0559   0.1300
3938.43   0.0262   0.0532   0.0542   0.0856
3939.35   0.0270   0.0508   0.0489   0.0494
3940.27   0.0276   0.0488   0.0452   0.0224
3941.19   0.0278   0.0461   0.0483   0.0136
3942.11   0.0277   0.0458   0.0517   0.0129
3943.03   0.0274   0.0466   0.0557   0.0178
3943.95   0.0269   0.0450   0.0548   0.0302
3944.87   0.0267   0.0442   0.0525   0.0342
3945.79   0.0269   0.0426   0.0502   0.0079
3946.71   0.0273   0.0404   0.0460  -0.0053
3947.64   0.0272   0.0397   0.0486  -0.0005
3948.56   0.0266   0.0400   0.0540   0.0146
3949.48   0.0262   0.0410   0.0571   0.0228
3950.40   0.0261   0.0404   0.0561   0.0167
3951.32   0.0259   0.0377   0.0573   0.0085
3952.25   0.0258   0.0371   0.0581   0.0035
3953.17   0.0257   0.0375   0.0566  -0.0017
3954.09   0.0257   0.0355   0.0559  -0.0168
3955.02   0.0256   0.0326   0.0589  -0.0244
3955.94   0.0250   0.0320   0.0589  -0.0147
3956.86   0.0242   0.0327   0.0597   0.0141
3957.79   0.0237   0.0315   0.0621   0.0141
3958.71   0.0236   0.0288   0.0584  -0.0194
3959.64   0.0236   0.0256   0.0550  -0.0323
3960.56   0.0231   0.0240   0.0554  -0.0309
3961.48   0.0221   0.0239   0.0554  -0.0164
3962.41   0.0212   0.0226   0.0619  -0.0007
3963.33   0.0205   0.0214   0.0612  -0.0017
3964.26   0.0199   0.0188   0.0623  -0.0040
3965.19   0.0189   0.0182   0.0636   0.0045
3966.11   0.0175   0.0186   0.0622   0.0312
3967.04   0.0153   0.0199   0.0593   0.0670
3967.96   0.0124   0.0196   0.0475   0.1009
