#lambda    flux1    flux2    flux3    flux4
3900.00   0.0230  -0.0268   0.0675  -0.0312
3900.91   0.0234  -0.0277   0.0643  -0.0214
3901.82   0.0242  -0.0270   0.0664  -0.0138
3902.73   0.0253  -0.0305   0.0721  -0.0176
3903.64   0.0260  -0.0307   0.0694  -0.0128
3904.56   0.0263  -0.0328   0.0694  -0.0280
3905.47   0.0268  -0.0351   0.0707  -0.0381
3906.38   0.0271  -0.0367   0.0709  -0.0392
3907.29   0.0275  -0.0403   0.0742  -0.0451
3908.20   0.0285  -0.0394   0.0659  -0.0216
3909.12   0.0293  -0.0389   0.0638   0.0142
3910.03   0.0299  -0.0397   0.0615   0.0251
3910.94   0.0302  -0.0416   0.0621   0.0366
3911.85   0.0305  -0.0413   0.0581   0.0488
3912.77   0.0305  -0.0397   0.0553   0.0332
3913.68   0.0301  -0.0419   0.0512   0.0049
3914.60   0.0299  -0.0443   0.0499  -0.0072
3915.51   0.0304  -0.0435   0.0553  -0.0029
3916.42   0.0310  -0.0427   0.0610  -0.0048
3917.34   0.0311  -0.0449   0.0582  -0.0027
3918.25   0.0312  -0.0442   0.0579  -0.0062
3919.17   0.0313  -0.0471   0.0516  -0.0242
3920.08   0.0312  -0.0466   0.0505  -0.0106
3921.00   0.0313  -0.0445   0.0509  -0.0124
3921.91   0.0315  -0.0454   0.0471  -0.0019
3922.83   0.0316  -0.0451   0.0505   0.0187
3923.75   0.0316  -0.0487   0.0417   0.0200
3924.66   0.0318  -0.0488   0.0361   0.0227
3925.58   0.0321  -0.0470   0.0423   0.0298
3926.49   0.0320  -0.0485   0.0407   0.0243
3927.41   0.0319  -0.0474   0.0376   0.0022
3928.33   0.0315  -0.0494   0.0393  -0.0082
3929.25   0.0311  -0.0514   0.0453  -0.0335
3930.16   0.0308  -0.0522   0.0403  -0.0559
3931.08   0.0302  -0.0531   0.0421  -0.0823
3932.00   0.0290  -0.0568   0.0437  -0.1635
3932.92   0.0261  -0.0607   0.0408  -0.2614
3933.84   0.0220  -0.0600   0.0294  -0.3418
3934.75   0.0202  -0.0563   0.0100  -0.3525
3935.67   0.0225  -0.0527   0.0142  -0.2852
3936.59   0.0268  -0.0534   0.0333  -0.1797
3937.51   0.0295  -0.0527   0.0436  -0.0749
3938.43   0.0304  -0.0471   0.0420  -0.0208
3939.35   0.0310  -0.0454   0.0370  -0.0054
3940.27   0.0312  -0.0465   0.0377   0.0056
3941.19   0.0312  -0.0441   0.0393   0.0204
3942.11   0.0312  -0.0438   0.0431   0.0273
3943.03   0.0309  -0.0440   0.0447   0.0097
3943.95   0.0305  -0.0433   0.0509  -0.0122
3944.87   0.0300  -0.0434   0.0516  -0.0308
3945.79   0.0299  -0.0416   0.0504  -0.0188
3946.71   0.0301  -0.0399   0.0546   0.0074
3947.64   0.0300  -0.0395   0.0544   0.0033
3948.56   0.0297  -0.0408   0.0547  -0.0039
3949.48   0.0293  -0.0420   0.0583  -0.0279
3950.40   0.0289  -0.0395   0.0584  -0.0362
3951.32   0.0285  -0.0392   0.0581  -0.0221
3952.25   0.0282  -0.0377   0.0592  -0.0168
3953.17   0.0279  -0.0327   0.0632  -0.0087
3954.09   0.0275  -0.0329   0.0632   0.0019
3955.02   0.0272  -0.0319   0.0605   0.0126
3955.94   0.0268  -0.0305   0.0611  -0.0053
3956.86   0.0260  -0.0296   0.0671  -0.0259
3957.79   0.0251  -0.0294   0.0662  -0.0296
3958.71   0.0247  -0.0265   0.0676  -0.0304
3959.64   0.0243  -0.0235   0.0681  -0.0094
3960.56   0.0236  -0.0234   0.0604   0.0070
3961.48   0.0225  -0.0193   0.0609  -0.0037
3962.41   0.0215  -0.0190   0.0619  -0.0119
3963.33   0.0206  -0.0169   0.0624  -0.0158
3964.26   0.0197  -0.0137   0.0610  -0.0100
3965.19   0.0186  -0.0121   0.0607   0.0038
3966.11   0.0172  -0.0117   0.0559   0.0006
3967.04   0.0155  -0.0130   0.0474  -0.0199
3967.96   0.0132  -0.0165   0.0312  -0.0514
3968.89   0.0106  -0.0146   0.0170  -0.0614
3969.82   0.0085  -0.0107   0.0061  -0.0444
3970.74   0.0079  -0.0043   0.0033  -0.0095
3971.67   0.0088  -0.0027   0.0114   0.0237
3972.60   0.0107  -0.0023   0.0248   0.0350
3973.53   0.0129  -0.0004   0.0379   0.0319
3974.45   0.0148  -0.0029   0.0448   0.0179
3975.38   0.0164  -0.0049   0.0511   0.0143
3976.31   0.0178  -0.0078   0.0528   0.0162
3977.24   0.0190  -0.0106   0.0573   0.0084
3978.17   0.0201  -0.0120   0.0582   0.0073
3979.10   0.0211  -0.0130   0.0567   0.0126
3980.03   0.0221  -0.0150   0.0642   0.0121
3980.95   0.0230  -0.0178   0.0612   0.0140
3981.88   0.0236  -0.0187   0.0594   0.0044
3982.81   0.0241  -0.0214   0.0630   0.0008
3983.74   0.0248  -0.0241   0.0608  -0.0066
3984.67   0.0254  -0.0247   0.0579  -0.0024
3985.60   0.0260  -0.0253   0.0572   0.0057
3986.54   0.0265  -0.0278   0.0541  -0.0026
3987.47   0.0269  -0.0289   0.0514  -0.0042
3988.40   0.0273  -0.0301   0.0503   0.0075
3989.33   0.0277  -0.0306   0.0475   0.0135
3990.26   0.0281  -0.0308   0.0455   0.0193
3991.19   0.0284  -0.0329   0.0457   0.0139
3992.12   0.0288  -0.0328   0.0423   0.0194
3993.06   0.0291  -0.0321   0.0472   0.0336
3993.99   0.0294  -0.0335   0.0438   0.0349
3994.92   0.0297  -0.0342   0.0414   0.0280
3995.85   0.0298  -0.0339   0.0460   0.0235
3996.79   0.0298  -0.0363   0.0409   0.0098
3997.72   0.0297  -0.0374   0.0407  -0.0049
3998.65   0.0298  -0.0384   0.0413  -0.0059
3999.59   0.0301  -0.0373   0.0418   0.0072
4000.52   0.0305  -0.0373   0.0300   0.0266
4001.45   0.0308  -0.0372   0.0309   0.0420
