#lambda    flux1    flux2    flux3    flux4
4010.81   0.0280   0.0390  -0.0226   0.0280
4011.74   0.0278   0.0381  -0.0202   0.0287
4012.68   0.0276   0.0380  -0.0200   0.0209
4013.62   0.0275   0.0380  -0.0241   0.0153
4014.56   0.0277   0.0396  -0.0225   0.0175
4015.49   0.0279   0.0384  -0.0208   0.0198
4016.43   0.0281   0.0376  -0.0192   0.0206
4017.37   0.0282   0.0386  -0.0187   0.0215
4018.31   0.0282   0.0377  -0.0187   0.0243
4019.24   0.0284   0.0377  -0.0160   0.0375
4020.18   0.0286   0.0374  -0.0121   0.0539
4021.12   0.0286   0.0376  -0.0128   0.0488
4022.06   0.0283   0.0382  -0.0179   0.0341
4023.00   0.0281   0.0381  -0.0201   0.0283
4023.94   0.0280   0.0389  -0.0208   0.0133
4024.88   0.0277   0.0394  -0.0226   0.0023
4025.82   0.0278   0.0393  -0.0192   0.0075
4026.76   0.0281   0.0389  -0.0132   0.0264
4027.70   0.0283   0.0380  -0.0111   0.0350
4028.64   0.0282   0.0369  -0.0132   0.0285
4029.58   0.0277   0.0382  -0.0193   0.0081
4030.52   0.0273   0.0399  -0.0253  -0.0101
4031.46   0.0270   0.0397  -0.0326  -0.0254
4032.40   0.0270   0.0409  -0.0350  -0.0274
4033.34   0.0271   0.0410  -0.0318  -0.0202
4034.29   0.0273   0.0405  -0.0260  -0.0136
4035.23   0.0275   0.0401  -0.0205  -0.0030
4036.17   0.0279   0.0391  -0.0147   0.0134
4037.11   0.0283   0.0364  -0.0091   0.0315
4038.06   0.0286   0.0357  -0.0070   0.0460
4039.00   0.0287   0.0368  -0.0059   0.0496
4039.94   0.0285   0.0363  -0.0104   0.0501
4040.88   0.0283   0.0362  -0.0142   0.0375
4041.83   0.0282   0.0375  -0.0136   0.0305
4042.77   0.0282   0.0385  -0.0154   0.0362
4043.72   0.0282   0.0376  -0.0171   0.0327
4044.66   0.0277   0.0383  -0.0207   0.0076
4045.60   0.0267   0.0406  -0.0247  -0.0172
4046.55   0.0263   0.0397  -0.0213  -0.0134
4047.49   0.0269   0.0378  -0.0148   0.0149
4048.44   0.0279   0.0356  -0.0094   0.0358
4049.38   0.0283   0.0355  -0.0114   0.0395
4050.33   0.0283   0.0358  -0.0108   0.0373
4051.28   0.0283   0.0352  -0.0094   0.0356
4052.22   0.0281   0.0352  -0.0128   0.0334
4053.17   0.0278   0.0362  -0.0163   0.0217
4054.11   0.0275   0.0365  -0.0193   0.0088
4055.06   0.0274   0.0365  -0.0199   0.0034
4056.01   0.0274   0.0365  -0.0213   0.0067
4056.95   0.0275   0.0363  -0.0222   0.0040
4057.90   0.0273   0.0374  -0.0222   0.0014
4058.85   0.0273   0.0365  -0.0211   0.0020
4059.80   0.0276   0.0345  -0.0168   0.0174
4060.74   0.0277   0.0338  -0.0137   0.0373
4061.69   0.0277   0.0339  -0.0146   0.0348
4062.64   0.0271   0.0344  -0.0185   0.0106
4063.59   0.0262   0.0355  -0.0246  -0.0085
4064.54   0.0259   0.0352  -0.0204  -0.0039
4065.49   0.0265   0.0345  -0.0143   0.0173
4066.44   0.0270   0.0335  -0.0151   0.0176
4067.39   0.0269   0.0347  -0.0213   0.0066
4068.34   0.0267   0.0342  -0.0233   0.0073
4069.29   0.0269   0.0328  -0.0185   0.0202
4070.24   0.0270   0.0316  -0.0202   0.0319
4071.19   0.0265   0.0307  -0.0203   0.0185
4072.14   0.0258   0.0322  -0.0215   0.0073
4073.09   0.0257   0.0322  -0.0196   0.0128
4074.04   0.0261   0.0313  -0.0210   0.0263
4074.99   0.0263   0.0300  -0.0271   0.0282
4075.94   0.0260   0.0298  -0.0314   0.0144
4076.89   0.0253   0.0308  -0.0378  -0.0084
4077.85   0.0243   0.0317  -0.0414  -0.0317
4078.80   0.0240   0.0304  -0.0377  -0.0261
4079.75   0.0247   0.0293  -0.0319   0.0037
4080.70   0.0254   0.0281  -0.0265   0.0214
4081.66   0.0257   0.0269  -0.0249   0.0342
4082.61   0.0256   0.0259  -0.0254   0.0417
4083.56   0.0253   0.0254  -0.0283   0.0357
4084.52   0.0248   0.0254  -0.0315   0.0194
4085.47   0.0243   0.0244  -0.0340   0.0063
4086.42   0.0241   0.0245  -0.0349   0.0125
4087.38   0.0241   0.0224  -0.0324   0.0339
4088.33   0.0240   0.0191  -0.0307   0.0468
4089.29   0.0238   0.0178  -0.0300   0.0496
4090.24   0.0234   0.0169  -0.0283   0.0496
4091.20   0.0231   0.0165  -0.0319   0.0458
4092.15   0.0226   0.0151  -0.0318   0.0462
4093.11   0.0221   0.0130  -0.0311   0.0436
4094.06   0.0215   0.0113  -0.0348   0.0454
4095.02   0.0209   0.0106  -0.0356   0.0472
4095.97   0.0201   0.0089  -0.0377   0.0446
4096.93   0.0192   0.0063  -0.0412   0.0405
4097.89   0.0182   0.0036  -0.0408   0.0367
4098.84   0.0170   0.0013  -0.0443   0.0330
4099.80   0.0154   0.0004  -0.0457   0.0262
4100.76   0.0134  -0.0009  -0.0415   0.0171
4101.72   0.0112  -0.0007  -0.0312   0.0136
4102.67   0.0102  -0.0024  -0.0181   0.0291
4103.63   0.0113  -0.0043  -0.0207   0.0516
4104.59   0.0136  -0.0041  -0.0313   0.0615
4105.55   0.0157  -0.0024  -0.0337   0.0611
4106.51   0.0172  -0.0001  -0.0357   0.0637
4107.47   0.0183   0.0024  -0.0368   0.0598
4108.43   0.0192   0.0048  -0.0374   0.0521
4109.38   0.0198   0.0075  -0.0381   0.0486
4110.34   0.0205   0.0097  -0.0374   0.0467
4111.30   0.0212   0.0115  -0.0363   0.0436
4112.26   0.0218   0.0121  -0.0322   0.0452
4113.22   0.0224   0.0134  -0.0293   0.0461
4114.18   0.0228   0.0152  -0.0276   0.0478
4115.15   0.0233   0.0161  -0.0260   0.0536
4116.11   0.0237   0.0167  -0.0246   0.0549
4117.07   0.0240   0.0177  -0.0215   0.0526
4118.03   0.0241   0.0191  -0.0211   0.0423
4118.99   0.0239   0.0203  -0.0275   0.0288
4119.95   0.0241   0.0222  -0.0294   0.0192
4120.91   0.0244   0.0229  -0.0253   0.0236
4121.88   0.0246   0.0233  -0.0228   0.0204
4122.84   0.0248   0.0238  -0.0251   0.0150
4123.80   0.0250   0.0246  -0.0260   0.0197
4124.76   0.0252   0.0245  -0.0208   0.0300
4125.73   0.0255   0.0243  -0.0179   0.0296
4126.69   0.0256   0.0257  -0.0199   0.0186
4127.65   0.0254   0.0261  -0.0246   0.0148
4128.62   0.0253   0.0270  -0.0262   0.0056
4129.58   0.0254   0.0270  -0.0266   0.0049
4130.55   0.0255   0.0260  -0.0267   0.0106
