#lambda    flux1    flux2    flux3    flux4
3900.00   0.0216  -0.0298   0.0588   0.0150
3900.91   0.0220  -0.0293   0.0535   0.0287
3901.82   0.0228  -0.0312   0.0517   0.0451
3902.73   0.0235  -0.0334   0.0510   0.0403
3903.64   0.0237  -0.0355   0.0540   0.0197
3904.56   0.0238  -0.0379   0.0585   0.0058
3905.47   0.0238  -0.0393   0.0627   0.0006
3906.38   0.0238  -0.0412   0.0652  -0.0071
3907.29   0.0243  -0.0422   0.0587  -0.0022
3908.20   0.0254  -0.0411   0.0534   0.0147
3909.12   0.0263  -0.0413   0.0510   0.0311
3910.03   0.0267  -0.0411   0.0470   0.0416
3910.94   0.0270  -0.0411   0.0464   0.0485
3911.85   0.0272  -0.0419   0.0442   0.0490
3912.77   0.0268  -0.0436   0.0436   0.0369
3913.68   0.0261  -0.0408   0.0441   0.0212
3914.60   0.0259  -0.0414   0.0457   0.0099
3915.51   0.0264  -0.0435   0.0477   0.0105
3916.42   0.0267  -0.0439   0.0516   0.0091
3917.34   0.0267  -0.0467   0.0602  -0.0049
3918.25   0.0265  -0.0482   0.0597  -0.0174
3919.17   0.0263  -0.0470   0.0571  -0.0225
3920.08   0.0262  -0.0466   0.0557  -0.0200
3921.00   0.0264  -0.0476   0.0504  -0.0094
3921.91   0.0267  -0.0479   0.0455   0.0086
3922.83   0.0269  -0.0475   0.0411   0.0109
3923.75   0.0270  -0.0466   0.0377   0.0141
3924.66   0.0271  -0.0463   0.0373   0.0165
3925.58   0.0273  -0.0472   0.0434   0.0034
3926.49   0.0269  -0.0492   0.0514  -0.0138
3927.41   0.0263  -0.0500   0.0524  -0.0333
3928.33   0.0256  -0.0516   0.0561  -0.0523
3929.25   0.0248  -0.0540   0.0662  -0.0852
3930.16   0.0239  -0.0553   0.0764  -0.1303
3931.08   0.0223  -0.0587   0.0871  -0.1860
3932.00   0.0196  -0.0615   0.0998  -0.2476
3932.92   0.0156  -0.0585   0.0974  -0.2838
3933.84   0.0119  -0.0499   0.0731  -0.2661
3934.75   0.0113  -0.0449   0.0556  -0.2305
3935.67   0.0146  -0.0509   0.0618  -0.2169
3936.59   0.0192  -0.0579   0.0734  -0.2045
3937.51   0.0226  -0.0588   0.0774  -0.1616
3938.43   0.0244  -0.0555   0.0710  -0.1181
3939.35   0.0254  -0.0521   0.0626  -0.0741
3940.27   0.0262  -0.0500   0.0547  -0.0391
3941.19   0.0265  -0.0484   0.0525  -0.0259
3942.11   0.0265  -0.0467   0.0541  -0.0192
3943.03   0.0262  -0.0471   0.0590  -0.0193
3943.95   0.0258  -0.0467   0.0597  -0.0273
3944.87   0.0255  -0.0459   0.0553  -0.0253
3945.79   0.0258  -0.0442   0.0512  -0.0108
3946.71   0.0263  -0.0425   0.0466   0.0005
3947.64   0.0262  -0.0422   0.0505   0.0016
3948.56   0.0257  -0.0413   0.0551  -0.0144
3949.48   0.0252  -0.0416   0.0582  -0.0191
3950.40   0.0251  -0.0399   0.0579  -0.0123
3951.32   0.0252  -0.0378   0.0565  -0.0109
3952.25   0.0250  -0.0382   0.0570  -0.0010
3953.17   0.0250  -0.0380   0.0537   0.0037
3954.09   0.0251  -0.0355   0.0489   0.0135
3955.02   0.0250  -0.0336   0.0495   0.0307
3955.94   0.0244  -0.0331   0.0556   0.0179
3956.86   0.0235  -0.0330   0.0566  -0.0032
3957.79   0.0231  -0.0317   0.0562  -0.0013
3958.71   0.0232  -0.0296   0.0501   0.0168
3959.64   0.0233  -0.0268   0.0474   0.0340
3960.56   0.0229  -0.0255   0.0500   0.0369
3961.48   0.0219  -0.0252   0.0530   0.0236
3962.41   0.0210  -0.0243   0.0581   0.0118
3963.33   0.0203  -0.0224   0.0567   0.0109
3964.26   0.0197  -0.0212   0.0590   0.0010
3965.19   0.0188  -0.0204   0.0628  -0.0070
3966.11   0.0173  -0.0200   0.0667  -0.0300
3967.04   0.0149  -0.0208   0.0646  -0.0683
3967.96   0.0118  -0.0206   0.0556  -0.0930
3968.89   0.0089  -0.0187   0.0372  -0.0867
3969.82   0.0075  -0.0131   0.0181  -0.0535
3970.74   0.0082  -0.0073   0.0155  -0.0097
3971.67   0.0103  -0.0036   0.0226   0.0217
3972.60   0.0127  -0.0039   0.0335   0.0365
3973.53   0.0150  -0.0055   0.0435   0.0371
3974.45   0.0168  -0.0084   0.0490   0.0342
3975.38   0.0181  -0.0115   0.0505   0.0363
3976.31   0.0193  -0.0135   0.0498   0.0422
3977.24   0.0201  -0.0149   0.0473   0.0407
3978.17   0.0208  -0.0169   0.0467   0.0409
3979.10   0.0217  -0.0190   0.0447   0.0488
3980.03   0.0225  -0.0201   0.0388   0.0603
3980.95   0.0230  -0.0221   0.0409   0.0557
