#lambda    flux1    flux2    flux3    flux4
3900.00   0.0075   0.0248  -0.0544  -0.0107
3900.91   0.0075   0.0247  -0.0568  -0.0169
3901.82   0.0081   0.0277  -0.0512  -0.0074
3902.73   0.0081   0.0279  -0.0489   0.0007
3903.64   0.0076   0.0256  -0.0530  -0.0091
3904.56   0.0074   0.0230  -0.0588  -0.0148
3905.47   0.0072   0.0216  -0.0576  -0.0141
3906.38   0.0067   0.0219  -0.0524  -0.0128
3907.29   0.0069   0.0209  -0.0529  -0.0044
3908.20   0.0082   0.0241  -0.0470   0.0069
3909.12   0.0094   0.0283  -0.0361   0.0212
3910.03   0.0098   0.0292  -0.0365   0.0258
3910.94   0.0096   0.0284  -0.0355   0.0168
3911.85   0.0099   0.0289  -0.0344   0.0185
3912.77   0.0104   0.0298  -0.0356   0.0249
3913.68   0.0104   0.0293  -0.0336   0.0270
3914.60   0.0102   0.0279  -0.0279   0.0277
3915.51   0.0100   0.0274  -0.0267   0.0272
3916.42   0.0097   0.0290  -0.0291   0.0255
3917.34   0.0094   0.0280  -0.0362   0.0228
3918.25   0.0092   0.0278  -0.0392   0.0188
3919.17   0.0088   0.0280  -0.0406   0.0071
3920.08   0.0078   0.0255  -0.0479  -0.0053
3921.00   0.0069   0.0225  -0.0523  -0.0070
3921.91   0.0064   0.0200  -0.0533  -0.0075
3922.83   0.0064   0.0211  -0.0549  -0.0096
3923.75   0.0067   0.0227  -0.0542  -0.0160
3924.66   0.0072   0.0235  -0.0511  -0.0102
3925.58   0.0074   0.0236  -0.0445  -0.0031
3926.49   0.0071   0.0217  -0.0387  -0.0021
3927.41   0.0063   0.0203  -0.0353  -0.0038
3928.33   0.0053   0.0174  -0.0341  -0.0077
3929.25   0.0044   0.0147  -0.0317  -0.0028
3930.16   0.0038   0.0125  -0.0254   0.0029
3931.08   0.0034   0.0108  -0.0175   0.0046
3932.00   0.0030   0.0091  -0.0091   0.0081
3932.92   0.0026   0.0087  -0.0084   0.0132
3933.84   0.0021   0.0056  -0.0081   0.0180
3934.75   0.0020   0.0035  -0.0102   0.0205
3935.67   0.0022   0.0066  -0.0091   0.0178
3936.59   0.0028   0.0083  -0.0094   0.0113
3937.51   0.0035   0.0094  -0.0146   0.0099
3938.43   0.0042   0.0125  -0.0199   0.0050
3939.35   0.0051   0.0150  -0.0251   0.0027
3940.27   0.0058   0.0181  -0.0270  -0.0002
3941.19   0.0062   0.0200  -0.0329  -0.0031
3942.11   0.0065   0.0201  -0.0395  -0.0036
3943.03   0.0064   0.0197  -0.0454  -0.0057
3943.95   0.0059   0.0195  -0.0519  -0.0183
3944.87   0.0056   0.0186  -0.0570  -0.0245
3945.79   0.0063   0.0205  -0.0569  -0.0186
3946.71   0.0077   0.0243  -0.0518  -0.0094
