#lambda    flux1    flux2    flux3    flux4
3900.00   0.0232  -0.0314   0.0691   0.0364
3900.91   0.0238  -0.0318   0.0644   0.0215
3901.82   0.0247  -0.0305   0.0685   0.0032
3902.73   0.0257  -0.0322   0.0717   0.0061
3903.64   0.0264  -0.0359   0.0699   0.0154
3904.56   0.0270  -0.0403   0.0708   0.0420
3905.47   0.0274  -0.0408   0.0721   0.0538
3906.38   0.0278  -0.0423   0.0681   0.0530
3907.29   0.0284  -0.0432   0.0723   0.0455
3908.20   0.0293  -0.0439   0.0701   0.0305
3909.12   0.0300  -0.0432   0.0623   0.0083
3910.03   0.0304  -0.0434   0.0560  -0.0039
3910.94   0.0309  -0.0429   0.0563  -0.0120
3911.85   0.0311  -0.0400   0.0570  -0.0442
3912.77   0.0312  -0.0405   0.0517  -0.0591
3913.68   0.0309  -0.0456   0.0485  -0.0337
3914.60   0.0307  -0.0485   0.0495  -0.0014
3915.51   0.0312  -0.0479   0.0493  -0.0099
3916.42   0.0318  -0.0470   0.0570  -0.0200
3917.34   0.0319  -0.0497   0.0552  -0.0007
3918.25   0.0320  -0.0476   0.0522  -0.0010
3919.17   0.0321  -0.0481   0.0554   0.0031
3920.08   0.0321  -0.0484   0.0529  -0.0017
3921.00   0.0323  -0.0485   0.0506   0.0059
3921.91   0.0324  -0.0506   0.0496   0.0034
3922.83   0.0323  -0.0489   0.0439  -0.0209
3923.75   0.0325  -0.0495   0.0392  -0.0281
3924.66   0.0327  -0.0490   0.0400  -0.0215
3925.58   0.0328  -0.0508   0.0428  -0.0270
3926.49   0.0328  -0.0513   0.0380  -0.0174
3927.41   0.0326  -0.0500   0.0387   0.0060
3928.33   0.0324  -0.0506   0.0438  -0.0065
3929.25   0.0321  -0.0520   0.0518   0.0072
3930.16   0.0317  -0.0549   0.0556   0.0438
3931.08   0.0312  -0.0573   0.0519   0.0737
3932.00   0.0302  -0.0617   0.0544   0.1138
3932.92   0.0276  -0.0643   0.0576   0.1715
3933.84   0.0238  -0.0632   0.0518   0.2272
3934.75   0.0221  -0.0582   0.0376   0.2359
3935.67   0.0242  -0.0564   0.0313   0.1981
3936.59   0.0282  -0.0581   0.0393   0.1191
3937.51   0.0306  -0.0559   0.0510   0.0536
3938.43   0.0313  -0.0527   0.0432   0.0131
3939.35   0.0317  -0.0488   0.0396  -0.0074
3940.27   0.0319  -0.0496   0.0443  -0.0160
3941.19   0.0320  -0.0490   0.0427  -0.0167
3942.11   0.0320  -0.0458   0.0429  -0.0197
3943.03   0.0317  -0.0446   0.0451  -0.0216
3943.95   0.0313  -0.0458   0.0512   0.0039
3944.87   0.0309  -0.0473   0.0546   0.0339
3945.79   0.0307  -0.0476   0.0499   0.0334
