#lambda    flux1    flux2    flux3    flux4
3900.00   0.0221   0.0283   0.0620   0.0088
3900.91   0.0225   0.0292   0.0570  -0.0021
3901.82   0.0234   0.0289   0.0590  -0.0169
3902.73   0.0241   0.0290   0.0611  -0.0173
3903.64   0.0245   0.0328   0.0648   0.0004
3904.56   0.0248   0.0346   0.0672   0.0077
3905.47   0.0248   0.0375   0.0640   0.0160
3906.38   0.0250   0.0385   0.0642   0.0285
3907.29   0.0255   0.0387   0.0675   0.0167
3908.20   0.0264   0.0389   0.0670  -0.0134
3909.12   0.0273   0.0383   0.0616  -0.0267
3910.03   0.0279   0.0373   0.0561  -0.0291
3910.94   0.0282   0.0399   0.0560  -0.0414
3911.85   0.0283   0.0397   0.0539  -0.0468
3912.77   0.0280   0.0396   0.0512  -0.0234
3913.68   0.0274   0.0411   0.0509   0.0014
3914.60   0.0272   0.0415   0.0464   0.0062
3915.51   0.0277   0.0425   0.0500  -0.0039
3916.42   0.0282   0.0433   0.0554  -0.0065
3917.34   0.0282   0.0444   0.0583   0.0110
3918.25   0.0281   0.0453   0.0592   0.0242
3919.17   0.0281   0.0461   0.0555   0.0335
3920.08   0.0279   0.0471   0.0561   0.0334
3921.00   0.0280   0.0468   0.0508   0.0162
3921.91   0.0283   0.0473   0.0424   0.0018
3922.83   0.0284   0.0462   0.0402  -0.0075
3923.75   0.0285   0.0457   0.0376  -0.0117
3924.66   0.0287   0.0454   0.0366  -0.0155
3925.58   0.0290   0.0455   0.0423  -0.0106
3926.49   0.0288   0.0472   0.0452   0.0074
3927.41   0.0283   0.0482   0.0483   0.0275
3928.33   0.0277   0.0501   0.0445   0.0529
3929.25   0.0271   0.0520   0.0471   0.0744
3930.16   0.0264   0.0530   0.0532   0.1087
3931.08   0.0252   0.0569   0.0516   0.1677
3932.00   0.0229   0.0610   0.0510   0.2511
3932.92   0.0191   0.0590   0.0463   0.3268
3933.84   0.0151   0.0516   0.0313   0.3351
3934.75   0.0142   0.0466   0.0197   0.2808
3935.67   0.0175   0.0481   0.0210   0.2140
3936.59   0.0222   0.0524   0.0344   0.1608
3937.51   0.0253   0.0533   0.0434   0.1190
3938.43   0.0268   0.0518   0.0470   0.0797
3939.35   0.0276   0.0492   0.0469   0.0432
3940.27   0.0281   0.0461   0.0432   0.0146
3941.19   0.0284   0.0448   0.0448   0.0092
3942.11   0.0283   0.0447   0.0483   0.0109
3943.03   0.0279   0.0439   0.0509   0.0222
3943.95   0.0274   0.0438   0.0510   0.0302
3944.87   0.0272   0.0440   0.0497   0.0254
3945.79   0.0274   0.0418   0.0501   0.0138
3946.71   0.0277   0.0395   0.0458  -0.0043
3947.64   0.0276   0.0397   0.0473   0.0011
3948.56   0.0271   0.0398   0.0525   0.0177
3949.48   0.0267   0.0393   0.0526   0.0244
3950.40   0.0265   0.0379   0.0551   0.0209
3951.32   0.0263   0.0368   0.0578   0.0169
3952.25   0.0262   0.0369   0.0589   0.0106
3953.17   0.0260   0.0352   0.0564   0.0033
3954.09   0.0260   0.0332   0.0564  -0.0148
3955.02   0.0259   0.0308   0.0597  -0.0227
3955.94   0.0252   0.0318   0.0609  -0.0075
3956.86   0.0243   0.0319   0.0603   0.0136
3957.79   0.0239   0.0297   0.0597   0.0122
3958.71   0.0238   0.0271   0.0574  -0.0103
3959.64   0.0237   0.0232   0.0591  -0.0292
3960.56   0.0232   0.0220   0.0611  -0.0261
3961.48   0.0222   0.0223   0.0616  -0.0111
3962.41   0.0212   0.0217   0.0643  -0.0000
3963.33   0.0206   0.0196   0.0635   0.0000
3964.26   0.0199   0.0177   0.0639   0.0014
3965.19   0.0189   0.0173   0.0611   0.0096
3966.11   0.0175   0.0165   0.0563   0.0305
3967.04   0.0154   0.0191   0.0544   0.0669
3967.96   0.0126   0.0205   0.0408   0.1057
3968.89   0.0098   0.0187   0.0256   0.1120
3969.82   0.0081   0.0146   0.0149   0.0689
3970.74   0.0083   0.0078   0.0117   0.0155
3971.67   0.0099   0.0042   0.0237  -0.0238
3972.60   0.0122   0.0027   0.0378  -0.0411
3973.53   0.0144   0.0036   0.0483  -0.0383
3974.45   0.0162   0.0068   0.0555  -0.0385
3975.38   0.0177   0.0080   0.0582  -0.0396
3976.31   0.0189   0.0094   0.0578  -0.0375
3977.24   0.0199   0.0124   0.0594  -0.0377
3978.17   0.0207   0.0148   0.0602  -0.0367
3979.10   0.0215   0.0175   0.0572  -0.0455
3980.03   0.0224   0.0177   0.0557  -0.0490
3980.95   0.0230   0.0187   0.0563  -0.0459
3981.88   0.0233   0.0212   0.0546  -0.0390
3982.81   0.0236   0.0235   0.0521  -0.0204
3983.74   0.0239   0.0249   0.0535  -0.0132
3984.67   0.0245   0.0250   0.0558  -0.0222
3985.60   0.0250   0.0264   0.0524  -0.0257
3986.54   0.0253   0.0281   0.0484  -0.0240
3987.47   0.0255   0.0299   0.0458  -0.0236
3988.40   0.0259   0.0299   0.0446  -0.0259
3989.33   0.0263   0.0298   0.0457  -0.0338
3990.26   0.0265   0.0314   0.0453  -0.0324
3991.19   0.0267   0.0319   0.0393  -0.0329
3992.12   0.0270   0.0311   0.0405  -0.0397
3993.06   0.0274   0.0313   0.0409  -0.0451
3993.99   0.0276   0.0324   0.0363  -0.0502
3994.92   0.0276   0.0341   0.0377  -0.0393
3995.85   0.0276   0.0350   0.0406  -0.0194
