#lambda    flux1    flux2    flux3    flux4
3900.00   0.0039  -0.0192  -0.0415  -0.0187
3900.91   0.0039  -0.0184  -0.0418  -0.0107
3901.82   0.0045  -0.0208  -0.0332  -0.0040
3902.73   0.0046  -0.0198  -0.0371  -0.0069
3903.64   0.0043  -0.0181  -0.0420  -0.0029
3904.56   0.0042  -0.0170  -0.0409  -0.0149
3905.47   0.0042  -0.0180  -0.0418  -0.0081
3906.38   0.0040  -0.0167  -0.0402  -0.0084
3907.29   0.0040  -0.0176  -0.0405  -0.0201
3908.20   0.0048  -0.0212  -0.0383  -0.0082
3909.12   0.0057  -0.0217  -0.0356   0.0031
3910.03   0.0061  -0.0217  -0.0399   0.0013
3910.94   0.0062  -0.0214  -0.0413   0.0056
3911.85   0.0063  -0.0227  -0.0402   0.0018
3912.77   0.0064  -0.0232  -0.0372  -0.0037
3913.68   0.0063  -0.0242  -0.0390  -0.0009
3914.60   0.0062  -0.0248  -0.0341   0.0020
3915.51   0.0062  -0.0244  -0.0347   0.0078
3916.42   0.0060  -0.0245  -0.0393   0.0121
3917.34   0.0056  -0.0224  -0.0351  -0.0021
3918.25   0.0054  -0.0203  -0.0369  -0.0014
3919.17   0.0052  -0.0196  -0.0425  -0.0011
3920.08   0.0044  -0.0182  -0.0406  -0.0161
3921.00   0.0038  -0.0169  -0.0446  -0.0222
3921.91   0.0034  -0.0165  -0.0416  -0.0177
3922.83   0.0035  -0.0165  -0.0438  -0.0131
3923.75   0.0036  -0.0183  -0.0454  -0.0162
3924.66   0.0039  -0.0187  -0.0434  -0.0183
3925.58   0.0041  -0.0172  -0.0415  -0.0059
3926.49   0.0040  -0.0165  -0.0392  -0.0052
3927.41   0.0037  -0.0170  -0.0349  -0.0092
3928.33   0.0033  -0.0164  -0.0320  -0.0049
3929.25   0.0027  -0.0135  -0.0320  -0.0129
3930.16   0.0023  -0.0115  -0.0325  -0.0087
3931.08   0.0022  -0.0106  -0.0312  -0.0060
3932.00   0.0020  -0.0103  -0.0221   0.0015
3932.92   0.0018  -0.0071  -0.0213   0.0033
3933.84   0.0017  -0.0058  -0.0236  -0.0025
3934.75   0.0016  -0.0048  -0.0212   0.0054
3935.67   0.0017  -0.0058  -0.0276   0.0042
3936.59   0.0021  -0.0091  -0.0299  -0.0058
3937.51   0.0024  -0.0111  -0.0242  -0.0065
3938.43   0.0028  -0.0114  -0.0269  -0.0080
3939.35   0.0032  -0.0137  -0.0307  -0.0097
3940.27   0.0036  -0.0141  -0.0323  -0.0119
3941.19   0.0038  -0.0163  -0.0372  -0.0137
3942.11   0.0037  -0.0171  -0.0364  -0.0156
