#lambda    flux1    flux2    flux3    flux4
3900.00   0.0210  -0.0302  -0.0530   0.0250
3900.91   0.0213  -0.0304  -0.0428   0.0355
3901.82   0.0221  -0.0321  -0.0403   0.0487
3902.73   0.0226  -0.0348  -0.0436   0.0374
3903.64   0.0227  -0.0370  -0.0489   0.0200
3904.56   0.0225  -0.0391  -0.0576   0.0156
3905.47   0.0223  -0.0404  -0.0572   0.0041
3906.38   0.0222  -0.0422  -0.0529  -0.0084
3907.29   0.0228  -0.0422  -0.0562   0.0004
3908.20   0.0238  -0.0425  -0.0556   0.0162
3909.12   0.0247  -0.0435  -0.0489   0.0359
3910.03   0.0251  -0.0432  -0.0453   0.0419
3910.94   0.0253  -0.0443  -0.0414   0.0310
3911.85   0.0255  -0.0434  -0.0386   0.0414
3912.77   0.0252  -0.0413  -0.0435   0.0449
3913.68   0.0245  -0.0404  -0.0451   0.0209
3914.60   0.0242  -0.0402  -0.0457   0.0149
3915.51   0.0245  -0.0431  -0.0460   0.0143
3916.42   0.0248  -0.0461  -0.0496   0.0148
3917.34   0.0246  -0.0463  -0.0532   0.0075
3918.25   0.0244  -0.0457  -0.0606  -0.0062
3919.17   0.0243  -0.0448  -0.0641  -0.0039
3920.08   0.0241  -0.0457  -0.0615  -0.0048
3921.00   0.0242  -0.0469  -0.0530  -0.0070
3921.91   0.0245  -0.0481  -0.0485  -0.0018
3922.83   0.0248  -0.0484  -0.0442   0.0060
3923.75   0.0249  -0.0460  -0.0381   0.0085
3924.66   0.0251  -0.0469  -0.0434   0.0128
3925.58   0.0250  -0.0482  -0.0504  -0.0032
3926.49   0.0245  -0.0482  -0.0614  -0.0288
3927.41   0.0238  -0.0497  -0.0671  -0.0406
3928.33   0.0230  -0.0529  -0.0712  -0.0622
3929.25   0.0220  -0.0530  -0.0835  -0.0974
3930.16   0.0207  -0.0541  -0.0957  -0.1341
3931.08   0.0188  -0.0563  -0.1081  -0.1803
3932.00   0.0160  -0.0553  -0.1167  -0.2207
3932.92   0.0122  -0.0488  -0.1026  -0.2232
3933.84   0.0090  -0.0397  -0.0740  -0.1954
3934.75   0.0085  -0.0366  -0.0673  -0.1790
3935.67   0.0113  -0.0443  -0.0844  -0.2005
3936.59   0.0155  -0.0534  -0.1026  -0.2162
3937.51   0.0189  -0.0564  -0.1077  -0.1866
3938.43   0.0209  -0.0563  -0.0978  -0.1460
3939.35   0.0224  -0.0535  -0.0835  -0.1028
3940.27   0.0235  -0.0508  -0.0702  -0.0597
3941.19   0.0240  -0.0509  -0.0600  -0.0399
3942.11   0.0241  -0.0490  -0.0631  -0.0342
3943.03   0.0239  -0.0472  -0.0647  -0.0304
3943.95   0.0235  -0.0466  -0.0651  -0.0274
3944.87   0.0234  -0.0467  -0.0668  -0.0297
3945.79   0.0239  -0.0460  -0.0560  -0.0126
