#lambda    flux1    flux2    flux3    flux4
3900.00   0.0211  -0.0293  -0.0506   0.0154
3900.91   0.0215  -0.0286  -0.0425   0.0187
3901.82   0.0223  -0.0299  -0.0412   0.0349
3902.73   0.0228  -0.0325  -0.0461   0.0317
3903.64   0.0228  -0.0344  -0.0514   0.0118
3904.56   0.0228  -0.0369  -0.0573   0.0048
3905.47   0.0227  -0.0391  -0.0567  -0.0041
3906.38   0.0227  -0.0400  -0.0560  -0.0129
3907.29   0.0232  -0.0391  -0.0522  -0.0009
3908.20   0.0242  -0.0394  -0.0519   0.0154
3909.12   0.0251  -0.0401  -0.0509   0.0255
3910.03   0.0255  -0.0405  -0.0481   0.0380
3910.94   0.0257  -0.0414  -0.0442   0.0345
3911.85   0.0259  -0.0410  -0.0414   0.0347
3912.77   0.0256  -0.0398  -0.0437   0.0389
3913.68   0.0249  -0.0397  -0.0438   0.0231
3914.60   0.0246  -0.0397  -0.0461   0.0078
3915.51   0.0250  -0.0414  -0.0494   0.0041
3916.42   0.0253  -0.0438  -0.0510   0.0067
3917.34   0.0251  -0.0433  -0.0533  -0.0008
3918.25   0.0249  -0.0447  -0.0600  -0.0166
3919.17   0.0248  -0.0446  -0.0607  -0.0170
3920.08   0.0247  -0.0452  -0.0566  -0.0137
3921.00   0.0248  -0.0457  -0.0498  -0.0098
3921.91   0.0252  -0.0454  -0.0467  -0.0014
3922.83   0.0253  -0.0458  -0.0432   0.0028
3923.75   0.0255  -0.0446  -0.0407   0.0064
3924.66   0.0256  -0.0453  -0.0426   0.0106
3925.58   0.0256  -0.0465  -0.0493  -0.0027
3926.49   0.0252  -0.0470  -0.0543  -0.0278
3927.41   0.0245  -0.0487  -0.0584  -0.0491
3928.33   0.0238  -0.0506  -0.0649  -0.0664
3929.25   0.0228  -0.0518  -0.0747  -0.1012
3930.16   0.0216  -0.0531  -0.0837  -0.1426
3931.08   0.0198  -0.0560  -0.0946  -0.1911
3932.00   0.0170  -0.0553  -0.1007  -0.2333
3932.92   0.0132  -0.0485  -0.0884  -0.2411
3933.84   0.0098  -0.0411  -0.0646  -0.2127
3934.75   0.0093  -0.0390  -0.0568  -0.1882
3935.67   0.0122  -0.0450  -0.0716  -0.2022
3936.59   0.0166  -0.0530  -0.0850  -0.2140
3937.51   0.0200  -0.0563  -0.0884  -0.1879
3938.43   0.0219  -0.0541  -0.0854  -0.1386
3939.35   0.0232  -0.0504  -0.0730  -0.0989
3940.27   0.0243  -0.0490  -0.0602  -0.0626
3941.19   0.0248  -0.0484  -0.0554  -0.0401
3942.11   0.0248  -0.0468  -0.0577  -0.0334
3943.03   0.0246  -0.0457  -0.0599  -0.0327
3943.95   0.0242  -0.0444  -0.0598  -0.0326
3944.87   0.0240  -0.0443  -0.0568  -0.0350
3945.79   0.0244  -0.0434  -0.0526  -0.0187
3946.71   0.0249  -0.0414  -0.0498  -0.0027
3947.64   0.0249  -0.0410  -0.0507  -0.0093
3948.56   0.0243  -0.0407  -0.0530  -0.0187
3949.48   0.0240  -0.0406  -0.0554  -0.0199
3950.40   0.0240  -0.0400  -0.0547  -0.0097
3951.32   0.0240  -0.0387  -0.0534   0.0026
3952.25   0.0239  -0.0379  -0.0537   0.0009
3953.17   0.0238  -0.0372  -0.0521   0.0002
3954.09   0.0240  -0.0361  -0.0491   0.0102
3955.02   0.0241  -0.0345  -0.0471   0.0208
3955.94   0.0235  -0.0337  -0.0483   0.0149
3956.86   0.0226  -0.0331  -0.0528  -0.0023
3957.79   0.0222  -0.0325  -0.0522  -0.0063
3958.71   0.0225  -0.0316  -0.0473   0.0110
3959.64   0.0228  -0.0295  -0.0450   0.0310
3960.56   0.0224  -0.0273  -0.0422   0.0299
3961.48   0.0215  -0.0265  -0.0462   0.0138
3962.41   0.0204  -0.0267  -0.0531  -0.0005
3963.33   0.0198  -0.0257  -0.0543  -0.0153
3964.26   0.0192  -0.0239  -0.0526  -0.0190
3965.19   0.0183  -0.0228  -0.0563  -0.0300
3966.11   0.0167  -0.0233  -0.0610  -0.0558
3967.04   0.0142  -0.0239  -0.0574  -0.0882
3967.96   0.0110  -0.0227  -0.0466  -0.1036
3968.89   0.0082  -0.0179  -0.0292  -0.0942
3969.82   0.0071  -0.0128  -0.0187  -0.0559
3970.74   0.0079  -0.0092  -0.0175  -0.0176
3971.67   0.0102  -0.0082  -0.0225   0.0035
3972.60   0.0129  -0.0087  -0.0331   0.0078
3973.53   0.0150  -0.0106  -0.0403   0.0095
3974.45   0.0167  -0.0133  -0.0443   0.0094
3975.38   0.0181  -0.0147  -0.0451   0.0104
3976.31   0.0191  -0.0162  -0.0436   0.0228
3977.24   0.0199  -0.0185  -0.0440   0.0267
3978.17   0.0205  -0.0197  -0.0424   0.0231
3979.10   0.0213  -0.0225  -0.0399   0.0341
3980.03   0.0221  -0.0226  -0.0365   0.0437
3980.95   0.0226  -0.0235  -0.0353   0.0484
3981.88   0.0226  -0.0262  -0.0376   0.0349
3982.81   0.0225  -0.0281  -0.0404   0.0208
3983.74   0.0228  -0.0301  -0.0443   0.0217
3984.67   0.0232  -0.0300  -0.0423   0.0207
3985.60   0.0235  -0.0295  -0.0410   0.0176
3986.54   0.0236  -0.0310  -0.0433   0.0139
3987.47   0.0237  -0.0332  -0.0428   0.0112
3988.40   0.0240  -0.0329  -0.0396   0.0215
3989.33   0.0244  -0.0322  -0.0355   0.0307
3990.26   0.0247  -0.0331  -0.0336   0.0271
3991.19   0.0248  -0.0344  -0.0343   0.0288
3992.12   0.0251  -0.0348  -0.0316   0.0429
3993.06   0.0255  -0.0337  -0.0301   0.0503
3993.99   0.0258  -0.0339  -0.0291   0.0498
3994.92   0.0256  -0.0359  -0.0260   0.0432
3995.85   0.0253  -0.0363  -0.0306   0.0322
3996.79   0.0249  -0.0371  -0.0409   0.0111
3997.72   0.0245  -0.0371  -0.0417  -0.0043
3998.65   0.0244  -0.0378  -0.0403  -0.0034
3999.59   0.0250  -0.0376  -0.0325   0.0110
4000.52   0.0256  -0.0368  -0.0267   0.0330
4001.45   0.0260  -0.0369  -0.0254   0.0436
4002.39   0.0261  -0.0366  -0.0259   0.0397
4003.32   0.0261  -0.0357  -0.0279   0.0368
4004.26   0.0258  -0.0355  -0.0298   0.0302
4005.19   0.0250  -0.0379  -0.0367   0.0080
4006.13   0.0244  -0.0397  -0.0379  -0.0134
4007.06   0.0247  -0.0394  -0.0356  -0.0140
4008.00   0.0256  -0.0390  -0.0313   0.0111
4008.94   0.0262  -0.0389  -0.0259   0.0335
4009.87   0.0263  -0.0376  -0.0201   0.0351
