#lambda    flux1    flux2    flux3    flux4
3900.00   0.0164  -0.0426   0.0379  -0.0145
3900.91   0.0166  -0.0433   0.0388  -0.0185
3901.82   0.0170  -0.0433   0.0363  -0.0242
3902.73   0.0168  -0.0443   0.0386  -0.0187
3903.64   0.0164  -0.0460   0.0478  -0.0067
3904.56   0.0161  -0.0456   0.0541   0.0031
3905.47   0.0156  -0.0445   0.0580   0.0075
3906.38   0.0150  -0.0442   0.0604   0.0146
3907.29   0.0154  -0.0443   0.0565   0.0143
3908.20   0.0169  -0.0451   0.0478  -0.0067
3909.12   0.0180  -0.0453   0.0401  -0.0250
3910.03   0.0181  -0.0457   0.0399  -0.0233
3910.94   0.0180  -0.0458   0.0419  -0.0190
3911.85   0.0183  -0.0454   0.0380  -0.0242
3912.77   0.0187  -0.0451   0.0310  -0.0323
3913.68   0.0185  -0.0436   0.0310  -0.0343
3914.60   0.0180  -0.0428   0.0366  -0.0245
3915.51   0.0178  -0.0435   0.0399  -0.0173
3916.42   0.0178  -0.0449   0.0379  -0.0158
3917.34   0.0177  -0.0441   0.0395  -0.0198
3918.25   0.0175  -0.0434   0.0396  -0.0177
3919.17   0.0172  -0.0444   0.0397  -0.0115
3920.08   0.0166  -0.0453   0.0493  -0.0024
3921.00   0.0160  -0.0474   0.0594   0.0146
3921.91   0.0158  -0.0492   0.0628   0.0263
3922.83   0.0159  -0.0485   0.0622   0.0221
3923.75   0.0163  -0.0479   0.0567   0.0111
3924.66   0.0167  -0.0481   0.0547   0.0092
3925.58   0.0165  -0.0478   0.0596   0.0193
3926.49   0.0157  -0.0475   0.0677   0.0290
3927.41   0.0145  -0.0473   0.0743   0.0425
3928.33   0.0131  -0.0463   0.0827   0.0592
3929.25   0.0116  -0.0447   0.0929   0.0800
3930.16   0.0101  -0.0424   0.0979   0.0939
3931.08   0.0086  -0.0369   0.0910   0.0903
3932.00   0.0069  -0.0283   0.0726   0.0739
3932.92   0.0051  -0.0190   0.0481   0.0438
3933.84   0.0038  -0.0117   0.0256   0.0211
3934.75   0.0035  -0.0105   0.0199   0.0194
3935.67   0.0044  -0.0155   0.0367   0.0344
3936.59   0.0061  -0.0249   0.0639   0.0630
3937.51   0.0081  -0.0343   0.0878   0.0858
3938.43   0.0101  -0.0406   0.0999   0.0951
3939.35   0.0119  -0.0455   0.0990   0.0899
3940.27   0.0135  -0.0482   0.0894   0.0723
3941.19   0.0145  -0.0485   0.0828   0.0553
3942.11   0.0149  -0.0482   0.0788   0.0474
3943.03   0.0151  -0.0479   0.0779   0.0462
3943.95   0.0149  -0.0482   0.0807   0.0511
3944.87   0.0147  -0.0495   0.0817   0.0545
3945.79   0.0155  -0.0487   0.0720   0.0419
3946.71   0.0168  -0.0480   0.0578   0.0162
3947.64   0.0173  -0.0464   0.0500   0.0025
3948.56   0.0168  -0.0448   0.0518   0.0085
3949.48   0.0167  -0.0442   0.0529   0.0088
3950.40   0.0172  -0.0426   0.0439  -0.0042
3951.32   0.0178  -0.0415   0.0344  -0.0149
3952.25   0.0176  -0.0414   0.0349  -0.0145
3953.17   0.0171  -0.0422   0.0437  -0.0018
3954.09   0.0171  -0.0425   0.0476  -0.0032
3955.02   0.0178  -0.0432   0.0397  -0.0149
3955.94   0.0178  -0.0425   0.0359  -0.0163
3956.86   0.0170  -0.0412   0.0411  -0.0073
3957.79   0.0166  -0.0414   0.0437   0.0034
3958.71   0.0170  -0.0419   0.0405  -0.0044
3959.64   0.0177  -0.0423   0.0356  -0.0162
3960.56   0.0174  -0.0427   0.0394  -0.0055
3961.48   0.0159  -0.0457   0.0589   0.0225
3962.41   0.0142  -0.0471   0.0786   0.0563
3963.33   0.0134  -0.0461   0.0849   0.0723
3964.26   0.0132  -0.0442   0.0834   0.0645
3965.19   0.0124  -0.0417   0.0830   0.0641
3966.11   0.0108  -0.0370   0.0821   0.0703
3967.04   0.0084  -0.0299   0.0700   0.0640
3967.96   0.0060  -0.0209   0.0481   0.0448
3968.89   0.0043  -0.0130   0.0283   0.0283
3969.82   0.0041  -0.0107   0.0219   0.0205
3970.74   0.0053  -0.0154   0.0322   0.0256
3971.67   0.0074  -0.0233   0.0483   0.0383
3972.60   0.0096  -0.0302   0.0636   0.0502
3973.53   0.0114  -0.0358   0.0731   0.0559
3974.45   0.0128  -0.0391   0.0729   0.0534
3975.38   0.0142  -0.0400   0.0662   0.0376
3976.31   0.0153  -0.0405   0.0592   0.0260
3977.24   0.0160  -0.0405   0.0528   0.0177
3978.17   0.0166  -0.0392   0.0451   0.0028
3979.10   0.0174  -0.0387   0.0356  -0.0106
3980.03   0.0182  -0.0389   0.0286  -0.0223
3980.95   0.0187  -0.0387   0.0228  -0.0305
3981.88   0.0186  -0.0381   0.0202  -0.0306
3982.81   0.0181  -0.0379   0.0252  -0.0211
3983.74   0.0179  -0.0388   0.0326  -0.0152
3984.67   0.0180  -0.0394   0.0316  -0.0173
3985.60   0.0184  -0.0392   0.0273  -0.0215
3986.54   0.0184  -0.0391   0.0296  -0.0195
3987.47   0.0182  -0.0389   0.0325  -0.0175
3988.40   0.0186  -0.0387   0.0260  -0.0252
3989.33   0.0191  -0.0390   0.0177  -0.0380
3990.26   0.0192  -0.0380   0.0171  -0.0382
3991.19   0.0191  -0.0383   0.0193  -0.0347
3992.12   0.0194  -0.0385   0.0158  -0.0424
3993.06   0.0199  -0.0379   0.0111  -0.0481
3993.99   0.0199  -0.0375   0.0094  -0.0486
3994.92   0.0195  -0.0378   0.0124  -0.0456
3995.85   0.0191  -0.0378   0.0167  -0.0410
3996.79   0.0188  -0.0375   0.0186  -0.0306
3997.72   0.0184  -0.0378   0.0249  -0.0211
3998.65   0.0181  -0.0379   0.0276  -0.0218
3999.59   0.0187  -0.0370   0.0190  -0.0298
4000.52   0.0195  -0.0366   0.0106  -0.0461
4001.45   0.0197  -0.0374   0.0081  -0.0501
4002.39   0.0198  -0.0371   0.0077  -0.0460
4003.32   0.0201  -0.0364   0.0049  -0.0527
4004.26   0.0201  -0.0364   0.0047  -0.0561
4005.19   0.0190  -0.0375   0.0161  -0.0359
4006.13   0.0178  -0.0397   0.0332  -0.0062
4007.06   0.0177  -0.0409   0.0371  -0.0017
4008.00   0.0187  -0.0394   0.0237  -0.0227
4008.94   0.0196  -0.0375   0.0103  -0.0411
4009.87   0.0199  -0.0367   0.0058  -0.0477
4010.81   0.0199  -0.0365   0.0072  -0.0448
4011.74   0.0200  -0.0361   0.0053  -0.0492
4012.68   0.0201  -0.0351   0.0026  -0.0532
4013.62   0.0199  -0.0352   0.0039  -0.0489
4014.56   0.0198  -0.0354   0.0054  -0.0454
4015.49   0.0199  -0.0363   0.0041  -0.0456
4016.43   0.0200  -0.0367   0.0042  -0.0479
4017.37   0.0198  -0.0372   0.0100  -0.0404
4018.31   0.0195  -0.0374   0.0171  -0.0289
4019.24   0.0197  -0.0375   0.0137  -0.0369
4020.18   0.0202  -0.0373   0.0040  -0.0522
4021.12   0.0203  -0.0369   0.0012  -0.0554
4022.06   0.0201  -0.0362   0.0041  -0.0484
4023.00   0.0202  -0.0351   0.0041  -0.0470
4023.94   0.0201  -0.0351   0.0044  -0.0481
4024.88   0.0198  -0.0358   0.0087  -0.0401
4025.82   0.0196  -0.0364   0.0095  -0.0371
4026.76   0.0201  -0.0360   0.0035  -0.0431
4027.70   0.0206  -0.0356  -0.0028  -0.0541
4028.64   0.0207  -0.0342  -0.0048  -0.0611
4029.58   0.0203  -0.0341  -0.0030  -0.0570
4030.52   0.0194  -0.0351   0.0056  -0.0375
4031.46   0.0185  -0.0365   0.0175  -0.0182
4032.40   0.0182  -0.0383   0.0232  -0.0138
4033.34   0.0183  -0.0381   0.0229  -0.0144
4034.29   0.0184  -0.0377   0.0205  -0.0166
4035.23   0.0186  -0.0377   0.0184  -0.0220
4036.17   0.0192  -0.0368   0.0132  -0.0265
4037.11   0.0200  -0.0361   0.0061  -0.0391
4038.06   0.0208  -0.0347  -0.0055  -0.0549
4039.00   0.0211  -0.0328  -0.0115  -0.0647
4039.94   0.0209  -0.0339  -0.0065  -0.0625
4040.88   0.0203  -0.0351   0.0026  -0.0482
4041.83   0.0199  -0.0355   0.0080  -0.0373
4042.77   0.0202  -0.0353   0.0004  -0.0434
4043.72   0.0204  -0.0348  -0.0023  -0.0497
4044.66   0.0194  -0.0361   0.0112  -0.0328
4045.60   0.0174  -0.0388   0.0333   0.0040
4046.55   0.0163  -0.0409   0.0435   0.0240
4047.49   0.0173  -0.0412   0.0313   0.0060
4048.44   0.0193  -0.0390   0.0115  -0.0271
4049.38   0.0203  -0.0363   0.0010  -0.0402
4050.33   0.0204  -0.0347  -0.0005  -0.0440
4051.28   0.0206  -0.0343  -0.0022  -0.0509
4052.22   0.0205  -0.0346   0.0008  -0.0453
4053.17   0.0202  -0.0358   0.0079  -0.0373
4054.11   0.0198  -0.0360   0.0125  -0.0315
4055.06   0.0195  -0.0356   0.0168  -0.0251
4056.01   0.0195  -0.0367   0.0184  -0.0239
4056.95   0.0195  -0.0366   0.0170  -0.0256
4057.90   0.0192  -0.0360   0.0208  -0.0176
4058.85   0.0189  -0.0378   0.0246  -0.0067
4059.80   0.0192  -0.0376   0.0199  -0.0156
4060.74   0.0201  -0.0360   0.0082  -0.0340
4061.69   0.0205  -0.0352  -0.0003  -0.0453
4062.64   0.0198  -0.0355   0.0046  -0.0389
4063.59   0.0182  -0.0367   0.0208  -0.0121
4064.54   0.0174  -0.0391   0.0310   0.0090
4065.49   0.0181  -0.0400   0.0260  -0.0001
4066.44   0.0190  -0.0382   0.0177  -0.0166
4067.39   0.0191  -0.0363   0.0175  -0.0185
4068.34   0.0191  -0.0352   0.0154  -0.0204
4069.29   0.0199  -0.0336   0.0051  -0.0372
4070.24   0.0205  -0.0330  -0.0037  -0.0505
4071.19   0.0197  -0.0337   0.0023  -0.0380
4072.14   0.0185  -0.0360   0.0171  -0.0108
4073.09   0.0183  -0.0372   0.0195  -0.0052
4074.04   0.0192  -0.0350   0.0086  -0.0258
4074.99   0.0199  -0.0337   0.0015  -0.0365
4075.94   0.0197  -0.0344   0.0087  -0.0314
4076.89   0.0188  -0.0349   0.0209  -0.0183
4077.85   0.0179  -0.0353   0.0297  -0.0026
4078.80   0.0176  -0.0354   0.0337   0.0028
4079.75   0.0182  -0.0354   0.0271  -0.0052
4080.70   0.0193  -0.0344   0.0151  -0.0238
4081.66   0.0201  -0.0323   0.0029  -0.0394
4082.61   0.0204  -0.0315  -0.0013  -0.0435
4083.56   0.0200  -0.0331   0.0051  -0.0370
4084.52   0.0192  -0.0347   0.0136  -0.0227
4085.47   0.0188  -0.0337   0.0178  -0.0137
4086.42   0.0191  -0.0332   0.0119  -0.0210
4087.38   0.0198  -0.0316   0.0035  -0.0368
4088.33   0.0205  -0.0296  -0.0051  -0.0533
4089.29   0.0207  -0.0288  -0.0113  -0.0616
4090.24   0.0207  -0.0283  -0.0117  -0.0583
4091.20   0.0204  -0.0288  -0.0082  -0.0520
4092.15   0.0201  -0.0298  -0.0027  -0.0443
4093.11   0.0198  -0.0299   0.0007  -0.0394
4094.06   0.0198  -0.0289  -0.0020  -0.0420
4095.02   0.0198  -0.0277  -0.0039  -0.0442
4095.97   0.0193  -0.0284   0.0006  -0.0381
4096.93   0.0187  -0.0286   0.0074  -0.0286
4097.89   0.0183  -0.0280   0.0063  -0.0279
4098.84   0.0180  -0.0262   0.0051  -0.0337
4099.80   0.0173  -0.0239   0.0044  -0.0382
4100.76   0.0158  -0.0205   0.0025  -0.0377
4101.72   0.0135  -0.0162   0.0034  -0.0296
4102.67   0.0122  -0.0141   0.0033  -0.0230
4103.63   0.0132  -0.0163   0.0051  -0.0246
4104.59   0.0154  -0.0208   0.0064  -0.0296
4105.55   0.0172  -0.0238   0.0038  -0.0322
4106.51   0.0182  -0.0255   0.0004  -0.0357
4107.47   0.0187  -0.0263  -0.0023  -0.0398
4108.43   0.0189  -0.0266  -0.0007  -0.0407
4109.38   0.0190  -0.0274   0.0014  -0.0350
4110.34   0.0190  -0.0289   0.0036  -0.0286
4111.30   0.0192  -0.0301   0.0056  -0.0275
4112.26   0.0194  -0.0304   0.0047  -0.0297
4113.22   0.0198  -0.0301   0.0013  -0.0343
4114.18   0.0200  -0.0294  -0.0042  -0.0415
4115.15   0.0202  -0.0288  -0.0073  -0.0458
4116.11   0.0204  -0.0290  -0.0102  -0.0476
4117.07   0.0207  -0.0288  -0.0128  -0.0506
4118.03   0.0205  -0.0282  -0.0116  -0.0516
4118.99   0.0198  -0.0299  -0.0028  -0.0397
4119.95   0.0193  -0.0309   0.0040  -0.0260
4120.91   0.0195  -0.0304   0.0013  -0.0296
4121.88   0.0197  -0.0291  -0.0025  -0.0363
4122.84   0.0197  -0.0293  -0.0004  -0.0317
4123.80   0.0198  -0.0303   0.0024  -0.0293
4124.76   0.0201  -0.0302  -0.0003  -0.0341
