#lambda    flux1    flux2    flux3    flux4
3900.00   0.0138  -0.0382   0.0490  -0.0030
3900.91   0.0140  -0.0389   0.0490  -0.0025
3901.82   0.0143  -0.0384   0.0454   0.0110
3902.73   0.0142  -0.0390   0.0483   0.0072
3903.64   0.0137  -0.0382   0.0588  -0.0102
3904.56   0.0134  -0.0377   0.0639  -0.0174
3905.47   0.0129  -0.0363   0.0657  -0.0201
3906.38   0.0122  -0.0348   0.0671  -0.0273
3907.29   0.0126  -0.0355   0.0616  -0.0188
3908.20   0.0142  -0.0374   0.0539  -0.0008
3909.12   0.0154  -0.0397   0.0452   0.0189
3910.03   0.0156  -0.0385   0.0434   0.0225
3910.94   0.0154  -0.0377   0.0476   0.0126
3911.85   0.0158  -0.0403   0.0427   0.0160
3912.77   0.0162  -0.0407   0.0370   0.0266
3913.68   0.0161  -0.0390   0.0365   0.0277
3914.60   0.0156  -0.0372   0.0367   0.0242
3915.51   0.0154  -0.0380   0.0384   0.0200
3916.42   0.0153  -0.0385   0.0424   0.0195
3917.34   0.0151  -0.0376   0.0423   0.0144
3918.25   0.0150  -0.0377   0.0433   0.0108
3919.17   0.0147  -0.0377   0.0470   0.0085
3920.08   0.0139  -0.0378   0.0526  -0.0030
3921.00   0.0131  -0.0371   0.0635  -0.0233
3921.91   0.0127  -0.0388   0.0698  -0.0307
3922.83   0.0128  -0.0393   0.0687  -0.0288
3923.75   0.0133  -0.0385   0.0650  -0.0234
3924.66   0.0136  -0.0392   0.0617  -0.0187
3925.58   0.0136  -0.0387   0.0634  -0.0225
3926.49   0.0129  -0.0374   0.0681  -0.0329
3927.41   0.0118  -0.0349   0.0720  -0.0434
3928.33   0.0103  -0.0314   0.0752  -0.0524
3929.25   0.0089  -0.0284   0.0776  -0.0594
3930.16   0.0076  -0.0258   0.0729  -0.0631
3931.08   0.0065  -0.0227   0.0613  -0.0579
3932.00   0.0053  -0.0167   0.0456  -0.0391
3932.92   0.0041  -0.0118   0.0283  -0.0183
3933.84   0.0032  -0.0085   0.0133  -0.0052
3934.75   0.0030  -0.0071   0.0114  -0.0027
3935.67   0.0036  -0.0090   0.0209  -0.0099
3936.59   0.0048  -0.0145   0.0397  -0.0306
3937.51   0.0063  -0.0205   0.0602  -0.0541
3938.43   0.0078  -0.0248   0.0740  -0.0656
3939.35   0.0094  -0.0296   0.0804  -0.0655
3940.27   0.0107  -0.0334   0.0778  -0.0552
3941.19   0.0116  -0.0344   0.0755  -0.0504
3942.11   0.0121  -0.0352   0.0769  -0.0474
3943.03   0.0122  -0.0365   0.0765  -0.0499
3943.95   0.0119  -0.0357   0.0796  -0.0580
3944.87   0.0117  -0.0359   0.0823  -0.0596
3945.79   0.0126  -0.0364   0.0770  -0.0510
3946.71   0.0140  -0.0372   0.0631  -0.0242
3947.64   0.0146  -0.0379   0.0553  -0.0114
3948.56   0.0142  -0.0370   0.0557  -0.0127
3949.48   0.0142  -0.0363   0.0525  -0.0119
3950.40   0.0148  -0.0365   0.0471  -0.0008
3951.32   0.0154  -0.0365   0.0405   0.0168
3952.25   0.0153  -0.0367   0.0388   0.0151
3953.17   0.0147  -0.0361   0.0449   0.0016
3954.09   0.0147  -0.0360   0.0471  -0.0000
3955.02   0.0154  -0.0369   0.0426   0.0078
3955.94   0.0155  -0.0370   0.0419   0.0130
3956.86   0.0147  -0.0357   0.0451   0.0004
3957.79   0.0143  -0.0351   0.0492  -0.0108
3958.71   0.0147  -0.0366   0.0480  -0.0085
3959.64   0.0152  -0.0382   0.0454  -0.0002
3960.56   0.0148  -0.0380   0.0513  -0.0101
3961.48   0.0131  -0.0370   0.0701  -0.0426
3962.41   0.0113  -0.0353   0.0863  -0.0694
3963.33   0.0105  -0.0334   0.0886  -0.0725
3964.26   0.0105  -0.0322   0.0804  -0.0622
3965.19   0.0100  -0.0299   0.0747  -0.0559
3966.11   0.0086  -0.0249   0.0667  -0.0522
3967.04   0.0067  -0.0188   0.0527  -0.0423
3967.96   0.0049  -0.0135   0.0335  -0.0251
3968.89   0.0036  -0.0092   0.0179  -0.0126
3969.82   0.0035  -0.0088   0.0144  -0.0082
3970.74   0.0045  -0.0114   0.0260  -0.0168
3971.67   0.0061  -0.0166   0.0418  -0.0311
3972.60   0.0079  -0.0226   0.0560  -0.0414
3973.53   0.0095  -0.0270   0.0671  -0.0445
3974.45   0.0107  -0.0297   0.0698  -0.0446
3975.38   0.0120  -0.0322   0.0665  -0.0396
3976.31   0.0131  -0.0332   0.0607  -0.0325
3977.24   0.0139  -0.0335   0.0557  -0.0232
3978.17   0.0145  -0.0344   0.0489  -0.0111
3979.10   0.0152  -0.0350   0.0431   0.0023
3980.03   0.0160  -0.0352   0.0344   0.0117
3980.95   0.0165  -0.0366   0.0285   0.0221
3981.88   0.0165  -0.0366   0.0277   0.0289
3982.81   0.0160  -0.0341   0.0296   0.0246
3983.74   0.0157  -0.0348   0.0332   0.0160
3984.67   0.0159  -0.0370   0.0346   0.0132
3985.60   0.0163  -0.0358   0.0349   0.0132
3986.54   0.0163  -0.0356   0.0363   0.0147
3987.47   0.0161  -0.0359   0.0349   0.0156
3988.40   0.0166  -0.0361   0.0269   0.0243
3989.33   0.0171  -0.0353   0.0213   0.0365
3990.26   0.0172  -0.0351   0.0222   0.0374
3991.19   0.0170  -0.0364   0.0243   0.0308
