#lambda    flux1    flux2    flux3    flux4
3900.00   0.0172  -0.0436   0.0344  -0.0198
3900.91   0.0174  -0.0440   0.0322  -0.0222
3901.82   0.0178  -0.0437   0.0297  -0.0295
3902.73   0.0177  -0.0456   0.0368  -0.0215
3903.64   0.0174  -0.0475   0.0445  -0.0105
3904.56   0.0171  -0.0475   0.0500  -0.0028
3905.47   0.0165  -0.0469   0.0542   0.0008
3906.38   0.0160  -0.0475   0.0559   0.0097
3907.29   0.0164  -0.0478   0.0522   0.0110
3908.20   0.0178  -0.0477   0.0435  -0.0105
3909.12   0.0188  -0.0467   0.0382  -0.0284
3910.03   0.0190  -0.0459   0.0380  -0.0313
3910.94   0.0189  -0.0469   0.0376  -0.0238
3911.85   0.0192  -0.0468   0.0319  -0.0274
3912.77   0.0195  -0.0457   0.0270  -0.0375
3913.68   0.0193  -0.0442   0.0278  -0.0385
3914.60   0.0188  -0.0447   0.0328  -0.0283
3915.51   0.0187  -0.0458   0.0379  -0.0236
3916.42   0.0187  -0.0471   0.0377  -0.0208
3917.34   0.0185  -0.0461   0.0375  -0.0193
3918.25   0.0183  -0.0443   0.0379  -0.0207
3919.17   0.0181  -0.0452   0.0414  -0.0176
3920.08   0.0176  -0.0473   0.0481  -0.0088
3921.00   0.0171  -0.0495   0.0558   0.0081
3921.91   0.0169  -0.0519   0.0601   0.0188
3922.83   0.0171  -0.0516   0.0585   0.0099
3923.75   0.0175  -0.0503   0.0530   0.0035
3924.66   0.0177  -0.0502   0.0521   0.0036
3925.58   0.0175  -0.0502   0.0579   0.0106
3926.49   0.0168  -0.0509   0.0658   0.0264
3927.41   0.0158  -0.0526   0.0764   0.0408
3928.33   0.0144  -0.0526   0.0884   0.0601
3929.25   0.0129  -0.0521   0.1005   0.0823
3930.16   0.0114  -0.0508   0.1088   0.0989
3931.08   0.0098  -0.0458   0.1061   0.1031
3932.00   0.0078  -0.0360   0.0902   0.0881
3932.92   0.0057  -0.0255   0.0625   0.0616
3933.84   0.0041  -0.0154   0.0346   0.0342
3934.75   0.0037  -0.0132   0.0290   0.0266
3935.67   0.0048  -0.0202   0.0498   0.0456
3936.59   0.0069  -0.0324   0.0796   0.0789
3937.51   0.0093  -0.0431   0.1033   0.1004
3938.43   0.0114  -0.0500   0.1122   0.1023
3939.35   0.0133  -0.0535   0.1060   0.0899
3940.27   0.0148  -0.0538   0.0922   0.0702
3941.19   0.0158  -0.0534   0.0819   0.0537
3942.11   0.0162  -0.0530   0.0782   0.0440
3943.03   0.0163  -0.0526   0.0758   0.0391
3943.95   0.0161  -0.0528   0.0784   0.0434
3944.87   0.0160  -0.0533   0.0793   0.0459
3945.79   0.0167  -0.0515   0.0694   0.0304
3946.71   0.0179  -0.0492   0.0550   0.0083
3947.64   0.0182  -0.0472   0.0474  -0.0009
3948.56   0.0178  -0.0466   0.0495   0.0060
3949.48   0.0176  -0.0456   0.0494   0.0053
3950.40   0.0181  -0.0447   0.0403  -0.0073
3951.32   0.0185  -0.0437   0.0329  -0.0205
3952.25   0.0184  -0.0434   0.0362  -0.0199
3953.17   0.0180  -0.0445   0.0446  -0.0046
3954.09   0.0181  -0.0444   0.0462  -0.0034
3955.02   0.0186  -0.0444   0.0374  -0.0177
3955.94   0.0186  -0.0438   0.0346  -0.0205
3956.86   0.0178  -0.0425   0.0387  -0.0101
3957.79   0.0174  -0.0428   0.0413  -0.0010
3958.71   0.0179  -0.0428   0.0380  -0.0082
3959.64   0.0185  -0.0423   0.0301  -0.0186
3960.56   0.0182  -0.0435   0.0345  -0.0137
3961.48   0.0169  -0.0468   0.0546   0.0138
3962.41   0.0154  -0.0496   0.0749   0.0481
3963.33   0.0146  -0.0500   0.0825   0.0614
3964.26   0.0143  -0.0485   0.0823   0.0607
3965.19   0.0135  -0.0462   0.0844   0.0642
3966.11   0.0118  -0.0427   0.0871   0.0715
3967.04   0.0093  -0.0356   0.0800   0.0718
3967.96   0.0066  -0.0250   0.0599   0.0569
3968.89   0.0047  -0.0158   0.0364   0.0339
3969.82   0.0044  -0.0134   0.0272   0.0238
3970.74   0.0057  -0.0173   0.0347   0.0297
3971.67   0.0080  -0.0258   0.0507   0.0384
3972.60   0.0104  -0.0339   0.0659   0.0467
3973.53   0.0123  -0.0391   0.0713   0.0503
3974.45   0.0138  -0.0417   0.0699   0.0463
3975.38   0.0151  -0.0427   0.0646   0.0338
3976.31   0.0162  -0.0424   0.0567   0.0193
