#lambda    flux1    flux2    flux3    flux4
3900.00   0.0225  -0.0302  -0.0607  -0.0043
3900.91   0.0229  -0.0305  -0.0607   0.0064
3901.82   0.0237  -0.0325  -0.0618   0.0214
3902.73   0.0246  -0.0327  -0.0636   0.0167
3903.64   0.0252  -0.0353  -0.0667   0.0060
3904.56   0.0254  -0.0360  -0.0688  -0.0039
3905.47   0.0257  -0.0378  -0.0670  -0.0030
3906.38   0.0260  -0.0413  -0.0615  -0.0168
3907.29   0.0264  -0.0393  -0.0636  -0.0237
3908.20   0.0273  -0.0399  -0.0631   0.0073
3909.12   0.0282  -0.0400  -0.0643   0.0242
3910.03   0.0287  -0.0400  -0.0654   0.0296
3910.94   0.0291  -0.0413  -0.0604   0.0414
3911.85   0.0293  -0.0416  -0.0529   0.0439
3912.77   0.0291  -0.0446  -0.0547   0.0285
3913.68   0.0286  -0.0455  -0.0510   0.0110
3914.60   0.0285  -0.0427  -0.0424   0.0062
3915.51   0.0290  -0.0434  -0.0463   0.0043
3916.42   0.0295  -0.0462  -0.0531  -0.0058
3917.34   0.0297  -0.0453  -0.0595  -0.0190
3918.25   0.0296  -0.0469  -0.0560  -0.0216
3919.17   0.0296  -0.0487  -0.0543  -0.0314
3920.08   0.0296  -0.0482  -0.0502  -0.0394
3921.00   0.0297  -0.0499  -0.0479  -0.0218
3921.91   0.0298  -0.0488  -0.0454   0.0035
3922.83   0.0300  -0.0472  -0.0432   0.0046
3923.75   0.0300  -0.0486  -0.0431   0.0092
3924.66   0.0303  -0.0470  -0.0412   0.0256
3925.58   0.0304  -0.0488  -0.0446   0.0173
3926.49   0.0303  -0.0498  -0.0438  -0.0086
3927.41   0.0301  -0.0512  -0.0456  -0.0251
3928.33   0.0296  -0.0520  -0.0440  -0.0427
3929.25   0.0290  -0.0532  -0.0409  -0.0687
3930.16   0.0285  -0.0552  -0.0460  -0.1019
3931.08   0.0278  -0.0577  -0.0476  -0.1592
3932.00   0.0261  -0.0632  -0.0417  -0.2478
3932.92   0.0227  -0.0673  -0.0335  -0.3328
3933.84   0.0186  -0.0654  -0.0273  -0.3646
3934.75   0.0171  -0.0592  -0.0161  -0.3097
3935.67   0.0200  -0.0584  -0.0178  -0.2371
3936.59   0.0243  -0.0602  -0.0334  -0.1677
3937.51   0.0272  -0.0593  -0.0413  -0.1046
3938.43   0.0286  -0.0541  -0.0431  -0.0677
3939.35   0.0292  -0.0522  -0.0451  -0.0409
3940.27   0.0296  -0.0493  -0.0478  -0.0158
