#lambda    flux1    flux2    flux3    flux4
3900.00   0.0237   0.0349  -0.0637   0.0392
3900.91   0.0243   0.0346  -0.0610   0.0201
3901.82   0.0251   0.0335  -0.0679   0.0259
3902.73   0.0261   0.0343  -0.0682   0.0321
3903.64   0.0269   0.0388  -0.0684   0.0360
3904.56   0.0276   0.0404  -0.0668   0.0437
3905.47   0.0281   0.0416  -0.0784   0.0384
3906.38   0.0285   0.0424  -0.0762   0.0455
3907.29   0.0291   0.0420  -0.0705   0.0326
3908.20   0.0300   0.0425  -0.0707   0.0203
3909.12   0.0306   0.0449  -0.0685   0.0109
3910.03   0.0311   0.0442  -0.0638  -0.0024
3910.94   0.0316   0.0424  -0.0562  -0.0149
3911.85   0.0317   0.0435  -0.0588  -0.0140
3912.77   0.0318   0.0447  -0.0527  -0.0245
3913.68   0.0316   0.0490  -0.0500  -0.0045
3914.60   0.0315   0.0475  -0.0558   0.0134
3915.51   0.0319   0.0508  -0.0470  -0.0063
3916.42   0.0324   0.0484  -0.0477  -0.0198
3917.34   0.0326   0.0482  -0.0523  -0.0126
3918.25   0.0328   0.0489  -0.0482  -0.0085
3919.17   0.0330   0.0477  -0.0510  -0.0133
3920.08   0.0329   0.0501  -0.0479  -0.0102
3921.00   0.0330   0.0516  -0.0507  -0.0061
3921.91   0.0332   0.0488  -0.0455  -0.0196
3922.83   0.0331   0.0458  -0.0417  -0.0243
3923.75   0.0332   0.0470  -0.0451  -0.0330
3924.66   0.0334   0.0474  -0.0376  -0.0403
3925.58   0.0335   0.0476  -0.0344  -0.0451
3926.49   0.0335   0.0488  -0.0402  -0.0328
3927.41   0.0334   0.0498  -0.0370  -0.0188
3928.33   0.0332   0.0501  -0.0350  -0.0238
3929.25   0.0329   0.0501  -0.0396  -0.0204
3930.16   0.0326   0.0522  -0.0435   0.0124
3931.08   0.0322   0.0577  -0.0378   0.0374
3932.00   0.0311   0.0616  -0.0421   0.0707
3932.92   0.0287   0.0622  -0.0506   0.1125
3933.84   0.0252   0.0603  -0.0474   0.1618
3934.75   0.0235   0.0587  -0.0409   0.1887
3935.67   0.0256   0.0592  -0.0358   0.1452
3936.59   0.0292   0.0591  -0.0385   0.0693
3937.51   0.0314   0.0538  -0.0454   0.0192
3938.43   0.0321   0.0500  -0.0395  -0.0040
3939.35   0.0324   0.0491  -0.0342  -0.0219
3940.27   0.0326   0.0493  -0.0455  -0.0314
3941.19   0.0327   0.0480  -0.0435  -0.0205
3942.11   0.0326   0.0452  -0.0346  -0.0177
3943.03   0.0324   0.0462  -0.0435  -0.0174
3943.95   0.0320   0.0460  -0.0510   0.0039
3944.87   0.0317   0.0463  -0.0497   0.0105
3945.79   0.0315   0.0484  -0.0523   0.0137
3946.71   0.0315   0.0452  -0.0541   0.0019
3947.64   0.0314   0.0417  -0.0483  -0.0125
3948.56   0.0310   0.0464  -0.0497   0.0040
3949.48   0.0306   0.0479  -0.0547   0.0178
3950.40   0.0302   0.0427  -0.0569   0.0274
3951.32   0.0299   0.0425  -0.0564   0.0319
3952.25   0.0294   0.0427  -0.0619   0.0161
3953.17   0.0291   0.0388  -0.0661   0.0165
3954.09   0.0286   0.0369  -0.0631   0.0131
3955.02   0.0280   0.0363  -0.0576   0.0173
3955.94   0.0276   0.0360  -0.0598   0.0097
3956.86   0.0269   0.0364  -0.0621   0.0135
3957.79   0.0261   0.0334  -0.0666   0.0327
3958.71   0.0256   0.0314  -0.0674   0.0263
3959.64   0.0249   0.0293  -0.0654   0.0259
3960.56   0.0240   0.0262  -0.0640   0.0192
3961.48   0.0231   0.0264  -0.0655   0.0263
3962.41   0.0220   0.0236  -0.0666   0.0321
3963.33   0.0209   0.0227  -0.0596   0.0303
3964.26   0.0199   0.0203  -0.0573   0.0238
3965.19   0.0186   0.0147  -0.0586   0.0123
3966.11   0.0172   0.0172  -0.0457   0.0153
3967.04   0.0155   0.0181  -0.0320   0.0152
3967.96   0.0133   0.0170  -0.0276   0.0082
3968.89   0.0108   0.0157  -0.0156   0.0099
3969.82   0.0088   0.0114  -0.0042  -0.0033
3970.74   0.0079   0.0054   0.0003  -0.0240
3971.67   0.0087   0.0022  -0.0015  -0.0420
3972.60   0.0104   0.0020  -0.0167  -0.0386
3973.53   0.0125   0.0067  -0.0307  -0.0224
3974.45   0.0144   0.0095  -0.0373  -0.0109
3975.38   0.0161   0.0100  -0.0434  -0.0095
3976.31   0.0175   0.0106  -0.0462  -0.0115
3977.24   0.0189   0.0134  -0.0535   0.0021
3978.17   0.0200   0.0161  -0.0522  -0.0031
3979.10   0.0211   0.0194  -0.0504   0.0059
3980.03   0.0222   0.0214  -0.0603   0.0195
3980.95   0.0231   0.0219  -0.0594   0.0193
3981.88   0.0239   0.0239  -0.0556   0.0185
3982.81   0.0247   0.0265  -0.0616   0.0221
3983.74   0.0254   0.0282  -0.0562   0.0238
3984.67   0.0260   0.0294  -0.0583   0.0224
3985.60   0.0267   0.0302  -0.0543   0.0243
3986.54   0.0274   0.0306  -0.0566   0.0243
3987.47   0.0278   0.0352  -0.0573   0.0023
3988.40   0.0283   0.0358  -0.0524   0.0111
3989.33   0.0288   0.0334  -0.0502   0.0076
3990.26   0.0292   0.0347  -0.0438  -0.0051
3991.19   0.0295   0.0369  -0.0459  -0.0085
3992.12   0.0299   0.0357  -0.0502  -0.0086
3993.06   0.0302   0.0357  -0.0432  -0.0127
3993.99   0.0305   0.0372  -0.0364  -0.0084
3994.92   0.0306   0.0393  -0.0411   0.0007
3995.85   0.0309   0.0391  -0.0358  -0.0041
3996.79   0.0311   0.0408  -0.0316  -0.0083
3997.72   0.0310   0.0414  -0.0359  -0.0095
3998.65   0.0312   0.0412  -0.0354  -0.0036
3999.59   0.0314   0.0403  -0.0367  -0.0096
4000.52   0.0316   0.0406  -0.0313  -0.0265
4001.45   0.0319   0.0375  -0.0283  -0.0330
4002.39   0.0319   0.0371  -0.0280  -0.0348
4003.32   0.0320   0.0383  -0.0272  -0.0304
4004.26   0.0320   0.0389  -0.0218  -0.0222
4005.19   0.0319   0.0419  -0.0224  -0.0225
4006.13   0.0319   0.0412  -0.0258  -0.0195
4007.06   0.0320   0.0392  -0.0218  -0.0115
4008.00   0.0324   0.0408  -0.0159  -0.0343
4008.94   0.0325   0.0405  -0.0133  -0.0498
4009.87   0.0326   0.0386  -0.0134  -0.0475
4010.81   0.0327   0.0379  -0.0100  -0.0506
4011.74   0.0326   0.0377  -0.0161  -0.0509
4012.68   0.0326   0.0378  -0.0148  -0.0500
4013.62   0.0325   0.0380  -0.0108  -0.0471
4014.56   0.0326   0.0397  -0.0112  -0.0487
4015.49   0.0327   0.0383  -0.0111  -0.0445
