#lambda    flux1    flux2    flux3    flux4
3900.00   0.0144  -0.0373   0.0465  -0.0001
3900.91   0.0146  -0.0375   0.0478  -0.0018
3901.82   0.0149  -0.0382   0.0458  -0.0108
3902.73   0.0147  -0.0385   0.0488  -0.0100
3903.64   0.0142  -0.0379   0.0579   0.0093
3904.56   0.0139  -0.0380   0.0633   0.0175
3905.47   0.0134  -0.0367   0.0652   0.0177
3906.38   0.0127  -0.0355   0.0658   0.0262
3907.29   0.0131  -0.0362   0.0621   0.0197
3908.20   0.0148  -0.0380   0.0545  -0.0022
3909.12   0.0160  -0.0395   0.0459  -0.0218
3910.03   0.0161  -0.0381   0.0440  -0.0184
3910.94   0.0160  -0.0380   0.0465  -0.0118
3911.85   0.0163  -0.0391   0.0427  -0.0195
3912.77   0.0168  -0.0389   0.0370  -0.0302
3913.68   0.0166  -0.0392   0.0370  -0.0289
3914.60   0.0161  -0.0376   0.0380  -0.0233
3915.51   0.0158  -0.0372   0.0404  -0.0157
3916.42   0.0158  -0.0384   0.0439  -0.0119
3917.34   0.0157  -0.0377   0.0432  -0.0110
3918.25   0.0155  -0.0380   0.0434  -0.0081
3919.17   0.0152  -0.0377   0.0474  -0.0077
3920.08   0.0145  -0.0379   0.0543   0.0027
3921.00   0.0137  -0.0378   0.0631   0.0225
3921.91   0.0133  -0.0388   0.0689   0.0362
3922.83   0.0134  -0.0390   0.0680   0.0297
3923.75   0.0139  -0.0387   0.0643   0.0225
3924.66   0.0142  -0.0393   0.0600   0.0182
3925.58   0.0141  -0.0389   0.0635   0.0232
3926.49   0.0135  -0.0380   0.0694   0.0368
3927.41   0.0123  -0.0360   0.0740   0.0451
3928.33   0.0109  -0.0327   0.0795   0.0568
3929.25   0.0093  -0.0303   0.0816   0.0675
3930.16   0.0081  -0.0275   0.0790   0.0717
3931.08   0.0069  -0.0234   0.0692   0.0676
3932.00   0.0056  -0.0181   0.0508   0.0504
3932.92   0.0043  -0.0131   0.0308   0.0261
3933.84   0.0033  -0.0088   0.0164   0.0087
3934.75   0.0031  -0.0070   0.0151   0.0073
3935.67   0.0037  -0.0096   0.0252   0.0162
3936.59   0.0051  -0.0154   0.0444   0.0404
3937.51   0.0066  -0.0210   0.0644   0.0613
3938.43   0.0082  -0.0266   0.0789   0.0718
3939.35   0.0098  -0.0312   0.0856   0.0758
3940.27   0.0112  -0.0344   0.0826   0.0611
3941.19   0.0121  -0.0355   0.0791   0.0515
3942.11   0.0126  -0.0361   0.0777   0.0479
3943.03   0.0127  -0.0369   0.0769   0.0481
3943.95   0.0124  -0.0369   0.0819   0.0532
3944.87   0.0122  -0.0371   0.0853   0.0604
3945.79   0.0131  -0.0377   0.0771   0.0505
3946.71   0.0145  -0.0383   0.0627   0.0248
3947.64   0.0151  -0.0379   0.0538   0.0136
3948.56   0.0148  -0.0373   0.0555   0.0135
3949.48   0.0147  -0.0367   0.0540   0.0107
3950.40   0.0153  -0.0366   0.0466   0.0027
3951.32   0.0159  -0.0368   0.0396  -0.0130
3952.25   0.0158  -0.0358   0.0405  -0.0128
3953.17   0.0152  -0.0357   0.0463   0.0001
3954.09   0.0152  -0.0376   0.0476   0.0016
3955.02   0.0158  -0.0378   0.0437  -0.0059
3955.94   0.0160  -0.0371   0.0414  -0.0118
3956.86   0.0152  -0.0353   0.0454   0.0018
3957.79   0.0147  -0.0347   0.0493   0.0107
3958.71   0.0151  -0.0362   0.0476   0.0037
3959.64   0.0157  -0.0379   0.0448  -0.0008
3960.56   0.0153  -0.0388   0.0512   0.0049
3961.48   0.0137  -0.0379   0.0692   0.0360
3962.41   0.0118  -0.0358   0.0861   0.0686
3963.33   0.0110  -0.0341   0.0895   0.0745
3964.26   0.0110  -0.0328   0.0817   0.0649
3965.19   0.0105  -0.0308   0.0769   0.0619
3966.11   0.0090  -0.0263   0.0708   0.0592
3967.04   0.0070  -0.0200   0.0559   0.0500
3967.96   0.0051  -0.0139   0.0357   0.0328
3968.89   0.0038  -0.0094   0.0198   0.0161
3969.82   0.0036  -0.0086   0.0160   0.0127
3970.74   0.0046  -0.0111   0.0263   0.0204
3971.67   0.0064  -0.0167   0.0443   0.0345
3972.60   0.0082  -0.0233   0.0585   0.0473
3973.53   0.0098  -0.0269   0.0686   0.0530
3974.45   0.0111  -0.0295   0.0706   0.0524
3975.38   0.0124  -0.0317   0.0683   0.0419
3976.31   0.0135  -0.0327   0.0615   0.0294
3977.24   0.0143  -0.0338   0.0557   0.0202
3978.17   0.0149  -0.0344   0.0487   0.0097
3979.10   0.0157  -0.0347   0.0430   0.0003
3980.03   0.0165  -0.0354   0.0350  -0.0149
3980.95   0.0170  -0.0369   0.0271  -0.0228
3981.88   0.0170  -0.0362   0.0268  -0.0254
3982.81   0.0165  -0.0347   0.0302  -0.0251
3983.74   0.0162  -0.0350   0.0350  -0.0162
3984.67   0.0164  -0.0356   0.0348  -0.0132
3985.60   0.0167  -0.0357   0.0337  -0.0160
3986.54   0.0167  -0.0354   0.0357  -0.0159
3987.47   0.0166  -0.0350   0.0327  -0.0139
3988.40   0.0170  -0.0351   0.0281  -0.0185
3989.33   0.0176  -0.0348   0.0228  -0.0361
3990.26   0.0176  -0.0346   0.0231  -0.0388
3991.19   0.0175  -0.0356   0.0254  -0.0284
3992.12   0.0179  -0.0362   0.0226  -0.0331
3993.06   0.0183  -0.0367   0.0187  -0.0455
3993.99   0.0184  -0.0363   0.0160  -0.0457
3994.92   0.0179  -0.0353   0.0195  -0.0394
3995.85   0.0174  -0.0349   0.0239  -0.0304
3996.79   0.0172  -0.0350   0.0249  -0.0278
3997.72   0.0168  -0.0347   0.0289  -0.0213
3998.65   0.0165  -0.0343   0.0297  -0.0168
3999.59   0.0170  -0.0350   0.0211  -0.0274
4000.52   0.0178  -0.0361   0.0144  -0.0414
4001.45   0.0181  -0.0350   0.0150  -0.0433
4002.39   0.0182  -0.0352   0.0141  -0.0436
4003.32   0.0186  -0.0352   0.0101  -0.0506
4004.26   0.0185  -0.0349   0.0099  -0.0503
4005.19   0.0173  -0.0357   0.0230  -0.0298
4006.13   0.0159  -0.0350   0.0390  -0.0049
4007.06   0.0159  -0.0347   0.0420   0.0000
4008.00   0.0170  -0.0355   0.0305  -0.0162
4008.94   0.0180  -0.0360   0.0184  -0.0378
4009.87   0.0183  -0.0349   0.0135  -0.0447
4010.81   0.0184  -0.0359   0.0134  -0.0433
4011.74   0.0185  -0.0362   0.0123  -0.0448
4012.68   0.0186  -0.0350   0.0096  -0.0503
4013.62   0.0185  -0.0347   0.0086  -0.0478
4014.56   0.0183  -0.0347   0.0119  -0.0434
4015.49   0.0183  -0.0355   0.0122  -0.0405
4016.43   0.0184  -0.0350   0.0113  -0.0390
4017.37   0.0182  -0.0348   0.0172  -0.0356
4018.31   0.0179  -0.0349   0.0240  -0.0282
4019.24   0.0181  -0.0350   0.0211  -0.0331
4020.18   0.0186  -0.0359   0.0134  -0.0469
4021.12   0.0187  -0.0356   0.0108  -0.0474
4022.06   0.0185  -0.0343   0.0111  -0.0426
4023.00   0.0186  -0.0349   0.0099  -0.0426
4023.94   0.0186  -0.0346   0.0103  -0.0470
4024.88   0.0183  -0.0343   0.0131  -0.0426
4025.82   0.0181  -0.0342   0.0163  -0.0363
4026.76   0.0185  -0.0347   0.0131  -0.0435
4027.70   0.0190  -0.0353   0.0061  -0.0528
4028.64   0.0192  -0.0347   0.0024  -0.0561
4029.58   0.0189  -0.0339   0.0020  -0.0556
4030.52   0.0179  -0.0332   0.0100  -0.0397
4031.46   0.0169  -0.0340   0.0217  -0.0202
4032.40   0.0165  -0.0346   0.0302  -0.0130
4033.34   0.0166  -0.0344   0.0306  -0.0115
4034.29   0.0167  -0.0352   0.0281  -0.0123
4035.23   0.0169  -0.0353   0.0256  -0.0155
4036.17   0.0175  -0.0356   0.0230  -0.0215
4037.11   0.0184  -0.0357   0.0155  -0.0365
4038.06   0.0193  -0.0344   0.0047  -0.0505
4039.00   0.0196  -0.0339  -0.0014  -0.0616
4039.94   0.0194  -0.0337   0.0010  -0.0592
4040.88   0.0187  -0.0341   0.0083  -0.0438
4041.83   0.0184  -0.0340   0.0124  -0.0339
4042.77   0.0187  -0.0342   0.0085  -0.0419
4043.72   0.0188  -0.0347   0.0065  -0.0454
4044.66   0.0177  -0.0349   0.0192  -0.0270
4045.60   0.0155  -0.0350   0.0414   0.0118
4046.55   0.0142  -0.0345   0.0545   0.0410
4047.49   0.0152  -0.0356   0.0454   0.0220
4048.44   0.0174  -0.0365   0.0244  -0.0185
4049.38   0.0186  -0.0356   0.0136  -0.0381
4050.33   0.0189  -0.0339   0.0091  -0.0443
4051.28   0.0191  -0.0335   0.0059  -0.0493
4052.22   0.0191  -0.0341   0.0076  -0.0465
4053.17   0.0187  -0.0347   0.0123  -0.0331
4054.11   0.0183  -0.0339   0.0187  -0.0277
4055.06   0.0180  -0.0331   0.0229  -0.0272
4056.01   0.0179  -0.0340   0.0220  -0.0222
4056.95   0.0179  -0.0341   0.0239  -0.0174
4057.90   0.0176  -0.0335   0.0279  -0.0142
4058.85   0.0173  -0.0337   0.0325  -0.0076
4059.80   0.0176  -0.0344   0.0295  -0.0128
4060.74   0.0185  -0.0350   0.0178  -0.0312
4061.69   0.0190  -0.0349   0.0089  -0.0424
4062.64   0.0183  -0.0351   0.0143  -0.0334
4063.59   0.0165  -0.0347   0.0318  -0.0043
4064.54   0.0154  -0.0344   0.0427   0.0203
4065.49   0.0161  -0.0358   0.0400   0.0107
4066.44   0.0172  -0.0358   0.0297  -0.0121
4067.39   0.0174  -0.0336   0.0238  -0.0186
4068.34   0.0175  -0.0325   0.0229  -0.0196
4069.29   0.0184  -0.0338   0.0128  -0.0325
4070.24   0.0190  -0.0341   0.0038  -0.0451
4071.19   0.0182  -0.0338   0.0127  -0.0304
4072.14   0.0167  -0.0347   0.0295  -0.0031
4073.09   0.0165  -0.0346   0.0332   0.0054
4074.04   0.0176  -0.0341   0.0206  -0.0202
4074.99   0.0184  -0.0342   0.0098  -0.0356
4075.94   0.0182  -0.0336   0.0133  -0.0309
4076.89   0.0174  -0.0328   0.0244  -0.0162
4077.85   0.0164  -0.0317   0.0316  -0.0027
4078.80   0.0161  -0.0309   0.0351   0.0017
4079.75   0.0168  -0.0309   0.0299  -0.0046
4080.70   0.0179  -0.0321   0.0190  -0.0210
4081.66   0.0188  -0.0321   0.0073  -0.0360
4082.61   0.0191  -0.0321   0.0018  -0.0471
4083.56   0.0187  -0.0315   0.0095  -0.0389
4084.52   0.0178  -0.0313   0.0179  -0.0223
4085.47   0.0174  -0.0317   0.0212  -0.0150
4086.42   0.0177  -0.0307   0.0170  -0.0214
4087.38   0.0185  -0.0309   0.0082  -0.0377
4088.33   0.0193  -0.0311  -0.0004  -0.0504
4089.29   0.0197  -0.0300  -0.0070  -0.0557
4090.24   0.0196  -0.0302  -0.0063  -0.0571
4091.20   0.0194  -0.0308  -0.0033  -0.0554
4092.15   0.0190  -0.0304   0.0019  -0.0459
4093.11   0.0186  -0.0305   0.0057  -0.0385
4094.06   0.0187  -0.0298   0.0032  -0.0403
4095.02   0.0187  -0.0287   0.0019  -0.0465
4095.97   0.0183  -0.0292   0.0068  -0.0375
4096.93   0.0177  -0.0304   0.0138  -0.0212
4097.89   0.0173  -0.0294   0.0132  -0.0222
4098.84   0.0171  -0.0274   0.0111  -0.0239
4099.80   0.0167  -0.0257   0.0085  -0.0281
4100.76   0.0154  -0.0232   0.0062  -0.0319
4101.72   0.0133  -0.0180   0.0060  -0.0259
4102.67   0.0121  -0.0152   0.0067  -0.0171
4103.63   0.0130  -0.0168   0.0091  -0.0196
4104.59   0.0150  -0.0217   0.0115  -0.0276
4105.55   0.0166  -0.0259   0.0102  -0.0287
4106.51   0.0174  -0.0277   0.0080  -0.0321
4107.47   0.0179  -0.0280   0.0039  -0.0373
4108.43   0.0180  -0.0283   0.0028  -0.0385
4109.38   0.0180  -0.0287   0.0051  -0.0342
4110.34   0.0180  -0.0293   0.0079  -0.0316
4111.30   0.0180  -0.0295   0.0096  -0.0283
4112.26   0.0183  -0.0300   0.0101  -0.0257
4113.22   0.0186  -0.0307   0.0080  -0.0325
4114.18   0.0188  -0.0302   0.0035  -0.0388
4115.15   0.0190  -0.0308  -0.0021  -0.0422
4116.11   0.0192  -0.0308  -0.0039  -0.0447
4117.07   0.0195  -0.0305  -0.0043  -0.0508
4118.03   0.0194  -0.0309  -0.0050  -0.0501
4118.99   0.0186  -0.0306   0.0018  -0.0372
4119.95   0.0181  -0.0302   0.0091  -0.0258
4120.91   0.0183  -0.0301   0.0074  -0.0294
4121.88   0.0186  -0.0296   0.0036  -0.0348
4122.84   0.0185  -0.0298   0.0038  -0.0337
4123.80   0.0185  -0.0303   0.0061  -0.0312
4124.76   0.0189  -0.0306   0.0049  -0.0353
4125.73   0.0191  -0.0308   0.0030  -0.0390
4126.69   0.0190  -0.0308   0.0043  -0.0342
4127.65   0.0185  -0.0303   0.0108  -0.0296
4128.62   0.0183  -0.0301   0.0118  -0.0247
4129.58   0.0184  -0.0308   0.0097  -0.0236
4130.55   0.0187  -0.0307   0.0064  -0.0301
4131.51   0.0185  -0.0309   0.0063  -0.0267
4132.48   0.0176  -0.0321   0.0142  -0.0147
4133.44   0.0170  -0.0317   0.0222  -0.0045
4134.41   0.0169  -0.0315   0.0247  -0.0019
4135.37   0.0175  -0.0315   0.0187  -0.0123
4136.34   0.0183  -0.0310   0.0079  -0.0259
