#lambda    flux1    flux2    flux3    flux4
3900.00   0.0053  -0.0214  -0.0488  -0.0172
3900.91   0.0054  -0.0208  -0.0496  -0.0200
3901.82   0.0060  -0.0216  -0.0428  -0.0113
3902.73   0.0062  -0.0225  -0.0431  -0.0048
3903.64   0.0058  -0.0214  -0.0469  -0.0061
3904.56   0.0057  -0.0210  -0.0519  -0.0111
3905.47   0.0053  -0.0190  -0.0469  -0.0131
3906.38   0.0051  -0.0172  -0.0425  -0.0053
3907.29   0.0053  -0.0190  -0.0416  -0.0038
3908.20   0.0064  -0.0231  -0.0390   0.0053
3909.12   0.0074  -0.0247  -0.0370   0.0178
3910.03   0.0077  -0.0242  -0.0361   0.0169
3910.94   0.0077  -0.0257  -0.0341   0.0134
3911.85   0.0079  -0.0264  -0.0387   0.0123
3912.77   0.0083  -0.0289  -0.0404   0.0132
3913.68   0.0084  -0.0286  -0.0369   0.0167
3914.60   0.0082  -0.0285  -0.0327   0.0177
3915.51   0.0080  -0.0258  -0.0317   0.0213
3916.42   0.0079  -0.0256  -0.0342   0.0188
3917.34   0.0075  -0.0256  -0.0381   0.0119
3918.25   0.0071  -0.0243  -0.0397   0.0029
3919.17   0.0067  -0.0238  -0.0390   0.0018
3920.08   0.0058  -0.0228  -0.0408   0.0013
3921.00   0.0050  -0.0202  -0.0443  -0.0052
3921.91   0.0047  -0.0181  -0.0445  -0.0065
3922.83   0.0047  -0.0168  -0.0485  -0.0062
3923.75   0.0049  -0.0186  -0.0465  -0.0113
3924.66   0.0052  -0.0212  -0.0437  -0.0082
3925.58   0.0055  -0.0222  -0.0397  -0.0077
3926.49   0.0054  -0.0216  -0.0378  -0.0073
3927.41   0.0049  -0.0187  -0.0367  -0.0018
3928.33   0.0041  -0.0147  -0.0299  -0.0034
3929.25   0.0034  -0.0125  -0.0264  -0.0029
3930.16   0.0030  -0.0112  -0.0275   0.0003
3931.08   0.0027  -0.0093  -0.0222   0.0025
3932.00   0.0024  -0.0064  -0.0164   0.0049
3932.92   0.0022  -0.0051  -0.0154   0.0103
3933.84   0.0020  -0.0024  -0.0195   0.0100
3934.75   0.0019  -0.0015  -0.0209   0.0072
3935.67   0.0021  -0.0032  -0.0180   0.0092
3936.59   0.0025  -0.0058  -0.0176   0.0073
3937.51   0.0029  -0.0074  -0.0220   0.0057
3938.43   0.0034  -0.0104  -0.0220   0.0019
3939.35   0.0041  -0.0149  -0.0243   0.0009
3940.27   0.0046  -0.0164  -0.0288   0.0033
3941.19   0.0049  -0.0166  -0.0321  -0.0035
3942.11   0.0049  -0.0188  -0.0360  -0.0031
3943.03   0.0048  -0.0191  -0.0382  -0.0041
3943.95   0.0043  -0.0168  -0.0411  -0.0154
3944.87   0.0040  -0.0160  -0.0477  -0.0250
3945.79   0.0046  -0.0177  -0.0501  -0.0260
3946.71   0.0058  -0.0217  -0.0472  -0.0132
3947.64   0.0065  -0.0233  -0.0410  -0.0040
3948.56   0.0063  -0.0221  -0.0380  -0.0039
3949.48   0.0064  -0.0230  -0.0404  -0.0047
3950.40   0.0070  -0.0243  -0.0397  -0.0046
3951.32   0.0077  -0.0255  -0.0355   0.0016
3952.25   0.0078  -0.0266  -0.0318   0.0105
3953.17   0.0075  -0.0250  -0.0343   0.0120
3954.09   0.0075  -0.0244  -0.0359   0.0105
3955.02   0.0080  -0.0260  -0.0360   0.0072
3955.94   0.0080  -0.0247  -0.0353   0.0050
3956.86   0.0072  -0.0236  -0.0345  -0.0013
3957.79   0.0065  -0.0233  -0.0369  -0.0126
3958.71   0.0065  -0.0229  -0.0413  -0.0147
3959.64   0.0065  -0.0248  -0.0448  -0.0167
3960.56   0.0060  -0.0239  -0.0476  -0.0267
3961.48   0.0048  -0.0190  -0.0507  -0.0349
3962.41   0.0038  -0.0152  -0.0474  -0.0351
3963.33   0.0035  -0.0132  -0.0383  -0.0274
3964.26   0.0040  -0.0138  -0.0332  -0.0121
3965.19   0.0041  -0.0141  -0.0310  -0.0035
3966.11   0.0038  -0.0128  -0.0222   0.0014
3967.04   0.0031  -0.0101  -0.0180   0.0081
3967.96   0.0026  -0.0063  -0.0183   0.0089
3968.89   0.0022  -0.0041  -0.0186   0.0065
3969.82   0.0021  -0.0024  -0.0200   0.0062
3970.74   0.0025  -0.0039  -0.0211   0.0064
3971.67   0.0030  -0.0073  -0.0204   0.0076
3972.60   0.0037  -0.0102  -0.0228   0.0059
3973.53   0.0044  -0.0130  -0.0258   0.0001
3974.45   0.0049  -0.0159  -0.0283   0.0009
3975.38   0.0057  -0.0171  -0.0291   0.0027
3976.31   0.0064  -0.0194  -0.0288   0.0010
3977.24   0.0069  -0.0218  -0.0314   0.0040
3978.17   0.0073  -0.0218  -0.0318   0.0021
3979.10   0.0079  -0.0235  -0.0308   0.0006
3980.03   0.0086  -0.0277  -0.0316   0.0033
3980.95   0.0090  -0.0288  -0.0288   0.0017
3981.88   0.0091  -0.0280  -0.0283   0.0095
3982.81   0.0088  -0.0275  -0.0283   0.0109
3983.74   0.0085  -0.0271  -0.0266   0.0086
3984.67   0.0087  -0.0258  -0.0293   0.0135
3985.60   0.0090  -0.0263  -0.0331   0.0127
3986.54   0.0091  -0.0273  -0.0339   0.0089
3987.47   0.0093  -0.0257  -0.0310   0.0123
3988.40   0.0097  -0.0283  -0.0250   0.0162
3989.33   0.0101  -0.0308  -0.0247   0.0177
3990.26   0.0098  -0.0294  -0.0284   0.0158
3991.19   0.0094  -0.0284  -0.0311   0.0083
3992.12   0.0098  -0.0294  -0.0301   0.0165
3993.06   0.0105  -0.0314  -0.0278   0.0210
3993.99   0.0107  -0.0318  -0.0270   0.0276
3994.92   0.0105  -0.0302  -0.0266   0.0255
3995.85   0.0100  -0.0287  -0.0243   0.0224
3996.79   0.0097  -0.0285  -0.0258   0.0215
3997.72   0.0093  -0.0278  -0.0318   0.0182
3998.65   0.0088  -0.0263  -0.0340   0.0100
3999.59   0.0092  -0.0284  -0.0293   0.0056
4000.52   0.0103  -0.0313  -0.0242   0.0208
4001.45   0.0107  -0.0308  -0.0213   0.0243
4002.39   0.0109  -0.0302  -0.0227   0.0286
4003.32   0.0113  -0.0300  -0.0230   0.0294
4004.26   0.0112  -0.0316  -0.0208   0.0217
4005.19   0.0100  -0.0294  -0.0278   0.0143
4006.13   0.0084  -0.0255  -0.0378   0.0052
4007.06   0.0082  -0.0248  -0.0355   0.0063
4008.00   0.0094  -0.0268  -0.0322   0.0171
4008.94   0.0105  -0.0308  -0.0284   0.0234
4009.87   0.0109  -0.0323  -0.0243   0.0217
4010.81   0.0110  -0.0309  -0.0252   0.0193
4011.74   0.0112  -0.0317  -0.0239   0.0215
4012.68   0.0115  -0.0322  -0.0196   0.0288
4013.62   0.0115  -0.0319  -0.0204   0.0308
4014.56   0.0113  -0.0308  -0.0191   0.0224
4015.49   0.0112  -0.0296  -0.0199   0.0232
4016.43   0.0113  -0.0315  -0.0231   0.0276
4017.37   0.0111  -0.0310  -0.0218   0.0241
4018.31   0.0107  -0.0283  -0.0248   0.0230
4019.24   0.0109  -0.0292  -0.0209   0.0236
4020.18   0.0115  -0.0311  -0.0151   0.0279
4021.12   0.0116  -0.0310  -0.0167   0.0255
4022.06   0.0113  -0.0308  -0.0190   0.0219
4023.00   0.0114  -0.0319  -0.0206   0.0243
4023.94   0.0114  -0.0330  -0.0201   0.0287
4024.88   0.0111  -0.0327  -0.0224   0.0274
4025.82   0.0109  -0.0330  -0.0248   0.0205
4026.76   0.0111  -0.0312  -0.0276   0.0204
4027.70   0.0116  -0.0322  -0.0263   0.0265
4028.64   0.0122  -0.0320  -0.0210   0.0303
4029.58   0.0120  -0.0315  -0.0191   0.0283
4030.52   0.0105  -0.0306  -0.0253   0.0132
4031.46   0.0088  -0.0276  -0.0394   0.0006
4032.40   0.0078  -0.0256  -0.0478  -0.0090
4033.34   0.0076  -0.0249  -0.0501  -0.0107
4034.29   0.0075  -0.0240  -0.0550  -0.0121
4035.23   0.0079  -0.0257  -0.0537  -0.0091
4036.17   0.0091  -0.0279  -0.0447   0.0052
4037.11   0.0107  -0.0302  -0.0315   0.0206
4038.06   0.0122  -0.0314  -0.0220   0.0340
4039.00   0.0128  -0.0327  -0.0171   0.0337
4039.94   0.0126  -0.0335  -0.0193   0.0315
4040.88   0.0118  -0.0311  -0.0234   0.0291
4041.83   0.0113  -0.0287  -0.0254   0.0244
4042.77   0.0114  -0.0297  -0.0277   0.0196
4043.72   0.0112  -0.0308  -0.0306   0.0225
4044.66   0.0096  -0.0279  -0.0392   0.0104
4045.60   0.0071  -0.0229  -0.0470  -0.0114
4046.55   0.0055  -0.0185  -0.0518  -0.0247
4047.49   0.0061  -0.0200  -0.0545  -0.0241
4048.44   0.0082  -0.0248  -0.0500  -0.0087
4049.38   0.0101  -0.0285  -0.0427   0.0125
4050.33   0.0113  -0.0300  -0.0308   0.0241
4051.28   0.0120  -0.0306  -0.0208   0.0328
4052.22   0.0122  -0.0305  -0.0195   0.0351
4053.17   0.0118  -0.0303  -0.0228   0.0321
4054.11   0.0114  -0.0298  -0.0250   0.0287
4055.06   0.0111  -0.0278  -0.0256   0.0287
4056.01   0.0109  -0.0279  -0.0277   0.0287
4056.95   0.0107  -0.0273  -0.0290   0.0255
4057.90   0.0103  -0.0276  -0.0316   0.0219
4058.85   0.0098  -0.0265  -0.0376   0.0176
4059.80   0.0100  -0.0252  -0.0386   0.0184
4060.74   0.0109  -0.0278  -0.0317   0.0177
4061.69   0.0113  -0.0295  -0.0318   0.0195
4062.64   0.0103  -0.0281  -0.0373   0.0163
4063.59   0.0081  -0.0232  -0.0459  -0.0061
4064.54   0.0067  -0.0206  -0.0531  -0.0206
4065.49   0.0073  -0.0226  -0.0496  -0.0107
4066.44   0.0089  -0.0250  -0.0421   0.0040
4067.39   0.0097  -0.0260  -0.0356   0.0145
4068.34   0.0101  -0.0253  -0.0336   0.0183
4069.29   0.0110  -0.0292  -0.0315   0.0167
4070.24   0.0115  -0.0319  -0.0274   0.0208
4071.19   0.0104  -0.0279  -0.0319   0.0060
4072.14   0.0083  -0.0246  -0.0465  -0.0125
4073.09   0.0078  -0.0240  -0.0517  -0.0167
4074.04   0.0093  -0.0268  -0.0429  -0.0024
4074.99   0.0109  -0.0297  -0.0285   0.0163
4075.94   0.0111  -0.0306  -0.0245   0.0285
4076.89   0.0103  -0.0270  -0.0255   0.0301
4077.85   0.0094  -0.0233  -0.0259   0.0225
4078.80   0.0091  -0.0232  -0.0281   0.0158
4079.75   0.0098  -0.0254  -0.0264   0.0114
4080.70   0.0111  -0.0282  -0.0211   0.0193
4081.66   0.0122  -0.0314  -0.0142   0.0254
4082.61   0.0127  -0.0320  -0.0094   0.0319
4083.56   0.0122  -0.0294  -0.0118   0.0326
4084.52   0.0114  -0.0277  -0.0170   0.0269
4085.47   0.0109  -0.0265  -0.0195   0.0270
4086.42   0.0113  -0.0274  -0.0183   0.0314
4087.38   0.0123  -0.0297  -0.0150   0.0385
4088.33   0.0135  -0.0324  -0.0102   0.0427
4089.29   0.0141  -0.0336  -0.0035   0.0420
4090.24   0.0141  -0.0324  -0.0016   0.0429
4091.20   0.0135  -0.0310  -0.0046   0.0350
