#lambda    flux1    flux2    flux3    flux4
3900.00   0.0062  -0.0216  -0.0022   0.0498
3900.91   0.0062  -0.0234  -0.0033   0.0524
3901.82   0.0067  -0.0253  -0.0019   0.0468
3902.73   0.0069  -0.0250  -0.0011   0.0444
3903.64   0.0065  -0.0230  -0.0014   0.0473
3904.56   0.0062  -0.0212  -0.0016   0.0483
3905.47   0.0060  -0.0195  -0.0020   0.0465
3906.38   0.0056  -0.0180  -0.0023   0.0443
3907.29   0.0058  -0.0206  -0.0025   0.0460
3908.20   0.0070  -0.0233  -0.0018   0.0399
3909.12   0.0082  -0.0257  -0.0007   0.0365
3910.03   0.0086  -0.0268   0.0004   0.0332
3910.94   0.0085  -0.0254   0.0006   0.0341
3911.85   0.0086  -0.0275   0.0004   0.0348
3912.77   0.0090  -0.0296   0.0006   0.0356
3913.68   0.0092  -0.0287   0.0009   0.0316
3914.60   0.0090  -0.0271   0.0004   0.0286
3915.51   0.0087  -0.0273  -0.0000   0.0271
3916.42   0.0085  -0.0271   0.0002   0.0302
3917.34   0.0081  -0.0256  -0.0002   0.0326
3918.25   0.0077  -0.0259   0.0000   0.0359
3919.17   0.0074  -0.0251  -0.0011   0.0412
3920.08   0.0066  -0.0225  -0.0019   0.0438
3921.00   0.0056  -0.0202  -0.0023   0.0462
3921.91   0.0053  -0.0192  -0.0031   0.0494
3922.83   0.0053  -0.0199  -0.0022   0.0491
3923.75   0.0055  -0.0199  -0.0020   0.0484
3924.66   0.0060  -0.0212  -0.0018   0.0476
3925.58   0.0061  -0.0215  -0.0014   0.0416
3926.49   0.0059  -0.0218  -0.0010   0.0381
3927.41   0.0053  -0.0205  -0.0011   0.0347
3928.33   0.0045  -0.0159  -0.0015   0.0311
3929.25   0.0038  -0.0149  -0.0012   0.0286
3930.16   0.0033  -0.0123  -0.0009   0.0238
3931.08   0.0029  -0.0100  -0.0004   0.0175
3932.00   0.0026  -0.0083  -0.0002   0.0143
3932.92   0.0023  -0.0057  -0.0007   0.0152
3933.84   0.0020  -0.0044  -0.0011   0.0159
3934.75   0.0019  -0.0041  -0.0012   0.0145
3935.67   0.0021  -0.0041  -0.0011   0.0156
3936.59   0.0025  -0.0060  -0.0012   0.0172
3937.51   0.0031  -0.0091  -0.0011   0.0157
3938.43   0.0037  -0.0109  -0.0010   0.0178
