#lambda    flux1    flux2    flux3    flux4
3900.00   0.0092  -0.0335  -0.0546   0.0093
3900.91   0.0092  -0.0341  -0.0579   0.0186
3901.82   0.0097  -0.0335  -0.0504   0.0076
3902.73   0.0097  -0.0330  -0.0477  -0.0003
3903.64   0.0091  -0.0320  -0.0549   0.0121
3904.56   0.0089  -0.0319  -0.0600   0.0164
3905.47   0.0086  -0.0306  -0.0594   0.0175
3906.38   0.0080  -0.0287  -0.0568   0.0210
3907.29   0.0083  -0.0288  -0.0569   0.0125
3908.20   0.0096  -0.0328  -0.0483  -0.0061
3909.12   0.0108  -0.0351  -0.0401  -0.0202
3910.03   0.0112  -0.0338  -0.0372  -0.0214
3910.94   0.0111  -0.0331  -0.0390  -0.0245
3911.85   0.0113  -0.0349  -0.0377  -0.0229
3912.77   0.0119  -0.0349  -0.0342  -0.0217
3913.68   0.0120  -0.0344  -0.0335  -0.0286
3914.60   0.0115  -0.0331  -0.0254  -0.0293
3915.51   0.0113  -0.0333  -0.0264  -0.0305
3916.42   0.0111  -0.0339  -0.0332  -0.0277
3917.34   0.0109  -0.0331  -0.0355  -0.0226
3918.25   0.0107  -0.0333  -0.0400  -0.0158
3919.17   0.0103  -0.0338  -0.0429  -0.0081
3920.08   0.0094  -0.0314  -0.0484   0.0050
3921.00   0.0084  -0.0304  -0.0532   0.0147
3921.91   0.0079  -0.0301  -0.0588   0.0158
3922.83   0.0079  -0.0287  -0.0616   0.0157
3923.75   0.0084  -0.0320  -0.0590   0.0216
3924.66   0.0088  -0.0333  -0.0574   0.0179
3925.58   0.0089  -0.0313  -0.0506   0.0159
3926.49   0.0085  -0.0293  -0.0484   0.0087
3927.41   0.0075  -0.0264  -0.0474   0.0080
3928.33   0.0064  -0.0231  -0.0422   0.0142
3929.25   0.0054  -0.0203  -0.0366   0.0128
3930.16   0.0047  -0.0176  -0.0316   0.0088
3931.08   0.0041  -0.0152  -0.0251   0.0044
3932.00   0.0035  -0.0122  -0.0154  -0.0039
3932.92   0.0029  -0.0103  -0.0092  -0.0166
3933.84   0.0024  -0.0077  -0.0062  -0.0205
3934.75   0.0022  -0.0063  -0.0057  -0.0157
3935.67   0.0025  -0.0082  -0.0089  -0.0120
3936.59   0.0032  -0.0112  -0.0130  -0.0096
3937.51   0.0041  -0.0141  -0.0210  -0.0064
3938.43   0.0050  -0.0173  -0.0320  -0.0019
3939.35   0.0060  -0.0210  -0.0367   0.0015
3940.27   0.0069  -0.0244  -0.0405   0.0047
3941.19   0.0075  -0.0263  -0.0457   0.0105
3942.11   0.0077  -0.0281  -0.0494   0.0108
3943.03   0.0077  -0.0295  -0.0533   0.0138
3943.95   0.0073  -0.0289  -0.0593   0.0233
3944.87   0.0070  -0.0277  -0.0634   0.0357
3945.79   0.0078  -0.0288  -0.0623   0.0360
3946.71   0.0093  -0.0328  -0.0567   0.0148
3947.64   0.0100  -0.0337  -0.0490   0.0021
3948.56   0.0098  -0.0312  -0.0476   0.0024
3949.48   0.0098  -0.0314  -0.0466   0.0001
3950.40   0.0105  -0.0322  -0.0401  -0.0065
3951.32   0.0112  -0.0338  -0.0345  -0.0126
3952.25   0.0112  -0.0336  -0.0321  -0.0200
3953.17   0.0106  -0.0316  -0.0342  -0.0174
3954.09   0.0106  -0.0313  -0.0370  -0.0107
3955.02   0.0113  -0.0333  -0.0369  -0.0107
3955.94   0.0115  -0.0338  -0.0371  -0.0097
3956.86   0.0106  -0.0321  -0.0394  -0.0033
3957.79   0.0100  -0.0323  -0.0457   0.0047
3958.71   0.0102  -0.0336  -0.0497   0.0118
3959.64   0.0107  -0.0351  -0.0471   0.0170
3960.56   0.0101  -0.0338  -0.0517   0.0297
3961.48   0.0085  -0.0311  -0.0621   0.0431
3962.41   0.0068  -0.0273  -0.0668   0.0472
3963.33   0.0062  -0.0245  -0.0612   0.0376
3964.26   0.0065  -0.0243  -0.0510   0.0248
3965.19   0.0064  -0.0230  -0.0403   0.0145
3966.11   0.0057  -0.0186  -0.0320   0.0036
3967.04   0.0045  -0.0146  -0.0215  -0.0024
3967.96   0.0034  -0.0109  -0.0110  -0.0076
3968.89   0.0027  -0.0068  -0.0091  -0.0119
3969.82   0.0026  -0.0070  -0.0094  -0.0140
3970.74   0.0032  -0.0096  -0.0124  -0.0079
3971.67   0.0043  -0.0138  -0.0203  -0.0011
3972.60   0.0054  -0.0172  -0.0290  -0.0001
3973.53   0.0063  -0.0203  -0.0353   0.0040
3974.45   0.0073  -0.0230  -0.0405   0.0049
3975.38   0.0083  -0.0246  -0.0438   0.0066
3976.31   0.0093  -0.0273  -0.0456   0.0088
