#lambda    flux1    flux2    flux3    flux4
3900.00   0.0097  -0.0319   0.0535   0.0099
3900.91   0.0098  -0.0308   0.0545   0.0144
3901.82   0.0103  -0.0318   0.0501   0.0006
3902.73   0.0102  -0.0313   0.0494  -0.0021
3903.64   0.0097  -0.0303   0.0585   0.0139
3904.56   0.0095  -0.0305   0.0651   0.0213
3905.47   0.0091  -0.0290   0.0648   0.0172
3906.38   0.0085  -0.0262   0.0627   0.0201
3907.29   0.0088  -0.0264   0.0571   0.0144
3908.20   0.0102  -0.0309   0.0487  -0.0083
3909.12   0.0114  -0.0337   0.0423  -0.0216
3910.03   0.0118  -0.0325   0.0383  -0.0198
3910.94   0.0116  -0.0327   0.0396  -0.0206
3911.85   0.0119  -0.0341   0.0408  -0.0216
3912.77   0.0124  -0.0345   0.0385  -0.0262
3913.68   0.0124  -0.0342   0.0341  -0.0308
3914.60   0.0120  -0.0336   0.0281  -0.0283
3915.51   0.0119  -0.0326   0.0280  -0.0251
3916.42   0.0117  -0.0327   0.0323  -0.0237
3917.34   0.0114  -0.0332   0.0353  -0.0219
3918.25   0.0112  -0.0320   0.0391  -0.0154
3919.17   0.0108  -0.0315   0.0437  -0.0079
3920.08   0.0099  -0.0303   0.0506   0.0069
3921.00   0.0089  -0.0287   0.0582   0.0160
3921.91   0.0084  -0.0283   0.0625   0.0158
3922.83   0.0085  -0.0278   0.0657   0.0179
3923.75   0.0089  -0.0294   0.0629   0.0212
3924.66   0.0093  -0.0303   0.0582   0.0231
3925.58   0.0094  -0.0294   0.0554   0.0141
3926.49   0.0090  -0.0279   0.0523   0.0118
3927.41   0.0080  -0.0259   0.0509   0.0111
3928.33   0.0068  -0.0217   0.0482   0.0154
3929.25   0.0057  -0.0188   0.0441   0.0171
3930.16   0.0050  -0.0172   0.0380   0.0109
3931.08   0.0043  -0.0145   0.0294   0.0024
3932.00   0.0037  -0.0113   0.0182  -0.0067
3932.92   0.0030  -0.0083   0.0109  -0.0132
3933.84   0.0025  -0.0064   0.0072  -0.0159
3934.75   0.0023  -0.0056   0.0066  -0.0154
3935.67   0.0026  -0.0072   0.0092  -0.0130
