#lambda    flux1    flux2    flux3    flux4
3900.00   0.0130  -0.0394   0.0475  -0.0069
3900.91   0.0132  -0.0394   0.0480  -0.0104
3901.82   0.0136  -0.0389   0.0443   0.0028
3902.73   0.0134  -0.0387   0.0470  -0.0013
3903.64   0.0129  -0.0390   0.0560  -0.0150
3904.56   0.0126  -0.0394   0.0608  -0.0194
3905.47   0.0122  -0.0385   0.0632  -0.0253
3906.38   0.0115  -0.0374   0.0654  -0.0317
3907.29   0.0118  -0.0381   0.0603  -0.0258
3908.20   0.0134  -0.0393   0.0501  -0.0060
3909.12   0.0146  -0.0394   0.0423   0.0151
3910.03   0.0148  -0.0396   0.0419   0.0180
3910.94   0.0147  -0.0396   0.0439   0.0095
3911.85   0.0150  -0.0403   0.0405   0.0135
3912.77   0.0154  -0.0404   0.0359   0.0221
3913.68   0.0154  -0.0387   0.0335   0.0262
3914.60   0.0149  -0.0384   0.0324   0.0209
3915.51   0.0147  -0.0384   0.0346   0.0166
3916.42   0.0146  -0.0395   0.0377   0.0201
3917.34   0.0144  -0.0396   0.0400   0.0148
3918.25   0.0143  -0.0385   0.0415   0.0069
3919.17   0.0139  -0.0383   0.0439   0.0049
3920.08   0.0131  -0.0394   0.0499  -0.0104
3921.00   0.0122  -0.0397   0.0615  -0.0266
3921.91   0.0118  -0.0407   0.0674  -0.0312
3922.83   0.0120  -0.0409   0.0662  -0.0328
3923.75   0.0124  -0.0416   0.0632  -0.0297
3924.66   0.0128  -0.0413   0.0603  -0.0280
3925.58   0.0127  -0.0390   0.0595  -0.0285
3926.49   0.0121  -0.0384   0.0634  -0.0350
3927.41   0.0109  -0.0369   0.0669  -0.0413
3928.33   0.0096  -0.0347   0.0677  -0.0493
3929.25   0.0082  -0.0311   0.0683  -0.0556
3930.16   0.0071  -0.0273   0.0661  -0.0553
3931.08   0.0061  -0.0234   0.0551  -0.0485
3932.00   0.0050  -0.0180   0.0394  -0.0295
3932.92   0.0039  -0.0117   0.0235  -0.0131
3933.84   0.0030  -0.0078   0.0111   0.0018
3934.75   0.0028  -0.0071   0.0091   0.0056
3935.67   0.0034  -0.0093   0.0181  -0.0080
3936.59   0.0045  -0.0150   0.0351  -0.0223
3937.51   0.0059  -0.0220   0.0511  -0.0452
3938.43   0.0073  -0.0264   0.0647  -0.0601
3939.35   0.0088  -0.0313   0.0733  -0.0581
3940.27   0.0100  -0.0352   0.0715  -0.0517
3941.19   0.0108  -0.0370   0.0699  -0.0503
3942.11   0.0113  -0.0382   0.0715  -0.0517
3943.03   0.0114  -0.0393   0.0724  -0.0521
3943.95   0.0110  -0.0393   0.0760  -0.0525
3944.87   0.0108  -0.0383   0.0783  -0.0573
3945.79   0.0117  -0.0389   0.0730  -0.0514
3946.71   0.0132  -0.0410   0.0608  -0.0245
3947.64   0.0138  -0.0408   0.0532  -0.0150
3948.56   0.0135  -0.0395   0.0553  -0.0145
3949.48   0.0135  -0.0393   0.0526  -0.0119
3950.40   0.0141  -0.0383   0.0442  -0.0014
3951.32   0.0147  -0.0371   0.0367   0.0154
3952.25   0.0146  -0.0371   0.0371   0.0185
3953.17   0.0140  -0.0368   0.0411   0.0040
3954.09   0.0140  -0.0368   0.0440  -0.0001
3955.02   0.0147  -0.0379   0.0411   0.0067
3955.94   0.0148  -0.0377   0.0387   0.0136
3956.86   0.0140  -0.0367   0.0425  -0.0005
3957.79   0.0135  -0.0375   0.0461  -0.0078
3958.71   0.0139  -0.0386   0.0440  -0.0072
3959.64   0.0145  -0.0393   0.0422  -0.0085
3960.56   0.0140  -0.0398   0.0492  -0.0168
3961.48   0.0123  -0.0396   0.0677  -0.0468
3962.41   0.0105  -0.0380   0.0830  -0.0705
3963.33   0.0098  -0.0360   0.0833  -0.0694
3964.26   0.0098  -0.0345   0.0759  -0.0574
3965.19   0.0094  -0.0320   0.0682  -0.0505
3966.11   0.0081  -0.0270   0.0593  -0.0491
3967.04   0.0063  -0.0208   0.0450  -0.0402
3967.96   0.0046  -0.0145   0.0285  -0.0211
3968.89   0.0035  -0.0092   0.0168  -0.0084
3969.82   0.0033  -0.0083   0.0140  -0.0055
3970.74   0.0042  -0.0117   0.0227  -0.0125
3971.67   0.0058  -0.0177   0.0375  -0.0251
3972.60   0.0075  -0.0240   0.0512  -0.0360
3973.53   0.0089  -0.0285   0.0604  -0.0428
3974.45   0.0101  -0.0313   0.0638  -0.0456
3975.38   0.0113  -0.0338   0.0623  -0.0363
3976.31   0.0124  -0.0354   0.0592  -0.0295
3977.24   0.0132  -0.0358   0.0547  -0.0240
3978.17   0.0138  -0.0360   0.0472  -0.0074
3979.10   0.0146  -0.0373   0.0415   0.0007
3980.03   0.0154  -0.0377   0.0333   0.0089
3980.95   0.0159  -0.0376   0.0285   0.0168
3981.88   0.0159  -0.0368   0.0266   0.0240
3982.81   0.0154  -0.0356   0.0272   0.0229
3983.74   0.0151  -0.0353   0.0301   0.0168
3984.67   0.0152  -0.0360   0.0327   0.0150
3985.60   0.0156  -0.0366   0.0329   0.0134
3986.54   0.0156  -0.0373   0.0329   0.0133
3987.47   0.0155  -0.0364   0.0319   0.0193
3988.40   0.0159  -0.0351   0.0250   0.0260
3989.33   0.0165  -0.0350   0.0198   0.0362
3990.26   0.0165  -0.0351   0.0204   0.0338
3991.19   0.0164  -0.0362   0.0227   0.0261
3992.12   0.0167  -0.0373   0.0216   0.0335
3993.06   0.0172  -0.0376   0.0184   0.0434
3993.99   0.0172  -0.0362   0.0163   0.0421
3994.92   0.0168  -0.0352   0.0161   0.0386
3995.85   0.0164  -0.0357   0.0192   0.0341
3996.79   0.0161  -0.0355   0.0210   0.0349
3997.72   0.0157  -0.0353   0.0244   0.0249
3998.65   0.0154  -0.0354   0.0270   0.0143
3999.59   0.0160  -0.0346   0.0190   0.0270
4000.52   0.0168  -0.0346   0.0120   0.0457
4001.45   0.0171  -0.0350   0.0114   0.0473
4002.39   0.0171  -0.0351   0.0126   0.0444
4003.32   0.0175  -0.0356   0.0091   0.0521
4004.26   0.0175  -0.0355   0.0066   0.0526
4005.19   0.0163  -0.0354   0.0195   0.0306
4006.13   0.0149  -0.0365   0.0373   0.0051
4007.06   0.0147  -0.0368   0.0395   0.0004
4008.00   0.0158  -0.0363   0.0268   0.0217
4008.94   0.0169  -0.0355   0.0160   0.0392
4009.87   0.0173  -0.0349   0.0122   0.0417
4010.81   0.0173  -0.0357   0.0120   0.0393
4011.74   0.0175  -0.0354   0.0119   0.0444
4012.68   0.0176  -0.0338   0.0076   0.0508
4013.62   0.0175  -0.0336   0.0038   0.0465
4014.56   0.0173  -0.0343   0.0074   0.0385
4015.49   0.0174  -0.0345   0.0090   0.0397
