#lambda    flux1    flux2    flux3    flux4
3900.00   0.0058  -0.0252  -0.0477  -0.0121
3900.91   0.0058  -0.0261  -0.0488  -0.0198
3901.82   0.0064  -0.0262  -0.0452  -0.0074
3902.73   0.0066  -0.0259  -0.0447  -0.0027
3903.64   0.0062  -0.0234  -0.0452  -0.0077
3904.56   0.0059  -0.0217  -0.0489  -0.0124
3905.47   0.0056  -0.0200  -0.0454  -0.0122
3906.38   0.0053  -0.0189  -0.0409  -0.0081
3907.29   0.0055  -0.0209  -0.0447  -0.0043
3908.20   0.0066  -0.0246  -0.0423   0.0049
3909.12   0.0078  -0.0271  -0.0404   0.0142
3910.03   0.0081  -0.0282  -0.0378   0.0182
3910.94   0.0080  -0.0282  -0.0340   0.0158
3911.85   0.0082  -0.0294  -0.0372   0.0162
3912.77   0.0085  -0.0315  -0.0401   0.0175
3913.68   0.0087  -0.0324  -0.0351   0.0237
3914.60   0.0086  -0.0302  -0.0314   0.0235
3915.51   0.0084  -0.0287  -0.0326   0.0199
3916.42   0.0082  -0.0284  -0.0337   0.0189
3917.34   0.0078  -0.0280  -0.0352   0.0093
3918.25   0.0074  -0.0273  -0.0397   0.0055
3919.17   0.0070  -0.0262  -0.0411   0.0043
3920.08   0.0062  -0.0247  -0.0417  -0.0052
3921.00   0.0053  -0.0221  -0.0430  -0.0094
3921.91   0.0049  -0.0206  -0.0435  -0.0109
3922.83   0.0050  -0.0203  -0.0449  -0.0144
3923.75   0.0052  -0.0206  -0.0460  -0.0140
3924.66   0.0056  -0.0243  -0.0441  -0.0145
3925.58   0.0058  -0.0256  -0.0395  -0.0125
3926.49   0.0057  -0.0233  -0.0360  -0.0069
3927.41   0.0051  -0.0211  -0.0337  -0.0046
3928.33   0.0042  -0.0177  -0.0283  -0.0033
3929.25   0.0036  -0.0149  -0.0264  -0.0005
3930.16   0.0031  -0.0138  -0.0262  -0.0020
3931.08   0.0028  -0.0104  -0.0209   0.0024
3932.00   0.0025  -0.0077  -0.0164   0.0068
3932.92   0.0023  -0.0054  -0.0165   0.0114
3933.84   0.0020  -0.0034  -0.0188   0.0095
3934.75   0.0019  -0.0028  -0.0205   0.0094
3935.67   0.0021  -0.0044  -0.0191   0.0097
3936.59   0.0025  -0.0069  -0.0174   0.0048
3937.51   0.0030  -0.0092  -0.0195   0.0029
3938.43   0.0036  -0.0114  -0.0197   0.0018
3939.35   0.0042  -0.0154  -0.0228   0.0008
3940.27   0.0048  -0.0178  -0.0241  -0.0016
3941.19   0.0051  -0.0199  -0.0299  -0.0057
3942.11   0.0051  -0.0200  -0.0341  -0.0054
3943.03   0.0050  -0.0194  -0.0363  -0.0088
3943.95   0.0045  -0.0193  -0.0406  -0.0198
3944.87   0.0042  -0.0183  -0.0461  -0.0272
3945.79   0.0048  -0.0209  -0.0474  -0.0243
3946.71   0.0061  -0.0245  -0.0430  -0.0153
3947.64   0.0067  -0.0255  -0.0388  -0.0062
3948.56   0.0066  -0.0246  -0.0359  -0.0043
3949.48   0.0067  -0.0245  -0.0370  -0.0049
3950.40   0.0073  -0.0265  -0.0378  -0.0029
3951.32   0.0080  -0.0299  -0.0343   0.0023
3952.25   0.0082  -0.0288  -0.0325   0.0115
3953.17   0.0078  -0.0266  -0.0315   0.0114
3954.09   0.0078  -0.0255  -0.0330   0.0113
3955.02   0.0083  -0.0273  -0.0335   0.0101
3955.94   0.0084  -0.0273  -0.0342   0.0056
3956.86   0.0075  -0.0269  -0.0369  -0.0017
3957.79   0.0068  -0.0259  -0.0351  -0.0095
3958.71   0.0069  -0.0252  -0.0395  -0.0159
3959.64   0.0070  -0.0273  -0.0429  -0.0161
3960.56   0.0065  -0.0260  -0.0464  -0.0241
3961.48   0.0052  -0.0232  -0.0476  -0.0345
3962.41   0.0040  -0.0188  -0.0418  -0.0324
3963.33   0.0038  -0.0160  -0.0378  -0.0232
3964.26   0.0042  -0.0174  -0.0334  -0.0126
3965.19   0.0043  -0.0170  -0.0276  -0.0053
3966.11   0.0039  -0.0144  -0.0208   0.0002
3967.04   0.0032  -0.0112  -0.0159   0.0077
3967.96   0.0026  -0.0071  -0.0154   0.0083
3968.89   0.0022  -0.0053  -0.0179   0.0077
3969.82   0.0022  -0.0047  -0.0199   0.0040
3970.74   0.0025  -0.0060  -0.0197   0.0034
3971.67   0.0032  -0.0097  -0.0190   0.0067
3972.60   0.0038  -0.0131  -0.0191   0.0021
3973.53   0.0045  -0.0157  -0.0229  -0.0008
3974.45   0.0052  -0.0170  -0.0278   0.0032
3975.38   0.0059  -0.0192  -0.0300   0.0022
3976.31   0.0066  -0.0216  -0.0297   0.0017
3977.24   0.0072  -0.0228  -0.0324   0.0034
3978.17   0.0076  -0.0242  -0.0335   0.0012
3979.10   0.0083  -0.0267  -0.0303   0.0038
3980.03   0.0090  -0.0299  -0.0303   0.0089
3980.95   0.0094  -0.0310  -0.0278   0.0071
3981.88   0.0095  -0.0311  -0.0276   0.0144
3982.81   0.0091  -0.0301  -0.0276   0.0133
3983.74   0.0089  -0.0292  -0.0274   0.0122
3984.67   0.0091  -0.0295  -0.0297   0.0135
3985.60   0.0094  -0.0288  -0.0312   0.0134
3986.54   0.0095  -0.0289  -0.0322   0.0121
3987.47   0.0096  -0.0290  -0.0313   0.0110
3988.40   0.0101  -0.0308  -0.0285   0.0138
3989.33   0.0105  -0.0326  -0.0251   0.0211
3990.26   0.0102  -0.0317  -0.0283   0.0153
3991.19   0.0099  -0.0317  -0.0328   0.0095
3992.12   0.0103  -0.0321  -0.0319   0.0152
3993.06   0.0109  -0.0332  -0.0293   0.0234
3993.99   0.0111  -0.0341  -0.0263   0.0271
3994.92   0.0108  -0.0326  -0.0219   0.0282
3995.85   0.0104  -0.0320  -0.0257   0.0245
3996.79   0.0100  -0.0316  -0.0283   0.0188
3997.72   0.0096  -0.0290  -0.0280   0.0145
3998.65   0.0092  -0.0278  -0.0335   0.0097
3999.59   0.0096  -0.0300  -0.0316   0.0063
4000.52   0.0107  -0.0330  -0.0252   0.0173
4001.45   0.0112  -0.0339  -0.0206   0.0214
4002.39   0.0113  -0.0329  -0.0219   0.0267
4003.32   0.0117  -0.0310  -0.0229   0.0305
4004.26   0.0117  -0.0335  -0.0208   0.0239
4005.19   0.0103  -0.0325  -0.0265   0.0159
4006.13   0.0088  -0.0265  -0.0373   0.0080
4007.06   0.0085  -0.0262  -0.0375   0.0052
4008.00   0.0097  -0.0299  -0.0319   0.0160
4008.94   0.0109  -0.0325  -0.0280   0.0252
4009.87   0.0113  -0.0341  -0.0235   0.0237
4010.81   0.0114  -0.0324  -0.0247   0.0218
4011.74   0.0115  -0.0327  -0.0255   0.0278
4012.68   0.0118  -0.0339  -0.0214   0.0364
4013.62   0.0119  -0.0333  -0.0207   0.0345
4014.56   0.0116  -0.0327  -0.0221   0.0282
4015.49   0.0116  -0.0329  -0.0217   0.0267
4016.43   0.0118  -0.0338  -0.0233   0.0280
4017.37   0.0115  -0.0323  -0.0258   0.0294
4018.31   0.0110  -0.0305  -0.0263   0.0265
4019.24   0.0113  -0.0322  -0.0225   0.0251
4020.18   0.0120  -0.0333  -0.0196   0.0300
4021.12   0.0120  -0.0331  -0.0199   0.0334
4022.06   0.0117  -0.0336  -0.0224   0.0316
4023.00   0.0118  -0.0335  -0.0221   0.0283
4023.94   0.0119  -0.0351  -0.0203   0.0281
4024.88   0.0116  -0.0335  -0.0198   0.0260
4025.82   0.0113  -0.0329  -0.0239   0.0218
4026.76   0.0115  -0.0336  -0.0271   0.0242
4027.70   0.0121  -0.0341  -0.0253   0.0268
4028.64   0.0126  -0.0347  -0.0214   0.0330
4029.58   0.0123  -0.0343  -0.0179   0.0327
4030.52   0.0110  -0.0326  -0.0243   0.0146
4031.46   0.0092  -0.0292  -0.0400  -0.0002
4032.40   0.0082  -0.0268  -0.0471  -0.0081
4033.34   0.0081  -0.0274  -0.0499  -0.0120
4034.29   0.0080  -0.0269  -0.0530  -0.0140
4035.23   0.0082  -0.0284  -0.0529  -0.0132
4036.17   0.0095  -0.0308  -0.0445   0.0014
4037.11   0.0112  -0.0327  -0.0322   0.0223
4038.06   0.0125  -0.0331  -0.0214   0.0351
4039.00   0.0131  -0.0346  -0.0183   0.0397
4039.94   0.0129  -0.0360  -0.0183   0.0379
4040.88   0.0122  -0.0333  -0.0221   0.0312
4041.83   0.0116  -0.0310  -0.0285   0.0266
4042.77   0.0117  -0.0324  -0.0274   0.0255
4043.72   0.0116  -0.0326  -0.0277   0.0214
4044.66   0.0100  -0.0309  -0.0365   0.0089
4045.60   0.0074  -0.0258  -0.0448  -0.0113
4046.55   0.0058  -0.0203  -0.0506  -0.0300
4047.49   0.0064  -0.0222  -0.0532  -0.0323
4048.44   0.0086  -0.0268  -0.0474  -0.0148
4049.38   0.0105  -0.0311  -0.0397   0.0075
4050.33   0.0117  -0.0323  -0.0289   0.0223
4051.28   0.0124  -0.0325  -0.0199   0.0331
4052.22   0.0125  -0.0330  -0.0216   0.0345
4053.17   0.0121  -0.0306  -0.0235   0.0331
4054.11   0.0117  -0.0300  -0.0257   0.0286
4055.06   0.0114  -0.0304  -0.0259   0.0280
4056.01   0.0113  -0.0293  -0.0282   0.0275
4056.95   0.0111  -0.0282  -0.0305   0.0243
4057.90   0.0106  -0.0282  -0.0325   0.0194
4058.85   0.0101  -0.0270  -0.0365   0.0138
4059.80   0.0103  -0.0271  -0.0382   0.0116
4060.74   0.0113  -0.0297  -0.0321   0.0174
4061.69   0.0117  -0.0320  -0.0301   0.0199
4062.64   0.0106  -0.0309  -0.0359   0.0092
4063.59   0.0084  -0.0261  -0.0459  -0.0103
4064.54   0.0070  -0.0224  -0.0504  -0.0235
4065.49   0.0076  -0.0232  -0.0459  -0.0191
4066.44   0.0092  -0.0268  -0.0411  -0.0029
4067.39   0.0101  -0.0289  -0.0355   0.0128
4068.34   0.0104  -0.0291  -0.0315   0.0157
4069.29   0.0113  -0.0303  -0.0315   0.0164
4070.24   0.0120  -0.0325  -0.0284   0.0222
4071.19   0.0108  -0.0306  -0.0317   0.0058
4072.14   0.0087  -0.0268  -0.0428  -0.0149
4073.09   0.0081  -0.0258  -0.0479  -0.0228
4074.04   0.0096  -0.0289  -0.0411  -0.0089
4074.99   0.0113  -0.0318  -0.0315   0.0139
4075.94   0.0115  -0.0308  -0.0267   0.0262
4076.89   0.0106  -0.0283  -0.0257   0.0273
4077.85   0.0097  -0.0252  -0.0262   0.0218
4078.80   0.0094  -0.0243  -0.0299   0.0151
4079.75   0.0102  -0.0265  -0.0282   0.0137
4080.70   0.0114  -0.0292  -0.0213   0.0213
4081.66   0.0126  -0.0314  -0.0157   0.0280
4082.61   0.0130  -0.0331  -0.0111   0.0325
4083.56   0.0125  -0.0324  -0.0129   0.0338
4084.52   0.0117  -0.0296  -0.0179   0.0281
4085.47   0.0113  -0.0273  -0.0221   0.0274
4086.42   0.0116  -0.0274  -0.0221   0.0294
4087.38   0.0126  -0.0304  -0.0174   0.0341
4088.33   0.0138  -0.0335  -0.0102   0.0438
4089.29   0.0145  -0.0348  -0.0049   0.0480
4090.24   0.0144  -0.0337  -0.0065   0.0447
4091.20   0.0139  -0.0318  -0.0094   0.0374
4092.15   0.0132  -0.0322  -0.0140   0.0297
4093.11   0.0129  -0.0316  -0.0143   0.0303
4094.06   0.0132  -0.0309  -0.0123   0.0334
4095.02   0.0134  -0.0316  -0.0114   0.0311
4095.97   0.0125  -0.0305  -0.0169   0.0247
4096.93   0.0112  -0.0294  -0.0265   0.0147
4097.89   0.0108  -0.0289  -0.0288   0.0098
4098.84   0.0110  -0.0289  -0.0279   0.0112
4099.80   0.0112  -0.0298  -0.0239   0.0107
4100.76   0.0107  -0.0274  -0.0197   0.0107
4101.72   0.0097  -0.0234  -0.0173   0.0123
4102.67   0.0093  -0.0219  -0.0172   0.0107
4103.63   0.0099  -0.0226  -0.0168   0.0126
4104.59   0.0108  -0.0253  -0.0171   0.0183
4105.55   0.0114  -0.0274  -0.0199   0.0167
4106.51   0.0118  -0.0302  -0.0180   0.0177
4107.47   0.0122  -0.0305  -0.0172   0.0178
4108.43   0.0123  -0.0301  -0.0172   0.0142
4109.38   0.0121  -0.0306  -0.0176   0.0163
4110.34   0.0119  -0.0290  -0.0188   0.0218
4111.30   0.0116  -0.0293  -0.0224   0.0199
4112.26   0.0115  -0.0310  -0.0276   0.0134
4113.22   0.0117  -0.0310  -0.0246   0.0117
4114.18   0.0123  -0.0316  -0.0203   0.0161
4115.15   0.0126  -0.0327  -0.0175   0.0167
4116.11   0.0127  -0.0336  -0.0174   0.0132
4117.07   0.0129  -0.0332  -0.0164   0.0187
4118.03   0.0129  -0.0330  -0.0165   0.0257
4118.99   0.0121  -0.0314  -0.0197   0.0230
4119.95   0.0115  -0.0304  -0.0227   0.0194
4120.91   0.0118  -0.0298  -0.0207   0.0226
4121.88   0.0122  -0.0310  -0.0187   0.0256
4122.84   0.0123  -0.0305  -0.0181   0.0254
4123.80   0.0123  -0.0289  -0.0228   0.0271
4124.76   0.0126  -0.0300  -0.0189   0.0319
4125.73   0.0131  -0.0310  -0.0147   0.0341
4126.69   0.0131  -0.0280  -0.0171   0.0352
4127.65   0.0125  -0.0286  -0.0202   0.0314
4128.62   0.0120  -0.0296  -0.0210   0.0259
4129.58   0.0120  -0.0293  -0.0201   0.0285
4130.55   0.0120  -0.0302  -0.0208   0.0266
4131.51   0.0114  -0.0299  -0.0252   0.0186
4132.48   0.0101  -0.0278  -0.0345  -0.0001
4133.44   0.0091  -0.0262  -0.0417  -0.0072
4134.41   0.0091  -0.0252  -0.0373  -0.0047
4135.37   0.0101  -0.0271  -0.0323   0.0042
4136.34   0.0113  -0.0289  -0.0260   0.0122
4137.30   0.0124  -0.0305  -0.0207   0.0189
4138.27   0.0127  -0.0321  -0.0207   0.0242
4139.23   0.0128  -0.0317  -0.0223   0.0277
4140.20   0.0131  -0.0316  -0.0201   0.0274
4141.17   0.0130  -0.0335  -0.0166   0.0260
4142.13   0.0122  -0.0310  -0.0204   0.0203
4143.10   0.0102  -0.0285  -0.0293   0.0015
4144.07   0.0080  -0.0263  -0.0399  -0.0220
4145.04   0.0077  -0.0246  -0.0448  -0.0267
4146.00   0.0094  -0.0272  -0.0403  -0.0162
4146.97   0.0110  -0.0304  -0.0331  -0.0009
4147.94   0.0118  -0.0312  -0.0305   0.0092
4148.91   0.0120  -0.0306  -0.0255   0.0172
4149.88   0.0118  -0.0305  -0.0247   0.0189
4150.85   0.0117  -0.0287  -0.0276   0.0204
4151.82   0.0118  -0.0282  -0.0294   0.0238
4152.79   0.0119  -0.0299  -0.0271   0.0226
4153.76   0.0115  -0.0279  -0.0281   0.0189
