#lambda    flux1    flux2    flux3    flux4
3900.00   0.0208  -0.0386   0.0375  -0.0262
3900.91   0.0210  -0.0384   0.0309  -0.0335
3901.82   0.0215  -0.0384   0.0237  -0.0425
3902.73   0.0218  -0.0420   0.0243  -0.0413
3903.64   0.0217  -0.0450   0.0337  -0.0313
3904.56   0.0216  -0.0464   0.0428  -0.0217
3905.47   0.0214  -0.0481   0.0455  -0.0147
3906.38   0.0212  -0.0485   0.0499  -0.0042
3907.29   0.0215  -0.0489   0.0476  -0.0098
3908.20   0.0224  -0.0482   0.0366  -0.0266
3909.12   0.0231  -0.0468   0.0271  -0.0364
3910.03   0.0233  -0.0473   0.0262  -0.0451
3910.94   0.0235  -0.0479   0.0261  -0.0463
3911.85   0.0236  -0.0475   0.0173  -0.0476
3912.77   0.0235  -0.0456   0.0144  -0.0547
3913.68   0.0231  -0.0448   0.0239  -0.0461
3914.60   0.0229  -0.0448   0.0314  -0.0352
3915.51   0.0231  -0.0466   0.0340  -0.0321
3916.42   0.0233  -0.0487   0.0338  -0.0335
3917.34   0.0231  -0.0493   0.0359  -0.0253
3918.25   0.0229  -0.0500   0.0417  -0.0181
3919.17   0.0228  -0.0510   0.0442  -0.0177
3920.08   0.0226  -0.0509   0.0454  -0.0138
3921.00   0.0225  -0.0519   0.0442  -0.0138
3921.91   0.0226  -0.0524   0.0385  -0.0186
3922.83   0.0228  -0.0512   0.0351  -0.0208
3923.75   0.0229  -0.0500   0.0323  -0.0258
3924.66   0.0230  -0.0492   0.0319  -0.0279
3925.58   0.0231  -0.0523   0.0409  -0.0164
3926.49   0.0227  -0.0549   0.0538  -0.0006
3927.41   0.0221  -0.0568   0.0637   0.0144
3928.33   0.0213  -0.0595   0.0792   0.0315
3929.25   0.0205  -0.0637   0.1010   0.0612
3930.16   0.0194  -0.0680   0.1224   0.0955
3931.08   0.0180  -0.0699   0.1463   0.1277
3932.00   0.0156  -0.0687   0.1560   0.1590
3932.92   0.0120  -0.0602   0.1364   0.1606
3933.84   0.0087  -0.0469   0.1068   0.1439
3934.75   0.0081  -0.0434   0.1012   0.1471
3935.67   0.0107  -0.0537   0.1261   0.1667
3936.59   0.0146  -0.0669   0.1485   0.1677
3937.51   0.0177  -0.0719   0.1474   0.1438
3938.43   0.0196  -0.0696   0.1294   0.1037
3939.35   0.0209  -0.0651   0.1048   0.0661
3940.27   0.0218  -0.0608   0.0828   0.0366
3941.19   0.0222  -0.0573   0.0688   0.0176
3942.11   0.0224  -0.0562   0.0645   0.0146
3943.03   0.0223  -0.0559   0.0629   0.0111
3943.95   0.0221  -0.0555   0.0629   0.0133
3944.87   0.0219  -0.0548   0.0639   0.0135
3945.79   0.0224  -0.0526   0.0544  -0.0006
3946.71   0.0228  -0.0491   0.0386  -0.0178
3947.64   0.0228  -0.0480   0.0374  -0.0191
3948.56   0.0224  -0.0484   0.0465  -0.0095
3949.48   0.0223  -0.0482   0.0512  -0.0073
3950.40   0.0224  -0.0464   0.0445  -0.0137
3951.32   0.0226  -0.0446   0.0349  -0.0206
3952.25   0.0225  -0.0456   0.0369  -0.0197
3953.17   0.0223  -0.0461   0.0423  -0.0196
3954.09   0.0224  -0.0448   0.0363  -0.0213
3955.02   0.0226  -0.0426   0.0274  -0.0284
3955.94   0.0223  -0.0417   0.0300  -0.0263
3956.86   0.0216  -0.0427   0.0429  -0.0113
3957.79   0.0213  -0.0421   0.0462  -0.0063
3958.71   0.0216  -0.0386   0.0337  -0.0183
