#lambda    flux1    flux2    flux3    flux4
3900.00   0.0205  -0.0408   0.0335  -0.0300
3900.91   0.0207  -0.0406   0.0281  -0.0406
3901.82   0.0213  -0.0415   0.0229  -0.0460
3902.73   0.0215  -0.0437   0.0254  -0.0393
3903.64   0.0215  -0.0464   0.0350  -0.0298
3904.56   0.0213  -0.0478   0.0421  -0.0219
3905.47   0.0211  -0.0488   0.0468  -0.0159
3906.38   0.0208  -0.0498   0.0479  -0.0072
3907.29   0.0212  -0.0501   0.0452  -0.0121
3908.20   0.0221  -0.0486   0.0365  -0.0275
3909.12   0.0228  -0.0480   0.0289  -0.0403
3910.03   0.0230  -0.0475   0.0279  -0.0414
3910.94   0.0231  -0.0476   0.0273  -0.0387
3911.85   0.0232  -0.0468   0.0199  -0.0465
3912.77   0.0231  -0.0448   0.0168  -0.0533
3913.68   0.0228  -0.0449   0.0224  -0.0435
3914.60   0.0226  -0.0458   0.0297  -0.0356
3915.51   0.0227  -0.0468   0.0327  -0.0360
3916.42   0.0229  -0.0485   0.0342  -0.0347
3917.34   0.0227  -0.0493   0.0350  -0.0294
3918.25   0.0225  -0.0500   0.0392  -0.0192
3919.17   0.0224  -0.0507   0.0426  -0.0144
3920.08   0.0222  -0.0510   0.0434  -0.0147
3921.00   0.0221  -0.0515   0.0449  -0.0125
3921.91   0.0222  -0.0523   0.0439  -0.0155
3922.83   0.0223  -0.0517   0.0387  -0.0193
3923.75   0.0225  -0.0495   0.0327  -0.0247
3924.66   0.0226  -0.0498   0.0346  -0.0240
3925.58   0.0227  -0.0527   0.0440  -0.0134
3926.49   0.0224  -0.0549   0.0577   0.0029
3927.41   0.0217  -0.0572   0.0686   0.0189
3928.33   0.0209  -0.0601   0.0809   0.0352
3929.25   0.0201  -0.0641   0.1027   0.0646
3930.16   0.0190  -0.0672   0.1249   0.1001
3931.08   0.0175  -0.0690   0.1447   0.1350
3932.00   0.0150  -0.0671   0.1502   0.1643
3932.92   0.0113  -0.0559   0.1282   0.1625
3933.84   0.0080  -0.0412   0.0966   0.1428
3934.75   0.0074  -0.0380   0.0916   0.1417
3935.67   0.0100  -0.0507   0.1210   0.1617
3936.59   0.0140  -0.0659   0.1476   0.1700
3937.51   0.0172  -0.0714   0.1488   0.1472
3938.43   0.0192  -0.0694   0.1319   0.1112
3939.35   0.0205  -0.0651   0.1096   0.0727
3940.27   0.0214  -0.0607   0.0857   0.0395
3941.19   0.0218  -0.0582   0.0718   0.0234
3942.11   0.0220  -0.0569   0.0666   0.0176
3943.03   0.0220  -0.0556   0.0632   0.0140
3943.95   0.0217  -0.0554   0.0627   0.0172
3944.87   0.0216  -0.0548   0.0650   0.0141
3945.79   0.0220  -0.0531   0.0564   0.0012
3946.71   0.0225  -0.0498   0.0401  -0.0152
3947.64   0.0225  -0.0483   0.0386  -0.0191
3948.56   0.0222  -0.0491   0.0459  -0.0066
3949.48   0.0220  -0.0494   0.0485  -0.0052
3950.40   0.0221  -0.0473   0.0423  -0.0133
3951.32   0.0222  -0.0453   0.0321  -0.0198
3952.25   0.0222  -0.0458   0.0338  -0.0216
3953.17   0.0220  -0.0472   0.0391  -0.0171
3954.09   0.0221  -0.0460   0.0365  -0.0217
3955.02   0.0223  -0.0438   0.0275  -0.0333
3955.94   0.0221  -0.0432   0.0273  -0.0303
3956.86   0.0214  -0.0435   0.0406  -0.0147
3957.79   0.0211  -0.0441   0.0432  -0.0077
3958.71   0.0213  -0.0419   0.0316  -0.0190
3959.64   0.0217  -0.0390   0.0218  -0.0375
3960.56   0.0215  -0.0393   0.0242  -0.0387
3961.48   0.0208  -0.0412   0.0383  -0.0194
3962.41   0.0199  -0.0440   0.0551   0.0034
3963.33   0.0195  -0.0454   0.0649   0.0156
3964.26   0.0191  -0.0453   0.0688   0.0189
3965.19   0.0183  -0.0454   0.0764   0.0287
3966.11   0.0168  -0.0470   0.0910   0.0554
3967.04   0.0143  -0.0458   0.1020   0.0863
3967.96   0.0108  -0.0392   0.0932   0.0986
3968.89   0.0077  -0.0296   0.0711   0.0862
3969.82   0.0066  -0.0222   0.0510   0.0640
3970.74   0.0079  -0.0212   0.0449   0.0415
3971.67   0.0107  -0.0254   0.0510   0.0259
3972.60   0.0136  -0.0305   0.0587   0.0181
3973.53   0.0159  -0.0347   0.0619   0.0144
3974.45   0.0174  -0.0365   0.0603   0.0049
3975.38   0.0185  -0.0366   0.0530  -0.0038
3976.31   0.0194  -0.0359   0.0461  -0.0132
3977.24   0.0199  -0.0360   0.0402  -0.0181
3978.17   0.0203  -0.0362   0.0347  -0.0221
3979.10   0.0208  -0.0356   0.0256  -0.0326
3980.03   0.0214  -0.0344   0.0157  -0.0432
3980.95   0.0217  -0.0339   0.0103  -0.0512
3981.88   0.0217  -0.0350   0.0126  -0.0450
3982.81   0.0216  -0.0362   0.0217  -0.0347
3983.74   0.0216  -0.0378   0.0264  -0.0281
3984.67   0.0219  -0.0388   0.0242  -0.0307
3985.60   0.0221  -0.0380   0.0212  -0.0352
3986.54   0.0221  -0.0389   0.0247  -0.0335
3987.47   0.0222  -0.0399   0.0253  -0.0314
3988.40   0.0224  -0.0392   0.0174  -0.0354
3989.33   0.0226  -0.0384   0.0106  -0.0412
3990.26   0.0227  -0.0388   0.0112  -0.0413
3991.19   0.0227  -0.0391   0.0102  -0.0393
3992.12   0.0229  -0.0380   0.0065  -0.0438
3993.06   0.0232  -0.0371   0.0005  -0.0559
3993.99   0.0232  -0.0369  -0.0028  -0.0545
3994.92   0.0231  -0.0381   0.0019  -0.0455
3995.85   0.0229  -0.0393   0.0089  -0.0399
3996.79   0.0227  -0.0401   0.0160  -0.0302
3997.72   0.0224  -0.0415   0.0233  -0.0204
3998.65   0.0223  -0.0417   0.0275  -0.0164
3999.59   0.0226  -0.0401   0.0159  -0.0270
4000.52   0.0231  -0.0380   0.0032  -0.0411
4001.45   0.0233  -0.0372  -0.0011  -0.0493
4002.39   0.0234  -0.0376  -0.0004  -0.0493
4003.32   0.0234  -0.0368  -0.0024  -0.0522
4004.26   0.0233  -0.0369  -0.0016  -0.0504
4005.19   0.0227  -0.0391   0.0137  -0.0337
4006.13   0.0222  -0.0425   0.0298  -0.0119
4007.06   0.0223  -0.0437   0.0295  -0.0115
4008.00   0.0229  -0.0411   0.0161  -0.0308
4008.94   0.0233  -0.0392   0.0034  -0.0407
4009.87   0.0233  -0.0377  -0.0004  -0.0436
4010.81   0.0233  -0.0368  -0.0007  -0.0461
4011.74   0.0233  -0.0365  -0.0030  -0.0476
4012.68   0.0233  -0.0359  -0.0032  -0.0456
4013.62   0.0232  -0.0362   0.0007  -0.0387
4014.56   0.0232  -0.0376   0.0031  -0.0364
4015.49   0.0233  -0.0378   0.0004  -0.0372
4016.43   0.0234  -0.0369  -0.0016  -0.0408
4017.37   0.0234  -0.0383   0.0030  -0.0396
4018.31   0.0233  -0.0390   0.0070  -0.0354
4019.24   0.0235  -0.0377   0.0014  -0.0392
4020.18   0.0237  -0.0366  -0.0105  -0.0489
4021.12   0.0237  -0.0361  -0.0121  -0.0516
4022.06   0.0235  -0.0357  -0.0068  -0.0454
4023.00   0.0235  -0.0356  -0.0033  -0.0442
4023.94   0.0234  -0.0364  -0.0014  -0.0423
4024.88   0.0233  -0.0370   0.0046  -0.0356
4025.82   0.0232  -0.0370   0.0069  -0.0326
4026.76   0.0234  -0.0359  -0.0036  -0.0413
4027.70   0.0237  -0.0343  -0.0132  -0.0507
4028.64   0.0237  -0.0336  -0.0121  -0.0525
4029.58   0.0234  -0.0349  -0.0046  -0.0434
4030.52   0.0229  -0.0374   0.0096  -0.0254
4031.46   0.0225  -0.0400   0.0208  -0.0102
4032.40   0.0225  -0.0411   0.0244  -0.0073
4033.34   0.0225  -0.0418   0.0215  -0.0091
4034.29   0.0226  -0.0415   0.0164  -0.0116
4035.23   0.0228  -0.0399   0.0119  -0.0180
4036.17   0.0231  -0.0380   0.0060  -0.0296
4037.11   0.0235  -0.0365  -0.0040  -0.0415
4038.06   0.0238  -0.0337  -0.0136  -0.0526
4039.00   0.0239  -0.0321  -0.0185  -0.0588
4039.94   0.0238  -0.0331  -0.0158  -0.0522
4040.88   0.0235  -0.0358  -0.0069  -0.0394
4041.83   0.0234  -0.0372  -0.0007  -0.0342
4042.77   0.0235  -0.0363  -0.0037  -0.0367
4043.72   0.0236  -0.0351  -0.0072  -0.0431
4044.66   0.0232  -0.0372   0.0022  -0.0271
4045.60   0.0222  -0.0415   0.0238  -0.0017
4046.55   0.0217  -0.0432   0.0320   0.0103
4047.49   0.0223  -0.0405   0.0158  -0.0080
4048.44   0.0232  -0.0364  -0.0042  -0.0343
4049.38   0.0237  -0.0349  -0.0108  -0.0431
4050.33   0.0237  -0.0351  -0.0107  -0.0430
4051.28   0.0237  -0.0338  -0.0127  -0.0451
4052.22   0.0236  -0.0338  -0.0091  -0.0440
4053.17   0.0234  -0.0355  -0.0011  -0.0357
4054.11   0.0233  -0.0359   0.0075  -0.0289
4055.06   0.0231  -0.0369   0.0124  -0.0242
4056.01   0.0231  -0.0378   0.0135  -0.0213
4056.95   0.0231  -0.0379   0.0117  -0.0224
4057.90   0.0229  -0.0381   0.0140  -0.0192
4058.85   0.0229  -0.0388   0.0162  -0.0132
4059.80   0.0231  -0.0376   0.0102  -0.0215
4060.74   0.0234  -0.0348  -0.0041  -0.0386
4061.69   0.0235  -0.0333  -0.0107  -0.0438
4062.64   0.0230  -0.0345  -0.0031  -0.0326
4063.59   0.0223  -0.0376   0.0117  -0.0127
4064.54   0.0220  -0.0390   0.0196  -0.0020
4065.49   0.0225  -0.0376   0.0116  -0.0149
4066.44   0.0229  -0.0362   0.0048  -0.0273
4067.39   0.0229  -0.0364   0.0085  -0.0219
4068.34   0.0227  -0.0361   0.0103  -0.0144
4069.29   0.0230  -0.0340  -0.0005  -0.0324
4070.24   0.0233  -0.0315  -0.0112  -0.0462
4071.19   0.0228  -0.0327  -0.0039  -0.0342
4072.14   0.0222  -0.0353   0.0082  -0.0188
4073.09   0.0222  -0.0352   0.0082  -0.0171
4074.04   0.0226  -0.0338  -0.0002  -0.0261
4074.99   0.0229  -0.0326  -0.0029  -0.0332
4075.94   0.0228  -0.0336   0.0038  -0.0281
4076.89   0.0223  -0.0356   0.0157  -0.0142
4077.85   0.0216  -0.0369   0.0277  -0.0019
4078.80   0.0215  -0.0371   0.0311  -0.0008
4079.75   0.0219  -0.0362   0.0226  -0.0083
4080.70   0.0225  -0.0341   0.0090  -0.0230
4081.66   0.0228  -0.0312  -0.0031  -0.0377
4082.61   0.0229  -0.0294  -0.0079  -0.0438
4083.56   0.0227  -0.0305  -0.0020  -0.0365
4084.52   0.0223  -0.0326   0.0083  -0.0236
4085.47   0.0220  -0.0331   0.0130  -0.0190
4086.42   0.0220  -0.0318   0.0099  -0.0264
4087.38   0.0222  -0.0295  -0.0004  -0.0385
4088.33   0.0224  -0.0268  -0.0092  -0.0470
4089.29   0.0223  -0.0252  -0.0128  -0.0509
4090.24   0.0222  -0.0247  -0.0137  -0.0511
4091.20   0.0220  -0.0242  -0.0116  -0.0484
4092.15   0.0218  -0.0248  -0.0083  -0.0445
4093.11   0.0215  -0.0243  -0.0045  -0.0435
