#lambda    flux1    flux2    flux3    flux4
3900.00   0.0066  -0.0194  -0.0518  -0.0039
3900.91   0.0066  -0.0196  -0.0537  -0.0127
3901.82   0.0072  -0.0209  -0.0496   0.0032
3902.73   0.0073  -0.0225  -0.0458   0.0068
3903.64   0.0069  -0.0213  -0.0502  -0.0031
3904.56   0.0066  -0.0193  -0.0534  -0.0070
3905.47   0.0063  -0.0185  -0.0495  -0.0075
3906.38   0.0059  -0.0170  -0.0503  -0.0094
3907.29   0.0061  -0.0192  -0.0486  -0.0037
3908.20   0.0073  -0.0216  -0.0417   0.0080
3909.12   0.0086  -0.0236  -0.0391   0.0243
3910.03   0.0090  -0.0239  -0.0379   0.0270
3910.94   0.0088  -0.0239  -0.0357   0.0238
3911.85   0.0090  -0.0251  -0.0376   0.0212
3912.77   0.0095  -0.0268  -0.0388   0.0228
3913.68   0.0096  -0.0268  -0.0335   0.0238
3914.60   0.0093  -0.0253  -0.0313   0.0279
3915.51   0.0090  -0.0251  -0.0290   0.0249
3916.42   0.0088  -0.0255  -0.0310   0.0201
3917.34   0.0085  -0.0230  -0.0352   0.0200
3918.25   0.0082  -0.0220  -0.0377   0.0154
3919.17   0.0078  -0.0221  -0.0416   0.0082
3920.08   0.0070  -0.0208  -0.0437  -0.0021
3921.00   0.0060  -0.0194  -0.0442  -0.0089
3921.91   0.0056  -0.0177  -0.0492  -0.0056
3922.83   0.0057  -0.0173  -0.0516  -0.0069
3923.75   0.0060  -0.0184  -0.0524  -0.0161
3924.66   0.0063  -0.0202  -0.0506  -0.0124
3925.58   0.0065  -0.0194  -0.0443  -0.0030
3926.49   0.0063  -0.0192  -0.0422  -0.0035
3927.41   0.0056  -0.0166  -0.0385  -0.0038
3928.33   0.0047  -0.0134  -0.0338  -0.0045
3929.25   0.0040  -0.0124  -0.0293  -0.0024
3930.16   0.0035  -0.0101  -0.0242  -0.0013
3931.08   0.0031  -0.0088  -0.0199   0.0007
3932.00   0.0028  -0.0064  -0.0150   0.0051
3932.92   0.0024  -0.0053  -0.0126   0.0061
3933.84   0.0021  -0.0033  -0.0117   0.0122
3934.75   0.0020  -0.0021  -0.0114   0.0123
3935.67   0.0022  -0.0041  -0.0121   0.0067
3936.59   0.0026  -0.0068  -0.0146   0.0056
3937.51   0.0032  -0.0100  -0.0169   0.0055
3938.43   0.0038  -0.0104  -0.0197   0.0034
3939.35   0.0046  -0.0114  -0.0240   0.0005
3940.27   0.0053  -0.0146  -0.0288   0.0014
3941.19   0.0057  -0.0158  -0.0321  -0.0011
3942.11   0.0057  -0.0161  -0.0366  -0.0065
3943.03   0.0056  -0.0175  -0.0424  -0.0075
3943.95   0.0052  -0.0154  -0.0465  -0.0136
3944.87   0.0049  -0.0142  -0.0515  -0.0201
3945.79   0.0055  -0.0175  -0.0556  -0.0172
3946.71   0.0068  -0.0207  -0.0484  -0.0084
3947.64   0.0075  -0.0221  -0.0436  -0.0050
3948.56   0.0074  -0.0211  -0.0410  -0.0024
3949.48   0.0075  -0.0216  -0.0405  -0.0001
3950.40   0.0081  -0.0238  -0.0415   0.0079
3951.32   0.0089  -0.0251  -0.0355   0.0107
3952.25   0.0089  -0.0243  -0.0312   0.0149
3953.17   0.0085  -0.0217  -0.0307   0.0166
3954.09   0.0085  -0.0219  -0.0340   0.0180
3955.02   0.0090  -0.0244  -0.0349   0.0098
3955.94   0.0091  -0.0247  -0.0337   0.0101
3956.86   0.0083  -0.0231  -0.0373   0.0034
3957.79   0.0076  -0.0215  -0.0410  -0.0064
3958.71   0.0077  -0.0232  -0.0446  -0.0098
3959.64   0.0079  -0.0249  -0.0476  -0.0162
3960.56   0.0074  -0.0226  -0.0521  -0.0212
3961.48   0.0060  -0.0192  -0.0572  -0.0303
3962.41   0.0046  -0.0144  -0.0547  -0.0343
3963.33   0.0042  -0.0120  -0.0489  -0.0270
3964.26   0.0047  -0.0137  -0.0401  -0.0152
3965.19   0.0048  -0.0147  -0.0299  -0.0038
3966.11   0.0043  -0.0125  -0.0234  -0.0032
3967.04   0.0036  -0.0093  -0.0154   0.0027
3967.96   0.0028  -0.0077  -0.0107   0.0080
3968.89   0.0023  -0.0047  -0.0113   0.0064
3969.82   0.0023  -0.0034  -0.0130   0.0088
3970.74   0.0027  -0.0059  -0.0150   0.0093
3971.67   0.0034  -0.0077  -0.0178   0.0046
3972.60   0.0042  -0.0107  -0.0222   0.0042
3973.53   0.0049  -0.0134  -0.0258   0.0038
3974.45   0.0057  -0.0153  -0.0296   0.0013
3975.38   0.0065  -0.0166  -0.0305   0.0001
3976.31   0.0072  -0.0192  -0.0356   0.0017
3977.24   0.0078  -0.0203  -0.0364   0.0057
3978.17   0.0083  -0.0220  -0.0342   0.0087
3979.10   0.0090  -0.0249  -0.0346   0.0075
3980.03   0.0097  -0.0253  -0.0344   0.0108
3980.95   0.0102  -0.0266  -0.0328   0.0130
3981.88   0.0102  -0.0281  -0.0291   0.0116
3982.81   0.0099  -0.0270  -0.0265   0.0138
3983.74   0.0096  -0.0263  -0.0287   0.0158
3984.67   0.0098  -0.0252  -0.0294   0.0178
3985.60   0.0101  -0.0259  -0.0314   0.0213
3986.54   0.0102  -0.0258  -0.0338   0.0176
3987.47   0.0103  -0.0247  -0.0309   0.0148
3988.40   0.0108  -0.0269  -0.0256   0.0218
3989.33   0.0112  -0.0287  -0.0228   0.0227
3990.26   0.0110  -0.0286  -0.0279   0.0169
3991.19   0.0107  -0.0279  -0.0294   0.0161
3992.12   0.0111  -0.0279  -0.0329   0.0253
3993.06   0.0117  -0.0292  -0.0271   0.0252
3993.99   0.0118  -0.0311  -0.0210   0.0283
3994.92   0.0115  -0.0291  -0.0226   0.0289
3995.85   0.0112  -0.0282  -0.0207   0.0259
3996.79   0.0109  -0.0271  -0.0225   0.0282
3997.72   0.0104  -0.0269  -0.0284   0.0196
3998.65   0.0100  -0.0279  -0.0322   0.0101
3999.59   0.0105  -0.0290  -0.0288   0.0139
4000.52   0.0114  -0.0301  -0.0217   0.0231
4001.45   0.0120  -0.0300  -0.0172   0.0281
4002.39   0.0121  -0.0294  -0.0153   0.0305
4003.32   0.0125  -0.0293  -0.0170   0.0314
4004.26   0.0124  -0.0307  -0.0172   0.0283
4005.19   0.0110  -0.0272  -0.0236   0.0186
4006.13   0.0095  -0.0227  -0.0356   0.0125
4007.06   0.0093  -0.0224  -0.0386   0.0134
4008.00   0.0105  -0.0263  -0.0313   0.0186
4008.94   0.0117  -0.0309  -0.0223   0.0278
4009.87   0.0121  -0.0304  -0.0195   0.0254
4010.81   0.0121  -0.0294  -0.0200   0.0215
4011.74   0.0123  -0.0299  -0.0203   0.0302
4012.68   0.0127  -0.0298  -0.0168   0.0337
4013.62   0.0126  -0.0299  -0.0144   0.0347
4014.56   0.0124  -0.0302  -0.0166   0.0317
4015.49   0.0124  -0.0299  -0.0165   0.0282
4016.43   0.0125  -0.0294  -0.0152   0.0270
4017.37   0.0121  -0.0298  -0.0172   0.0281
4018.31   0.0117  -0.0281  -0.0219   0.0309
4019.24   0.0120  -0.0271  -0.0205   0.0301
4020.18   0.0126  -0.0308  -0.0131   0.0303
4021.12   0.0127  -0.0301  -0.0106   0.0304
4022.06   0.0124  -0.0285  -0.0150   0.0297
4023.00   0.0124  -0.0300  -0.0164   0.0282
4023.94   0.0126  -0.0308  -0.0173   0.0314
4024.88   0.0123  -0.0300  -0.0176   0.0295
4025.82   0.0120  -0.0292  -0.0202   0.0272
4026.76   0.0123  -0.0295  -0.0234   0.0297
4027.70   0.0128  -0.0305  -0.0199   0.0301
4028.64   0.0133  -0.0313  -0.0128   0.0340
4029.58   0.0132  -0.0311  -0.0131   0.0319
4030.52   0.0118  -0.0289  -0.0243   0.0184
4031.46   0.0100  -0.0267  -0.0393   0.0060
4032.40   0.0092  -0.0247  -0.0515  -0.0014
4033.34   0.0090  -0.0240  -0.0556  -0.0035
4034.29   0.0089  -0.0238  -0.0561  -0.0023
4035.23   0.0092  -0.0246  -0.0554   0.0019
4036.17   0.0104  -0.0258  -0.0467   0.0157
4037.11   0.0120  -0.0275  -0.0292   0.0287
4038.06   0.0133  -0.0316  -0.0154   0.0384
4039.00   0.0139  -0.0317  -0.0107   0.0431
4039.94   0.0136  -0.0301  -0.0121   0.0419
4040.88   0.0129  -0.0283  -0.0163   0.0368
4041.83   0.0124  -0.0276  -0.0185   0.0320
4042.77   0.0124  -0.0304  -0.0212   0.0296
4043.72   0.0124  -0.0294  -0.0235   0.0245
4044.66   0.0108  -0.0276  -0.0346   0.0107
4045.60   0.0082  -0.0216  -0.0507  -0.0066
4046.55   0.0065  -0.0173  -0.0618  -0.0246
4047.49   0.0073  -0.0195  -0.0612  -0.0265
4048.44   0.0095  -0.0251  -0.0523  -0.0089
4049.38   0.0114  -0.0293  -0.0397   0.0115
4050.33   0.0125  -0.0287  -0.0242   0.0238
4051.28   0.0131  -0.0300  -0.0135   0.0353
4052.22   0.0132  -0.0304  -0.0118   0.0422
4053.17   0.0128  -0.0282  -0.0172   0.0387
