#lambda    flux1    flux2    flux3    flux4
3900.00   0.0243   0.0390  -0.0731  -0.0328
3900.91   0.0250   0.0389  -0.0748  -0.0369
3901.82   0.0259   0.0404  -0.0747  -0.0421
3902.73   0.0270   0.0427  -0.0691  -0.0450
3903.64   0.0279   0.0486  -0.0745  -0.0402
3904.56   0.0287   0.0508  -0.0714  -0.0345
3905.47   0.0291   0.0483  -0.0669  -0.0474
3906.38   0.0296   0.0502  -0.0719  -0.0641
3907.29   0.0302   0.0548  -0.0640  -0.0513
3908.20   0.0310   0.0521  -0.0587  -0.0238
3909.12   0.0317   0.0518  -0.0643  -0.0065
3910.03   0.0322   0.0529  -0.0607   0.0009
3910.94   0.0325   0.0525  -0.0564  -0.0008
3911.85   0.0327   0.0550  -0.0552   0.0012
3912.77   0.0328   0.0535  -0.0503   0.0123
3913.68   0.0327   0.0529  -0.0509   0.0008
3914.60   0.0325   0.0532  -0.0514  -0.0041
3915.51   0.0330   0.0527  -0.0473   0.0138
3916.42   0.0336   0.0538  -0.0459   0.0198
3917.34   0.0339   0.0545  -0.0505   0.0125
3918.25   0.0340   0.0536  -0.0440   0.0061
3919.17   0.0339   0.0558  -0.0385   0.0161
3920.08   0.0340   0.0561  -0.0418   0.0207
3921.00   0.0341   0.0540  -0.0477   0.0109
3921.91   0.0341   0.0550  -0.0413   0.0146
3922.83   0.0342   0.0565  -0.0311   0.0140
3923.75   0.0343   0.0559  -0.0317   0.0271
3924.66   0.0345   0.0553  -0.0314   0.0400
3925.58   0.0345   0.0517  -0.0307   0.0251
3926.49   0.0346   0.0529  -0.0266   0.0244
3927.41   0.0345   0.0541  -0.0245   0.0287
3928.33   0.0342   0.0554  -0.0273   0.0127
3929.25   0.0342   0.0564  -0.0234  -0.0011
3930.16   0.0339   0.0569  -0.0223  -0.0201
3931.08   0.0335   0.0585  -0.0185  -0.0378
3932.00   0.0326   0.0646  -0.0194  -0.0778
3932.92   0.0306   0.0697  -0.0232  -0.1419
3933.84   0.0274   0.0721  -0.0263  -0.1778
3934.75   0.0259   0.0710  -0.0240  -0.1655
3935.67   0.0277   0.0674  -0.0201  -0.1275
3936.59   0.0307   0.0623  -0.0233  -0.0691
3937.51   0.0326   0.0578  -0.0264  -0.0132
3938.43   0.0333   0.0554  -0.0194   0.0097
3939.35   0.0335   0.0534  -0.0150   0.0094
3940.27   0.0336   0.0527  -0.0234   0.0142
3941.19   0.0337   0.0518  -0.0294   0.0244
3942.11   0.0335   0.0504  -0.0316   0.0240
3943.03   0.0334   0.0503  -0.0316   0.0235
3943.95   0.0331   0.0516  -0.0313   0.0007
3944.87   0.0328   0.0522  -0.0341  -0.0171
3945.79   0.0325   0.0520  -0.0366  -0.0121
3946.71   0.0325   0.0503  -0.0428  -0.0123
3947.64   0.0323   0.0489  -0.0426   0.0025
3948.56   0.0320   0.0503  -0.0424  -0.0027
3949.48   0.0317   0.0504  -0.0478  -0.0105
3950.40   0.0313   0.0472  -0.0508  -0.0172
3951.32   0.0309   0.0465  -0.0524  -0.0262
3952.25   0.0305   0.0455  -0.0492  -0.0285
3953.17   0.0300   0.0434  -0.0514  -0.0241
3954.09   0.0296   0.0418  -0.0613  -0.0237
3955.02   0.0291   0.0423  -0.0627  -0.0099
