222368,F7V,23,39,57.0,+05,37,35,4.64,4.13,hd222368.fit
1581,F9V,00,20,04.3,-64,52,29,4.81,4.20,hd1581.fit
204867,G0Ib,21,31,33.5,-05,34,16,3.74,2.91,hd204867.fit
52220,G1Ib,06,59,00.4,-32,43,20,7.56,6.76,hd52220.fit
209750,G2Ib,22,05,47.0,-00,19,11,3.90,2.95,hd209750.fit
44362,G2Ib,06,18,46.8,-50,21,33,7.83,7.04,hd44362.fit
206859,G5Ib,21,44,30.7,+17,21,00,5.49,4.34,hd206859.fit
48329,G8Ib,06,43,55.9,+25,07,52,4.44,3.01,hd48329.fit
36079,G5II,05,28,14.7,-20,45,34,3.64,2.84,hd36079.fit
185758,G1III,19,40,05.8,+18,00,50,5.14,4.39,hd185758.fit
21120,G6III,03,24,48.8,+09,01,44,4.49,3.61,hd21120.fit
33833,G7III,05,12,48.1,-06,03,26,6.85,5.90,hd33833.fit
10761,G8III,01,45,23.6,+09,09,28,5.21,4.27,hd10761.fit
184492,G9III,19,35,07.3,-10,33,38,6.23,5.13,hd184492.fit
195564,G2IV,20,32,23.7,-09,51,12,6.34,5.65,hd195564.fit
188512,G8IV,19,55,18.8,+06,24,24,4.57,3.71,hd188512.fit
39587,G0V,05,54,23.0,+20,16,34,5.00,4.41,hd39587.fit
214850,G3V,22,40,52.7,+14,32,57,6.43,5.71,hd214850.fit
20630,G5V,03,19,21.7,+03,22,13,5.51,4.83,hd20630.fit
69830,G7V,08,18,23.9,-12,37,56,6.74,5.95,hd69830.fit
206778,K2Ib,21,44,11.2,+09,52,30,3.96,2.40,hd206778.fit
185622,K4Ib,19,39,25.3,+16,34,16,8.41,6.38,hd185622.fit
179870,K0II,19,13,53.6,+09,02,00,8.31,7.07,hd179870.fit
31767,K2II,04,58,32.9,+01,42,50,5.88,4.47,hd31767.fit
167818,K3II,18,18,03.2,-27,02,34,6.33,4.66,hd167818.fit
8512,K0III,01,24,01.4,-08,11,00,4.66,3.60,hd8512.fit
39810,K0III,05,47,48.1,-72,42,08,7.61,6.54,hd39810.fit
211416,K3III,22,18,30.1,-60,15,35,4.25,2.86,hd211416.fit
223719,K4III,23,51,57.8,+02,55,49,7.16,5.59,hd23719.fit
23249,K0IV,03,43,14.9,-09,45,48,4.43,3.51,hd23249.fit
3651,K0V,00,39,21.8,+21,15,02,6.72,5.80,hd3651.fit
22049,K2V,03,32,55.8,-09,27,30,4.61,3.73,hd22049.fit
36389,M2Iab-Ib,05,32,12.8,+18,35,39,6.44,4.37,hd36389.fit
200914,M0.5III,21,07,07.7,-25,00,21,6.15,4.53,hd200914.fit
216032,M0III,22,49,35.5,-13,35,33,5.65,4.05,hd216032.fit
219215,M1.5III,23,14,19.4,-06,02,56,5.78,4.22,hd219215.fit
198026,M3III,20,47,44.2,-05,01,40,6.10,4.47,hd198026.fit
19285,M5IIIa,03,03,28.4,-58,55,59,8.70,7.27,hd19285.fit
184313,M5III,19,33,46.0,+05,27,57,7.95,6.48,hd184313.fit
24607,M6III,03,52,47.0,-45,49,48,10.27,9.05,hd24607.fit
207076,M7III,21,46,31.8,-02,12,46,7.93,6.78,hd207076.fit
202560,M0V,21,17,15.3,-38,52,03,8.09,6.68,hd202560.fit
36395,M1.5V,05,31,27.4,-03,40,38,9.44,7.92,hd36395.fit
217987,M3V,23,05,52.0,-35,51,11,8.82,7.34,hd217987.fit
180617,M3V,19,16,55.3,+05,10,08,10.63,9.13,hd180617.fit
